,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0-23,430668,437347,390106,360661,395291,394544,434146,415399,430716,427049,428883
24-29,20184,20497,18283,16903,18526,18491,20347,18878,20201,19562,19882
30-35,19295,17734,17622,18266,18587,18484,20390,18308,20626,20502,20564
36-47,32685,34101,30573,29527,33769,33113,37124,32472,36588,36830,36709
48-59,28025,29107,26483,25737,29741,29832,33644,29332,32672,31820,32246
60-71,25277,26230,23455,23984,27756,27191,31191,27313,30172,29808,29990
72-83,20803,21768,19762,19822,24286,23279,26355,23549,25940,25256,25598
84-95,16011,17004,15348,15553,19199,19357,21526,18588,20535,19823,20179
96-107,11041,13331,17691,11776,14541,14579,17242,14009,15314,14756,15035
108-119,8654,9431,6066,7983,10386,10714,13082,10960,11413,10673,11043
120-131,6286,7025,4872,5822,7237,7758,9788,8227,8876,7816,8346
132-143,4370,4704,3322,4193,5367,5355,7414,6185,6586,6129,6358
144-155,3270,3671,2788,2996,3770,3996,5827,4552,4823,4322,4573
156-167,2756,3000,2408,2536,2941,3070,4788,3676,4359,4094,4227
168-179,1985,2161,1735,1827,2118,2212,3449,2648,3140,2949,3045
180-191,1281,1394,1119,1179,1367,1427,2225,1708,2026,1903,1965
192-203,705,767,616,649,752,785,1225,940,1115,1047,1081
204-,992,1079,866,913,1058,1105,1723,1322,1568,1473,1521
