,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0-23,0,0,0,0,0,0,1833186,1765245,1790348,1783367,1786858
24-29,0,0,0,0,0,0,406677,399748,408850,405810,407330
30-35,398986,180889,180824,171070,168113,160375,387101,456702,462168,442678,452423
36-47,281685,317185,309970,281694,267700,254677,389583,394960,402878,404819,403849
48-59,193215,230209,239316,219544,206420,190997,205013,189180,205433,199875,202654
60-71,163398,192420,200355,187198,178497,164449,175610,165687,183568,174955,179262
72-83,125025,158322,165004,153128,148257,137684,147043,137219,153046,158297,155672
84-95,96633,116264,130809,120770,116246,110976,118507,110290,122610,129137,125874
96-107,75147,85024,144638,90287,88012,84773,93515,85075,94980,100093,97537
108-119,55077,62007,40529,59402,64734,63293,70170,65377,72499,75416,73958
120-131,39722,44160,30138,40821,46585,46658,52242,47717,55138,56794,55966
132-143,28383,31118,22149,28696,28952,34255,38483,34912,40493,43513,42003
144-155,20148,21781,16294,19951,19785,19906,30851,24602,29360,30822,30091
156-167,34321,36225,29085,32500,32334,31951,33917,29945,39757,45294,42526
168-179,3784,3994,3206,3583,3565,3522,3739,3301,4383,4993,4688
180-191,820,865,695,776,772,763,810,715,950,1082,1016
192-203,41,43,35,39,39,38,41,36,47,54,51
204-,56,59,47,53,53,52,55,49,65,74,70
