,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0-23,0,0,0,0,0,0,226220,241197,233352,234058,233705
24-29,0,0,0,0,0,0,50585,61231,73614,73008,73311
30-35,0,12043,13396,14426,16939,18970,17371,15736,20038,17783,18911
36-47,0,15199,16538,19016,19945,20342,21177,22279,21426,21595,21511
48-59,0,13617,14765,16182,20202,21377,19154,21914,21334,20708,21021
60-71,0,12884,13883,14849,17450,18133,18282,19437,20925,19449,20187
72-83,0,12459,13618,15178,16004,15153,17204,17623,17458,18997,18228
84-95,0,13307,14237,16247,16009,14569,14390,17035,15660,15274,15467
96-107,0,12850,14044,14350,15674,12636,12970,13135,14669,13207,13938
108-119,0,11708,13064,14177,15991,14149,12413,11194,11028,11426,11227
120-131,0,10270,11444,12838,13748,12624,12621,11599,8928,8150,8539
132-143,0,7808,8326,8903,11777,10469,10230,10876,8088,6896,7492
144-155,0,5589,6045,5852,7378,8338,7860,7928,7006,6127,6567
156-167,0,6339,6919,6234,8584,9023,11037,11649,11622,11354,11488
168-179,0,699,763,687,946,995,1217,1284,1281,1252,1267
180-191,0,151,165,149,205,216,264,278,278,271,275
192-203,0,8,8,7,10,11,13,14,14,14,12
204-,0,10,11,10,14,15,18,19,19,18,19
