,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0-23,0,0,0,0,0,0,0,0,0,0,0
24-29,890,907,991,860,1086,913,1134,312,423,412,418
30-35,2784,2342,4113,4558,907,733,762,332,576,556,566
36-47,5880,5101,7108,7848,1390,1025,1095,574,1019,1033,1026
48-59,5373,4696,6956,7289,1151,803,891,1092,1456,1555,1506
60-71,5093,4630,7041,7925,1098,695,759,944,1319,1432,1376
72-83,4662,4153,6630,7917,969,604,614,803,1125,1183,1154
84-95,4622,3619,5704,6934,767,446,481,622,881,966,924
96-107,2059,3604,4938,5658,589,329,355,467,687,721,704
108-119,3481,2685,3957,4152,529,202,273,327,495,518,507
120-131,2898,2673,3300,3458,903,233,203,226,384,381,383
132-143,1814,1385,1902,2335,720,343,202,150,278,300,289
144-155,1338,1249,1627,1496,488,173,371,110,214,218,216
156-167,1590,1417,1710,2002,546,186,321,130,326,324,325
168-179,76,68,82,96,26,9,15,6,16,16,14
180-191,31,27,33,38,10,4,6,2,6,6,7
192-203,15,13,16,19,5,2,3,1,3,3,2
204-,504,449,543,635,173,59,102,41,103,103,101
