,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0-23,255465,170338,121573,18271,8519,2469,1334,1043,950,880,720
24-29,177607,180889,117330,82663,43981,2144,621,581,501,430,402
30-35,398986,180890,180824,171070,168113,160375,166171,3213,1321,844,711
36-47,281685,317185,309970,281694,267700,254677,266281,5034,2523,1443,1222
48-59,193215,230209,239316,219544,206420,190997,205013,189180,205433,108315,97325
60-71,163398,192420,200355,187198,178497,164450,175610,165687,183568,95758,94122
72-83,125025,158322,165000,153128,148257,137684,147043,137219,153046,158297,155672
84-95,96633,116264,130809,120770,116246,110976,118507,110290,122610,129137,131269
96-107,75147,85024,144638,90287,88012,84773,93515,85075,94980,100093,105258
108-119,55077,62007,40529,59402,64734,63293,70170,65377,72499,75416,76010
120-131,39722,44160,30138,40821,46585,46658,52242,47717,55138,56794,56789
132-143,28383,31118,22149,28696,28952,34255,38483,34912,40493,43513,44444
144-155,20148,21781,16294,19951,19785,19906,30851,24602,29360,30822,30899
156-167,34321,36225,29085,32500,32334,31951,33917,29945,39757,45294,46589
168-179,3784,3994,3206,3583,3565,3522,3739,3301,4383,4993,5021
180-191,820,865,695,776,770,763,810,715,950,1082,1122
192-203,42,42,36,40,40,40,41,36,45,54,59
204-,56,59,47,53,53,52,55,49,65,74,87
