,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0-23,0,8,7,4,4,5,5,2,2,4,2
24-29,0,1,1,1,0,1,1,0,0,0,0
30-35,0,2,1,1,0,1,0,0,0,0,0
36-47,0,3,1,1,2,2,0,1,1,0,0
48-59,0,4,4,3,1,3,1,1,1,1,1
60-71,0,3,2,2,1,3,1,2,1,1,0
72-83,0,5,4,3,0,8,1,0,0,0,0
84-95,0,1,2,1,0,4,1,1,0,0,1
96-107,0,2,1,1,0,0,0,0,0,0,0
108-119,0,1,1,0,1,1,0,0,0,0,0
120-131,0,1,1,1,0,0,0,0,0,0,0
132-143,0,1,1,0,0,0,0,0,0,1,0
144-155,0,0,0,0,0,0,0,0,0,0,0
156-167,0,0,0,0,0,0,0,0,0,0,0
168-179,0,0,0,0,0,0,0,0,0,0,0
180-191,0,0,0,0,0,0,0,0,0,0,0
192-203,0,0,0,0,0,0,0,0,0,0,0
204-,0,0,0,0,0,0,0,0,0,0,0
