,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0-23,0,26,40,45,32,19,17,12,17,4,8
24-29,0,1028,1481,1697,2236,2338,2174,1854,2026,1150,1251
30-35,0,580,909,1000,1250,1350,1389,1256,1353,851,900
36-47,0,1357,1871,2034,2529,2564,2557,2375,2465,1463,1581
48-59,0,1256,1773,1815,2500,2431,2321,2287,2435,2157,2200
60-71,0,1208,1614,1678,2218,2250,2251,1986,2212,1948,1902
72-83,0,997,1379,1392,1774,1731,1868,1699,1760,1611,1617
84-95,0,822,1111,1272,1528,1556,1393,1420,1400,1237,1220
96-107,0,682,912,1073,1327,192,1127,1003,1075,868,910
108-119,0,466,678,884,1125,1215,970,812,774,666,650
120-131,0,366,511,632,787,817,740,635,578,495,450
132-143,0,223,329,371,607,688,619,520,465,332,330
144-155,0,149,227,293,445,555,533,447,388,260,261
156-167,0,70,97,94,140,179,191,190,207,188,190
168-179,0,51,70,68,101,129,138,137,149,136,140
180-191,0,33,45,44,65,83,89,89,96,87,88
192-203,0,18,25,24,36,46,49,49,53,48,47
204-,0,25,35,34,50,64,69,69,74,68,69
