,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0-23,0,23,24,8,3,1,7,0,0,25,24
24-29,0,3286,837,83,53,24,36,8,24,19,18
30-35,0,12043,13396,14426,16939,18970,17274,15629,19132,9038,8586
36-47,0,15199,16538,19016,19945,20342,21177,22401,20715,10195,9685
48-59,0,13617,14765,16182,20202,21377,19154,21914,21334,10220,9709
60-71,0,12884,13883,14849,17450,18133,18282,19437,20925,10608,10078
72-83,0,12459,13618,15178,16004,15153,17204,17623,17458,18997,18047
84-95,0,13307,14237,16247,16009,14569,14390,17035,15660,15274,14510
96-107,0,12850,14044,14350,15674,12636,12970,13135,14669,13207,12547
108-119,0,11708,13064,14177,15991,14149,12413,11194,11028,11426,10855
120-131,0,10270,11444,12838,13748,12624,12621,11599,8928,8150,7743
132-143,0,7808,8326,8903,11777,10469,10230,10876,8088,6896,6551
144-155,0,5589,6045,5852,7378,8338,7860,7928,7006,6127,5821
156-167,0,6339,6919,6234,8584,9023,11037,11649,11622,11354,10786
168-179,0,699,763,687,946,995,1217,1284,1281,1252,1189
180-191,0,151,165,149,205,216,264,278,278,271,260
192-203,0,8,8,7,10,11,13,14,14,14,11
204-,0,10,11,10,14,15,18,19,19,18,21
