"","nMissDetYr","nMissDetYrLci","nMissDetYrUci","nMissSum","nMissSumLci","nMissSumUci"
"0-23",52.386808284847,2.48116710319853,320.392954619671,523.325462111058,24.2690502945737,3203.3869254593
"24-29",17.6217076863323,0.834607086115518,107.772761424392,176.065458917806,8.19445291563849,1077.5759962984
"30-35",17.0053032569203,0.805412667852681,104.002887999271,169.911220816005,7.91231492532811,1039.88706823951
"36-47",9.68325367457545,0.458622528378626,59.2218987318303,96.8205101368468,4.57419867487867,592.206960709395
"48-59",5.70766059013277,0.270328736491404,34.9075330280782,57.1569078689394,2.78358933252583,349.155632248393
"60-71",3.32930893573072,0.157684197189569,20.361750633107,33.4703817748493,1.7541343894378,203.794798748612
"72-83",2.11868852185109,0.10034625957279,12.9577062939908,21.4718789134556,1.28845629067271,129.862056634853
"84-95",1.15671403571954,0.0547847999754071,7.07435783335224,11.9273231147408,0.908030757299473,71.1037610910677
"96-107",0.54808070167644,0.0259584397565006,3.35201172068599,5.86471421963472,0.64349160043533,33.9040244097302
"108-119",0.23451732808558,0.0111073130550743,1.43428664801065,2.71088306826493,0.476782917959875,14.7085762675156
"120-131",0.0937459179447552,0.00444003548372225,0.573341507475294,1.26146391973107,0.368405095120746,6.05741981503646
"132-143",0.0355520348834338,0.00168383114552252,0.217433011706112,0.626305217326166,0.287623179947053,2.44511498555295
"144-155",0.0140276908870207,0.000664385678422427,0.0857920815741704,0.391651019109565,0.258017967023582,1.10929492598106
"156-167",0.00610372895147022,0.000289087500786127,0.0373298511015574,0.281253734883562,0.223107320376721,0.593514956384434
"168-179",0.00146250583134583,6.92678457759929e-05,0.00894455264206135,0.114678478499761,0.100746098644063,0.189498946606916
"180-191",8.55655216490837e-05,4.05259194889979e-06,0.000523310947780209,0.0141525273764877,0.0133373980794858,0.0185299816377989
"192-203",7.43368575120065e-06,3.52077500906459e-07,4.54637459222771e-05,0.00268289146266014,0.0026120753801572,0.00306319206437091
"204-",9.29621584525868e-07,4.40291472121627e-08,5.68548105708161e-06,0.00083151554313155,0.000822659618758413,0.000879074137857107
"p1",2.28368299077192e-07,1.08160800330267e-08,1.39667974588126e-06,0.000359651689850645,0.000357476167660203,0.000371334804318685
"p2",0,0,0,0,0,0
"p3",0,0,0,0,0,0
"p4",0,0,0,0,0,0
"p5",0,0,0,0,0,0
"p6",0,0,0,0,0,0
