"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36-47",6.17339173080445e-06,3.06344917437766e-06,1.52018878004559e-06,7.54369925998843e-07,3.74346897787006e-07,4.11781587565707e-07,4.52959746322277e-07,4.98255720954505e-07,5.48081293049955e-07,6.02889422354951e-07,6.63178364590446e-07,7.29496201049491e-07,8.0244582115444e-07,8.82690403269884e-07,9.70959443596873e-07,1.06805538795656e-06,1.17486092675222e-06,1.29234701942744e-06,1.42158172137018e-06,1.5637398935072e-06,1.72011388285792e-06,1.89212527114371e-06,2.08133779825808e-06,2.28947157808389e-06,2.51841873589228e-06,2.77026060948151e-06,3.04728667042966e-06,3.35201533747263e-06,3.68721687121989e-06,4.05593855834188e-06,4.46153241417607e-06,4.90768565559368e-06,5.39845422115305e-06,5.93829964326835e-06,6.53212960759519e-06,7.18534256835471e-06,7.90387682519017e-06,8.69426450770919e-06,9.56369095848011e-06,1.05200600543281e-05,1.15720660597609e-05,1.2729272665737e-05,1.40021999323107e-05,1.54024199255418e-05,1.6942661918096e-05,1.86369281099056e-05,2.05006209208962e-05,2.25506830129858e-05,2.48057513142844e-05,2.72863264457128e-05,3.00149590902841e-05,3.30164549993125e-05,3.63181004992437e-05,3.99499105491681e-05,4.39449016040849e-05,4.83393917644934e-05,5.31733309409428e-05,5.8490664035037e-05,6.43397304385408e-05,7.07737034823948e-05,7.78510738306343e-05,8.56361812136978e-05,9.41997993350676e-05,0.000103619779268574,0.000113981757195432,0.000125379932914975,0.000137917926206472,0.00015170971882712,0.000166880690709832,0.000183568759780815,0.000201925635758896,0.000222118199334786,0.000244330019268265,0.000268763021195091,0.0002956393233146,0.00032520325564606,0.000357723581210667,0.000393495939331733,0.000432845533264907,0.000476130086591397,0.000523743095250537,0.000576117404775591,0.00063372914525315,0.000697102059778465,0.000766812265756312,0.000843493492331943,0.000927842841565137,0.00102062712572165,0.00112268983829382,0.0012349588221232,0.00135845470433552,0.00149430017476907,0.00164373019224598,0.00180810321147057,0.00198891353261763,0.0021878048858794,0.00240658537446734,0.00264724391191407,0.00291196830310548,0.00320316513341602,0.00352348164675763
"48-59",0.000119796252898282,5.94470184361612e-05,2.94996539161367e-05,1.46387422626815e-05,7.26424708718348e-06,4.02365138655305e-06,4.42601652520836e-06,4.8686181777292e-06,5.35547999550212e-06,5.89102799505233e-06,6.48013079455756e-06,7.12814387401332e-06,7.84095826141465e-06,8.62505408755612e-06,9.48755949631173e-06,1.04363154459429e-05,1.14799469905372e-05,1.26279416895909e-05,1.389073585855e-05,1.5279809444405e-05,1.68077903888455e-05,1.84885694277301e-05,2.03374263705031e-05,2.23711690075534e-05,2.46082859083087e-05,2.70691144991396e-05,2.97760259490535e-05,3.27536285439589e-05,3.60289913983548e-05,3.96318905381903e-05,4.35950795920093e-05,4.79545875512103e-05,5.27500463063313e-05,5.80250509369644e-05,6.38275560306609e-05,7.0210311633727e-05,7.72313427970997e-05,8.49544770768096e-05,9.34499247844906e-05,0.00010279491726294,0.000113074408989234,0.000124381849888157,0.000136820034876973,0.00015050203836467,0.000165552242201137,0.000182107466421251,0.000200318213063376,0.000220350034369713,0.000242385037806685,0.000266623541587353,0.000293285895746089,0.000322614485320698,0.000354875933852767,0.000390363527238044,0.000429399879961849,0.000472339867958033,0.000519573854753837,0.000571531240229221,0.000628684364252143,0.000691552800677357,0.000760708080745093,0.000836778888819602,0.000920456777701562,0.00101250245547172,0.00111375270101889,0.00122512797112078,0.00134764076823286,0.00148240484505614,0.00163064532956176,0.00179370986251793,0.00197308084876973,0.0021703889336467,0.00238742782701137,0.00262617060971251,0.00288878767068376,0.00317766643775214,0.00349543308152735,0.00384497638968009,0.00422947402864809,0.0046524214315129,0.0051176635746642,0.00562942993213061,0.00619237292534368,0.00681161021787804,0.00749277123966585,0.00824204836363244,0.00906625319999568,0.00997287851999525,0.0109701663719948,0.0120671830091943,0.0132739013101137,0.014601291441125,0.0160614205852376,0.0176675626437613,0.0194343189081374,0.0213777507989512,0.0235155258788463,0.0258670784667309,0.028453786313404,0.0312991649447445,0.0344290814392189
"60-71",0.000559993085366412,0.00027788781756109,0.000137897486891894,6.84294729362131e-05,3.39570565923286e-05,1.68506586845913e-05,1.12501076780121e-05,1.23751184458133e-05,1.36126302903947e-05,1.49738933194341e-05,1.64712826513775e-05,1.81184109165153e-05,1.99302520081668e-05,2.19232772089835e-05,2.41156049298819e-05,2.652716542287e-05,2.9179881965157e-05,3.20978701616728e-05,3.530765717784e-05,3.8838422895624e-05,4.27222651851864e-05,4.69944917037051e-05,5.16939408740756e-05,5.68633349614832e-05,6.25496684576315e-05,6.88046353033946e-05,7.56850988337341e-05,8.32536087171075e-05,9.15789695888183e-05,0.0001007368665477,0.00011081055320247,0.000121891608522717,0.000134080769374989,0.000147488846312488,0.000162237730943737,0.00017846150403811,0.000196307654441921,0.000215938419886113,0.000237532261874725,0.000261285488062197,0.000287414036868417,0.000316155440555259,0.000347770984610785,0.000382548083071863,0.00042080289137905,0.000462883180516955,0.00050917149856865,0.000560088648425515,0.000616097513268067,0.000677707264594874,0.000745477991054361,0.000820025790159797,0.000902028369175777,0.000992231206093355,0.00109145432670269,0.00120059975937296,0.00132065973531026,0.00145272570884128,0.00159799827972541,0.00175779810769795,0.00193357791846775,0.00212693571031452,0.00233962928134597,0.00257359220948057,0.00283095143042863,0.00311404657347149,0.00342545123081864,0.0037679963539005,0.00414479598929055,0.00455927558821961,0.00501520314704157,0.00551672346174573,0.0060683958079203,0.00667523538871233,0.00734275892758357,0.00807703482034192,0.00888473830237612,0.00977321213261373,0.0107505333458751,0.0118255866804626,0.0130081453485089,0.0143089598833598,0.0157398558716957,0.0173138414588653,0.0190452256047518,0.020949748165227,0.0230447229817498,0.0253491952799247,0.0278841148079172,0.0306725262887089,0.0337397789175798,0.0371137568093378,0.0408251324902716,0.0449076457392987,0.0493984103132286,0.0543382513445515,0.0597720764790066,0.0657492841269073,0.0723242125395981,0.0795566337935579,0.0875122971729137
"72-83",0.00166376661364141,0.000825618182219696,0.000409700120932148,0.00020330728259949,0.000100888061892553,5.00641241292212e-05,2.4843539243478e-05,1.81634546520441e-05,1.99798001172485e-05,2.19777801289733e-05,2.41755581418707e-05,2.65931139560577e-05,2.92524253516635e-05,3.21776678868299e-05,3.53954346755129e-05,3.89349781430641e-05,4.28284759573706e-05,4.71113235531076e-05,5.18224559084184e-05,5.70047014992602e-05,6.27051716491862e-05,6.89756888141049e-05,7.58732576955154e-05,8.34605834650669e-05,9.18066418115736e-05,0.000100987305992731,0.000111086036592004,0.000122194640251204,0.000134414104276325,0.000147855514703958,0.000162641066174353,0.000178905172791789,0.000196795690070967,0.000216475259078064,0.000238122784985871,0.000261935063484458,0.000288128569832904,0.000316941426816194,0.000348635569497813,0.000383499126447595,0.000421849039092354,0.00046403394300159,0.000510437337301749,0.000561481071031923,0.000617629178135116,0.000679392095948628,0.00074733130554349,0.00082206443609784,0.000904270879707624,0.000994697967678386,0.00109416776444622,0.00120358454089085,0.00132394299497993,0.00145633729447793,0.00160197102392572,0.00176216812631829,0.00193838493895012,0.00213222343284513,0.00234544577612964,0.00257999035374261,0.00283798938911687,0.00312178832802856,0.00343396716083141,0.00377736387691456,0.00415510026460601,0.00457061029106661,0.00502767132017327,0.0055304384521906,0.00608348229740966,0.00669183052715063,0.0073610135798657,0.00809711493785226,0.00890682643163749,0.00979750907480124,0.0107772599822814,0.0118549859805095,0.0130404845785605,0.0143445330364165,0.0157789863400582,0.017356884974064,0.0190925734714704,0.0210018308186174,0.0231020139004792,0.0254122152905271,0.0279534368195798,0.0307487805015377,0.0338236585516915,0.0372060244068607,0.0409266268475468,0.0450192895323014,0.0495212184855316,0.0544733403340848,0.0599206743674932,0.0659127418042425,0.0725040159846668,0.0797544175831335,0.0877298593414469,0.0965028452755915,0.106153129803151,0.116768442783466,0.128445287061812
"84-95",0.0034666280562073,0.00172025999964833,0.000853652142199449,0.000423611535483403,0.00021021060467588,0.000104313727594254,5.17640572005674e-05,2.56871044651579e-05,1.99972137210602e-05,2.19969350931662e-05,2.41966286024828e-05,2.66162914627311e-05,2.92779206090042e-05,3.22057126699047e-05,3.54262839368951e-05,3.89689123305847e-05,4.28658035636431e-05,4.71523839200074e-05,5.18676223120082e-05,5.7054384543209e-05,6.27598229975299e-05,6.90358052972829e-05,7.59393858270112e-05,8.35333244097123e-05,9.18866568506836e-05,0.000101075322535752,0.000111182854789327,0.00012230114026826,0.000134531254295086,0.000147984379724594,0.000162782817697054,0.000179061099466759,0.000196967209413435,0.000216663930354779,0.000238330323390257,0.000262163355729282,0.000288379691302211,0.000317217660432432,0.000348939426475675,0.000383833369123243,0.000422216706035567,0.000464438376639123,0.000510882214303036,0.00056197043573334,0.000618167479306673,0.000679984227237341,0.000747982649961075,0.000822780914957183,0.000905059006452901,0.000995564907098191,0.00109512139780801,0.00120463353758881,0.00132509689134769,0.00145760658048246,0.00160336723853071,0.00176370396238378,0.00194007435862216,0.00213408179448437,0.00234748997393281,0.00258223897132609,0.0028404628684587,0.00312450915530457,0.00343696007083503,0.00378065607791853,0.00415872168571039,0.00457459385428143,0.00503205323970957,0.00553525856368053,0.00608878442004858,0.00669766286205344,0.00736742914825878,0.00810417206308466,0.00891458926939313,0.00980604819633244,0.0107866530159657,0.0118653183175623,0.0130518501493185,0.0143570351642503,0.0157927386806754,0.0173720125487429,0.0191092138036172,0.0210201351839789,0.0231221487023768,0.0254343635726145,0.0279777999298759,0.0307755799228636,0.0338531379151499,0.0372384517066649,0.0409622968773314,0.0450585265650645,0.049564379221571,0.0545208171437281,0.0599728988581009,0.065970188743911,0.0725672076183021,0.0798239283801323,0.0878063212181456,0.0965869533399601,0.106245648673956,0.116870213541352,0.128557234895487
"96-107",0.00401884042234488,0.00199428675688197,0.000989633638240908,0.000491090227901414,0.000243695851293966,0.000120930257952135,6.0009750722958e-05,2.97789010196019e-05,1.47773142739616e-05,1.19626637440755e-05,1.3158930118483e-05,1.44748231303313e-05,1.59223054433645e-05,1.75145359877009e-05,1.9265989586471e-05,2.11925885451181e-05,2.331184739963e-05,2.56430321395929e-05,2.82073353535522e-05,3.10280688889075e-05,3.41308757777982e-05,3.7543963355578e-05,4.12983596911359e-05,4.54281956602494e-05,4.99710152262744e-05,5.49681167489018e-05,6.0464928423792e-05,6.65114212661712e-05,7.31625633927884e-05,8.04788197320672e-05,8.85267017052739e-05,9.73793718758013e-05,0.000107117309063381,0.00011782903996972,0.000129611943966692,0.000142573138363361,0.000156830452199697,0.000172513497419667,0.000189764847161633,0.000208741331877797,0.000229615465065576,0.000252577011572134,0.000277834712729347,0.000305618184002282,0.00033618000240251,0.000369798002642761,0.000406777802907038,0.000447455583197741,0.000492201141517516,0.000541421255669267,0.000595563381236194,0.000655119719359813,0.000720631691295795,0.000792694860425374,0.000871964346467912,0.000959160781114703,0.00105507685922617,0.00116058454514879,0.00127664299966367,0.00140430729963004,0.00154473802959304,0.00169921183255234,0.00186913301580758,0.00205604631738834,0.00226165094912717,0.00248781604403989,0.00273659764844388,0.00301025741328827,0.00331128315461709,0.0036424114700788,0.00400665261708668,0.00440731787879535,0.00484804966667489,0.00533285463334238,0.00586614009667662,0.00645275410634428,0.00709802951697871,0.00780783246867658,0.00858861571554423,0.00944747728709866,0.0103922250158085,0.0114314475173894,0.0125745922691283,0.0138320514960411,0.0152152566456453,0.0167367823102098,0.0184104605412308,0.0202515065953538,0.0222766572548892,0.0245043229803782,0.026954755278416,0.0296502308062576,0.0326152538868833,0.0358767792755717,0.0394644572031289,0.0434109029234417,0.0477519932157859,0.0525271925373645,0.057779911791101,0.0635579029702111,0.0699136932672322
"108-119",0.00373623598725593,0.00185404872224879,0.000920042705063993,0.000456556814814859,0.000226559184705879,0.000112426454953711,5.57898713745277e-05,2.76848518372997e-05,1.37381750911005e-05,6.81735470151401e-06,5.63170732180663e-06,6.1948780539873e-06,6.81436585938603e-06,7.49580244532463e-06,8.24538268985709e-06,9.0699209588428e-06,9.97691305472708e-06,1.09746043601998e-05,1.20720647962198e-05,1.32792712758418e-05,1.46071984034259e-05,1.60679182437685e-05,1.76747100681454e-05,1.94421810749599e-05,2.13863991824559e-05,2.35250391007015e-05,2.58775430107717e-05,2.84652973118488e-05,3.13118270430337e-05,3.44430097473371e-05,3.78873107220708e-05,4.16760417942779e-05,4.58436459737057e-05,5.04280105710762e-05,5.54708116281839e-05,6.10178927910022e-05,6.71196820701025e-05,7.38316502771127e-05,8.1214815304824e-05,8.93362968353064e-05,9.82699265188371e-05,0.000108096919170721,0.000118906611087793,0.000130797272196572,0.000143876999416229,0.000158264699357852,0.000174091169293638,0.000191500286223001,0.000210650314845302,0.000231715346329832,0.000254886880962815,0.000280375569059096,0.000308413125965006,0.000339254438561507,0.000373179882417657,0.000410497870659423,0.000451547657725366,0.000496702423497902,0.000546372665847693,0.000601009932432462,0.000661110925675708,0.000727222018243279,0.000799944220067607,0.000879938642074367,0.000967932506281804,0.00106472575690998,0.00117119833260098,0.00128831816586108,0.00141714998244719,0.00155886498069191,0.0017147514787611,0.00188622662663721,0.00207484928930093,0.00228233421823103,0.00251056764005413,0.00276162440405954,0.0030377868444655,0.00334156552891205,0.00367572208180325,0.00404329428998358,0.00444762371898193,0.00489238609088013,0.00538162469996814,0.00591978716996495,0.00651176588696145,0.0071629424756576,0.00787923672322336,0.00866716039554569,0.00953387643510026,0.0104872640786103,0.0115359904864713,0.0126895895351185,0.0139585484886303,0.0153544033374933,0.0168898436712427,0.0185788280383669,0.0204367108422036,0.022480381926424,0.0247284201190664,0.027201262130973,0.0299213883440703
