"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36-47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48-59",0.000416528304631732,0.000206695662055893,0.000102569492247345,5.08985076669545e-05,2.52575890351069e-05,1.39901261510501e-05,1.53891387661551e-05,1.69280526427706e-05,1.86208579070477e-05,2.04829436977525e-05,2.25312380675277e-05,2.47843618742805e-05,2.72627980617085e-05,2.99890778678794e-05,3.29879856546673e-05,3.62867842201341e-05,3.99154626421475e-05,4.39070089063622e-05,4.82977097969985e-05,5.31274807766983e-05,5.84402288543681e-05,6.4284251739805e-05,7.07126769137855e-05,7.7783944605164e-05,8.55623390656804e-05,9.41185729722485e-05,0.000103530430269473,0.000113883473296421,0.000125271820626063,0.000137799002688669,0.000151578902957536,0.00016673679325329,0.000183410472578619,0.00020175151983648,0.000221926671820128,0.000244119339002141,0.000268531272902356,0.000295384400192591,0.00032492284021185,0.000357415124233035,0.000393156636656339,0.000432472300321973,0.00047571953035417,0.000523291483389587,0.000575620631728546,0.000633182694901401,0.000696500964391541,0.000766151060830695,0.000842766166913764,0.000927042783605141,0.00101974706196565,0.00112172176816222,0.00123389394497844,0.00135728333947629,0.00149301167342392,0.00164231284076631,0.00180654412484294,0.00198719853732723,0.00218591839105996,0.00240451023016595,0.00264496125318255,0.0029094573785008,0.00320040311635088,0.00352044342798597,0.00387248777078457,0.00425973654786302,0.00468571020264933,0.00515428122291426,0.00566970934520569,0.00623668027972626,0.00686034830769888,0.00754638313846877,0.00830102145231565,0.00913112359754722,0.0100442359573019,0.0110486595530321,0.0121535255083353,0.0133688780591689,0.0147057658650858,0.0161763424515944,0.0177939766967538,0.0195733743664292,0.0215307118030721,0.0236837829833793,0.0260521612817172,0.028657377409889,0.0315231151508779,0.0346754266659656,0.0381429693325622,0.0419572662658184,0.0461529928924003,0.0507682921816403,0.0558451213998044,0.0614296335397848,0.0675725968937633,0.0743298565831396,0.0817628422414536,0.0899391264655989,0.0989330391121589,0.108826343023375,0.119708977325712
"60-71",0.0014594752109586,0.000724241766114713,0.000359393658656555,0.00017834348683791,8.85001683568903e-05,4.39168255486469e-05,2.93204571730209e-05,3.2252502890323e-05,3.54777531793553e-05,3.90255284972908e-05,4.29280813470199e-05,4.72208894817219e-05,5.1942978429894e-05,5.71372762728835e-05,6.28510039001718e-05,6.9136104290189e-05,7.60497147192079e-05,8.36546861911287e-05,9.20201548102416e-05,0.000101222170291266,0.000111344387320392,0.000122478826052432,0.000134726708657675,0.000148199379523442,0.000163019317475786,0.000179321249223365,0.000197253374145702,0.000216978711560272,0.000238676582716299,0.000262544240987929,0.000288798665086722,0.000317678531595394,0.000349446384754933,0.000384391023230427,0.00042283012555347,0.000465113138108817,0.000511624451919698,0.000562786897111668,0.000619065586822835,0.000680972145505119,0.00074906936005563,0.000823976296061194,0.000906373925667313,0.000997011318234044,0.00109671245005745,0.00120638369506319,0.00132702206456951,0.00145972427102646,0.00160569669812911,0.00176626636794202,0.00194289300473623,0.00213718230520985,0.00235090053573083,0.00258599058930392,0.00284458964823431,0.00312904861305774,0.00344195347436351,0.00378614882179987,0.00416476370397985,0.00458124007437784,0.00503936408181562,0.00554330048999718,0.0060976305389969,0.00670739359289659,0.00737813295218626,0.00811594624740488,0.00892754087214537,0.00982029495935991,0.0108023244552959,0.0118825569008255,0.013070812590908,0.0143778938499988,0.0158156832349987,0.0173972515584986,0.0191369767143485,0.0210506743857833,0.0231557418243617,0.0254713160067978,0.0280184476074776,0.0308202923682254,0.0339023216050479,0.0372925537655527,0.041021809142108,0.0451239900563188,0.0496363890619506,0.0546000279681457,0.0600600307649603,0.0660660338414563,0.072672637225602,0.0799399009481622,0.0879338910429784,0.0967272801472762,0.106400008162004,0.117040008978204,0.128744009876025,0.141618410863627,0.15578025194999,0.171358277144989,0.188494104859488,0.207343515345437,0.22807786687998
"72-83",0.00272954649098168,0.00135449479133144,0.000672146873411261,0.000333542382243081,0.000165515194897469,8.21343289500817e-05,4.07578772224459e-05,2.97986469394783e-05,3.27785116334261e-05,3.60563627967688e-05,3.96619990764456e-05,4.36281989840902e-05,4.79910188824992e-05,5.27901207707491e-05,5.80691328478241e-05,6.38760461326065e-05,7.02636507458671e-05,7.72900158204538e-05,8.50190174024992e-05,9.35209191427492e-05,0.000102873011057024,0.000113160312162727,0.000124476343378999,0.000136923977716899,0.000150616375488589,0.000165678013037448,0.000182245814341193,0.000200470395775312,0.000220517435352843,0.000242569178888128,0.00026682609677694,0.000293508706454634,0.000322859577100098,0.000355145534810108,0.000390660088291119,0.00042972609712023,0.000472698706832254,0.000519968577515479,0.000571965435267027,0.00062916197879373,0.000692078176673103,0.000761285994340413,0.000837414593774454,0.0009211560531519,0.00101327165846709,0.0011145988243138,0.00122605870674518,0.0013486645774197,0.00148353103516167,0.00163188413867783,0.00179507255254562,0.00197457980780018,0.0021720377885802,0.00238924156743822,0.00262816572418204,0.00289098229660024,0.00318008052626027,0.0034980885788863,0.00384789743677493,0.00423268718045242,0.00465595589849766,0.00512155148834743,0.00563370663718217,0.00619707730090039,0.00681678503099043,0.00749846353408947,0.00824830988749842,0.00907314087624826,0.00998045496387308,0.0109785004602604,0.0120763505062864,0.0132839855569151,0.0146123841126066,0.0160736225238672,0.017680984776254,0.0194490832538794,0.0213939915792673,0.023533390737194,0.0258867298109135,0.0284754027920048,0.0313229430712053,0.0344552373783258,0.0379007611161584,0.0416908372277742,0.0458599209505517,0.0504459130456068,0.0554905043501675,0.0610395547851843,0.0671435102637027,0.073857861290073,0.0812436474190803,0.0893680121609884,0.0983048133770872,0.108135294714796,0.118948824186276,0.130843706604903,0.143928077265393,0.158320884991933,0.174152973491126,0.191568270840239,0.210725097924263
"84-95",0.00331898406060721,0.00164699397407506,0.000817295021942135,0.000405569882711029,0.000201257716425788,9.98709967075702e-05,4.9559421424924e-05,2.45930884134958e-05,1.91455306195634e-05,2.10600836815198e-05,2.31660920496717e-05,2.54827012546389e-05,2.80309713801028e-05,3.08340685181131e-05,3.39174753699244e-05,3.73092229069168e-05,4.10401451976085e-05,4.51441597173694e-05,4.96585756891063e-05,5.4624433258017e-05,6.00868765838187e-05,6.60955642422005e-05,7.27051206664206e-05,7.99756327330626e-05,8.79731960063689e-05,9.67705156070059e-05,0.000106447567167706,0.000117092323884477,0.000128801556272925,0.000141681711900217,0.000155849883090239,0.000171434871399263,0.000188578358539189,0.000207436194393108,0.000228179813832419,0.000250997795215661,0.000276097574737227,0.00030370733221095,0.000334078065432045,0.000367485871975249,0.000404234459172774,0.000444657905090052,0.000489123695599057,0.000538036065158963,0.000591839671674859,0.000651023638842345,0.00071612600272658,0.000787738602999238,0.000866512463299161,0.000953163709629078,0.00104848008059199,0.00115332808865118,0.0012686608975163,0.00139552698726793,0.00153507968599473,0.0016885876545942,0.00185744642005362,0.00204319106205898,0.00224751016826488,0.00247226118509137,0.0027194873036005,0.00299143603396055,0.00329057963735661,0.00361963760109227,0.0039816013612015,0.00437976149732165,0.00481773764705382,0.0052995114117592,0.00582946255293512,0.00641240880822863,0.00705364968905149,0.00775901465795665,0.00853491612375231,0.00938840773612754,0.0103272485097403,0.0113599733607143,0.0124959706967858,0.0137455677664643,0.0151201245431108,0.0166321369974219,0.018295350697164,0.0201248857668804,0.0221373743435685,0.0243511117779253,0.0267862229557179,0.0294648452512897,0.0324113297764186,0.0356524627540605,0.0392177090294666,0.0431394799324132,0.0474534279256545,0.05219877071822,0.057418647790042,0.0631605125690462,0.0694765638259508,0.0764242202085459,0.0840666422294005,0.0924733064523406,0.101720637097575,0.111892700807332,0.123081970888065
"96-107",0.00421074883507371,0.00208951830773216,0.00103689080716006,0.000514540859486386,0.000255332860753311,0.000126704942043956,6.28753474621229e-05,3.12009086205273e-05,1.54829633241064e-05,1.25339070804294e-05,1.37872977884723e-05,1.51660275673196e-05,1.66826303240515e-05,1.83508933564567e-05,2.01859826921024e-05,2.22045809613126e-05,2.44250390574439e-05,2.68675429631883e-05,2.95542972595071e-05,3.25097269854578e-05,3.57606996840036e-05,3.93367696524039e-05,4.32704466176443e-05,4.75974912794088e-05,5.23572404073496e-05,5.75929644480846e-05,6.33522608928931e-05,6.96874869821824e-05,7.66562356804006e-05,8.43218592484407e-05,9.27540451732848e-05,0.000102029449690613,0.000112232394659675,0.000123455634125642,0.000135801197538206,0.000149381317292027,0.00016431944902123,0.000180751393923353,0.000198826533315688,0.000218709186647257,0.000240580105311982,0.000264638115843181,0.000291101927427499,0.000320212120170249,0.000352233332187273,0.000387456665406001,0.000426202331946601,0.000468822565141261,0.000515704821655387,0.000567275303820926,0.000624002834203019,0.000686403117623321,0.000755043429385653,0.000830547772324218,0.00091360254955664,0.0010049628045123,0.00110545908496353,0.00121600499345989,0.00133760549280588,0.00147136604208647,0.00161850264629511,0.00178035291092462,0.00195838820201709,0.00215422702221879,0.00236964972444067,0.00260661469688474,0.00286727616657322,0.00315400378323054,0.00346940416155359,0.00381634457770895,0.00419797903547985,0.00461777693902783,0.00507955463293062,0.00558751009622368,0.00614626110584605,0.00676088721643065,0.00743697593807372,0.00818067353188109,0.0089987408850692,0.00989861497357612,0.0108884764709337,0.0119773241180271,0.0131750565298298,0.0144925621828128,0.0159418184010941,0.0175360002412035,0.0192896002653238,0.0212185602918562,0.0233404163210418,0.025674457953146,0.0282419037484606,0.0310660941233067,0.0341727035356374,0.0375899738892011,0.0413489712781212,0.0454838684059334,0.0500322552465267,0.0550354807711794,0.0605390288482973,0.0665929317331271,0.0732522249064398
"108-119",0.00482853476375205,0.0023960849206539,0.00118901969808409,0.000590032444278377,0.000292794379993943,0.00014529463555328,7.21001923636548e-05,3.57785937456015e-05,1.77545680316116e-05,8.81042693378296e-06,7.27815231033948e-06,8.00596754137343e-06,8.80656429551077e-06,9.68722072506185e-06,1.0655942797568e-05,1.17215370773248e-05,1.28936907850573e-05,1.41830598635631e-05,1.56013658499194e-05,1.71615024349113e-05,1.88776526784024e-05,2.07654179462427e-05,2.28419597408669e-05,2.51261557149536e-05,2.7638771286449e-05,3.04026484150939e-05,3.34429132566033e-05,3.67872045822636e-05,4.046592504049e-05,4.4512517544539e-05,4.89637692989929e-05,5.38601462288922e-05,5.92461608517814e-05,6.51707769369596e-05,7.16878546306555e-05,7.88566400937211e-05,8.67423041030932e-05,9.54165345134026e-05,0.000104958187964743,0.000115454006761217,0.000126999407437339,0.000139699348181073,0.00015366928299918,0.000169036211299098,0.000185939832429008,0.000204533815671909,0.0002249871972391,0.00024748591696301,0.000272234508659311,0.000299457959525242,0.000329403755477766,0.000362344131025542,0.000398578544128097,0.000438436398540906,0.000482280038394997,0.000530508042234497,0.000583558846457946,0.000641914731103741,0.000706106204214115,0.000776716824635527,0.00085438850709908,0.000939827357808988,0.00103381009358989,0.00113719110294888,0.00125091021324376,0.00137600123456814,0.00151360135802495,0.00166496149382745,0.00183145764321019,0.00201460340753121,0.00221606374828433,0.00243767012311277,0.00268143713542405,0.00294958084896645,0.0032445389338631,0.00356899282724941,0.00392589210997435,0.00431848132097178,0.00475032945306896,0.00522536239837586,0.00574789863821344,0.00632268850203479,0.00695495735223827,0.00765045308746209,0.0084154983962083,0.00925704823582913,0.0101827530594121,0.0112010283653533,0.0123211312018886,0.0135532443220774,0.0149085687542852,0.0163994256297137,0.0180393681926851,0.0198433050119536,0.021827635513149,0.0240103990644638,0.0264114389709102,0.0290525828680013,0.0319578411548014,0.0351536252702815,0.0386689877973097
