"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36-47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48-59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60-71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72-83",0.00445647620035218,0.00224514915537714,0.0011141201832495,0.000552864730501786,0.000274350482854831,0.000136142139822095,6.75584093837595e-05,4.4279313108024e-05,4.87072444188264e-05,5.35779688607091e-05,5.893576574678e-05,6.4829342321458e-05,7.13122765536038e-05,7.84435042089642e-05,8.62878546298606e-05,9.49166400928467e-05,0.000104408304102131,0.000114849134512344,0.000126334047963579,0.000138967452759937,0.000152864198035931,0.000168150617839524,0.000184965679623476,0.000203462247585824,0.000223808472344406,0.000246189319578847,0.000270808251536731,0.000297889076690404,0.000327677984359445,0.000360445782795389,0.000396490361074928,0.000436139397182421,0.000479753336900663,0.00052772867059073,0.000580501537649803,0.000638551691414783,0.000702406860556261,0.000772647546611888,0.000849912301273076,0.000934903531400384,0.00102839388454042,0.00113123327299447,0.00124435660029391,0.0013687922603233,0.00150567148635563,0.0016562386349912,0.00182186249849032,0.00200404874833935,0.00220445362317328,0.00242489898549061,0.00266738888403967,0.00293412777244364,0.00322754054968801,0.00355029460465681,0.00390532406512249,0.00429585647163474,0.00472544211879821,0.00519798633067803,0.00571778496374584,0.00628956346012042,0.00691851980613246,0.00761037178674571,0.00837140896542028,0.00920854986196231,0.0101294048481585,0.0111423453329744,0.0122565798662718,0.013482237852899,0.0148304616381889,0.0163135078020078,0.0179448585822086,0.0197393444404295,0.0217132788844724,0.0238846067729197,0.0262730674502116,0.0289003741952328,0.0317904116147561,0.0349694527762317,0.0384663980538549,0.0423130378592403,0.0465443416451644,0.0511987758096808,0.0563186533906489,0.0619505187297138,0.0681455706026852,0.0749601276629537,0.0824561404292491,0.090701754472174,0.0997719299193914,0.109749122911331,0.120724035202464,0.13279643872271,0.146076082594981,0.160683690854479,0.176752059939927,0.19442726593392,0.213869992527312,0.235256991780043,0.258782690958047,0.284660960053852,0.313127056059237
"84-95",0.0055137723120244,0.0028427435985771,0.00141066708703638,0.000700021497346352,0.000347374728772128,0.00017237928070344,8.55405242657352e-05,4.24481484189811e-05,3.45042586632636e-05,3.795468452959e-05,4.1750152982549e-05,4.59251682808039e-05,5.05176851088843e-05,5.55694536197727e-05,6.112639898175e-05,6.7239038879925e-05,7.39629427679175e-05,8.13592370447093e-05,8.94951607491802e-05,9.84446768240983e-05,0.000108289144506508,0.000119118058957159,0.000131029864852875,0.000144132851338162,0.000158546136471979,0.000174400750119176,0.000191840825131094,0.000211024907644203,0.000232127398408624,0.000255340138249486,0.000280874152074435,0.000308961567281878,0.000339857724010066,0.000373843496411073,0.00041122784605218,0.000452350630657398,0.000497585693723138,0.000547344263095452,0.000602078689404997,0.000662286558345497,0.000728515214180047,0.000801366735598052,0.000881503409157857,0.000969653750073643,0.00106661912508101,0.00117328103758911,0.00129060914134802,0.00141967005548282,0.0015616370610311,0.00171780076713421,0.00188958084384763,0.0020785389282324,0.00228639282105564,0.0025150321031612,0.00276653531347732,0.00304318884482506,0.00334750772930756,0.00368225850223832,0.00405048435246215,0.00445553278770837,0.0049010860664792,0.00539119467312712,0.00593031414043984,0.00652334555448382,0.0071756801099322,0.00789324812092542,0.00868257293301796,0.00955083022631976,0.0105059132489517,0.0115565045738469,0.0127121550312316,0.0139833705343548,0.0153817075877902,0.0169198783465693,0.0186118661812262,0.0204730527993488,0.0225203580792837,0.0247723938872121,0.0272496332759333,0.0299745966035266,0.0329720562638793,0.0362692618902672,0.0398961880792939,0.0438858068872233,0.0482743875759457,0.0531018263335403,0.0584120089668943,0.0642532098635837,0.0706785308499421,0.0777463839349363,0.08552102232843,0.0940731245612729,0.1034804370174,0.11382848071914,0.125211328791054,0.13773246167016,0.151505707837176,0.166656278620893,0.183321906482983,0.201654097131281,0.221819506844409
"96-107",0.00362501909076407,0.00190267928651457,0.00094417486262758,0.000468532020890838,0.000232501693583682,0.00011537533212031,5.72532055861378e-05,2.84110085721828e-05,1.4098519023083e-05,1.2206186549914e-05,1.34268052049054e-05,1.47694857253959e-05,1.62464342979355e-05,1.7871077727729e-05,1.96581855005019e-05,2.16240040505521e-05,2.37864044556074e-05,2.61650449011681e-05,2.87815493912849e-05,3.16597043304134e-05,3.48256747634548e-05,3.83082422398002e-05,4.21390664637803e-05,4.63529731101583e-05,5.09882704211741e-05,5.60870974632915e-05,6.16958072096207e-05,6.78653879305828e-05,7.46519267236411e-05,8.21171193960052e-05,9.03288313356057e-05,9.93617144691663e-05,0.000109297885916083,0.000120227674507691,0.00013225044195846,0.000145475486154306,0.000160023034769737,0.000176025338246711,0.000193627872071382,0.00021299065927852,0.000234289725206372,0.000257718697727009,0.00028349056749971,0.000311839624249681,0.000343023586674649,0.000377325945342114,0.000415058539876326,0.000456564393863959,0.000502220833250354,0.00055244291657539,0.000607687208232929,0.000668455929056222,0.000735301521961844,0.000808831674158029,0.000889714841573832,0.000978686325731215,0.00107655495830434,0.00118421045413477,0.00130263149954825,0.00143289464950307,0.00157618411445338,0.00173380252589872,0.00190718277848859,0.00209790105633745,0.00230769116197119,0.00253846027816831,0.00279230630598514,0.00307153693658366,0.00337869063024202,0.00371655969326623,0.00408821566259285,0.00449703722885214,0.00494674095173735,0.00544141504691109,0.0059855565516022,0.00658411220676242,0.00724252342743866,0.00796677577018252,0.00876345334720078,0.00963979868192086,0.0106037785501129,0.0116641564051242,0.0128305720456367,0.0141136292502003,0.0155249921752204,0.0170774913927424,0.0187852405320166,0.0206637645852183,0.0227301410437401,0.0250031551481142,0.0275034706629256,0.0302538177292181,0.03327919950214,0.036607119452354,0.0402678313975893,0.0442946145373483,0.0487240759910831,0.0535964835901914,0.0589561319492106,0.0648517451441316,0.0713369196585448
"108-119",0.0022870100449032,0.00118395245294332,0.000587517903063474,0.000291546578210963,0.000144675433417963,7.179292298032e-05,3.56261161158423e-05,1.76789033906225e-05,8.77287953810884e-06,4.35340437637059e-06,3.91241503074977e-06,4.30365653382475e-06,4.73402218720722e-06,5.20742440592795e-06,5.72816684652074e-06,6.30098353117282e-06,6.9310818842901e-06,7.62419007271911e-06,8.38660907999102e-06,9.22526998799012e-06,1.01477969867891e-05,1.11625766854681e-05,1.22788343540149e-05,1.35067177894163e-05,1.4857389568358e-05,1.63431285251938e-05,1.79774413777132e-05,1.97751855154845e-05,2.17527040670329e-05,2.39279744737362e-05,2.63207719211098e-05,2.89528491132208e-05,3.18481340245429e-05,3.50329474269972e-05,3.85362421696969e-05,4.23898663866666e-05,4.66288530253333e-05,5.12917383278666e-05,5.64209121606533e-05,6.20630033767186e-05,6.82693037143905e-05,7.50962340858295e-05,8.26058574944125e-05,9.08664432438538e-05,9.99530875682392e-05,0.000109948396325063,0.000120943235957569,0.000133037559553326,0.000146341315508659,0.000160975447059525,0.000177072991765477,0.000194780290942025,0.000214258320036228,0.000235684152039851,0.000259252567243836,0.000285177823968219,0.000313695606365041,0.000345065167001545,0.0003795716837017,0.00041752885207187,0.000459281737279057,0.000505209911006963,0.000555730902107659,0.000611303992318425,0.000672434391550267,0.000739677830705294,0.000813645613775824,0.000895010175153406,0.000984511192668747,0.00108296231193562,0.00119125854312918,0.0013103843974421,0.00144142283718631,0.00158556512090494,0.00174412163299544,0.00191853379629498,0.00211038717592448,0.00232142589351693,0.00255356848286862,0.00280892533115548,0.00308981786427103,0.00339879965069814,0.00373867961576795,0.00411254757734475,0.00452380233507922,0.00497618256858714,0.00547380082544586,0.00602118090799045,0.00662329899878949,0.00728562889866844,0.00801419178853528,0.00881561096738881,0.00969717206412769,0.0106668892705405,0.0117335781975945,0.012906936017354,0.0141976296190894,0.0156173925809983,0.0171791318390981,0.0188970450230079,0.0207867495253087
