"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",3.7139783184766e-08,1.84300370193923e-08,9.15400576686366e-09,1.006940634355e-08,1.1076346977905e-08,1.21839816756955e-08,1.34023798432651e-08,1.47426178275916e-08,1.62168796103508e-08,1.78385675713858e-08,1.96224243285244e-08,2.15846667613769e-08,2.37431334375146e-08,2.6117446781266e-08,2.87291914593926e-08,3.16021106053319e-08,3.47623216658651e-08,3.82385538324516e-08,4.20624092156967e-08,4.62686501372664e-08,5.08955151509931e-08,5.59850666660924e-08,6.15835733327016e-08,6.77419306659718e-08,7.4516123732569e-08,8.19677361058259e-08,9.01645097164085e-08,9.91809606880493e-08,1.09099056756854e-07,1.2000896243254e-07,1.32009858675794e-07,1.45210844543373e-07,1.5973192899771e-07,1.75705121897481e-07,1.9327563408723e-07,2.12603197495953e-07,2.33863517245548e-07,2.57249868970103e-07,2.82974855867113e-07,3.11272341453824e-07,3.42399575599207e-07,3.76639533159127e-07,4.1430348647504e-07,4.55733835122544e-07,5.01307218634799e-07,5.51437940498279e-07,6.06581734548107e-07,6.67239908002917e-07,7.33963898803209e-07,8.0736028868353e-07,8.88096317551883e-07,9.76905949307071e-07,1.07459654423778e-06,1.18205619866156e-06,1.30026181852771e-06,1.43028800038048e-06,1.57331680041853e-06,1.73064848046039e-06,1.90371332850642e-06,2.09408466135707e-06,2.30349312749277e-06,2.53384244024205e-06,2.78722668426626e-06,3.06594935269288e-06,3.37254428796217e-06,3.70979871675839e-06,4.08077858843423e-06,4.48885644727765e-06,4.93774209200542e-06,5.43151630120596e-06,5.97466793132656e-06,6.57213472445921e-06,7.22934819690513e-06,7.95228301659565e-06,8.74751131825521e-06,9.62226245008073e-06,1.05844886950888e-05,1.16429375645977e-05,1.28072313210575e-05,1.40879544531632e-05,1.54967498984795e-05,1.70464248883275e-05,1.87510673771602e-05,2.06261741148763e-05,2.26887915263639e-05,2.49576706790003e-05,2.74534377469003e-05,3.01987815215903e-05,3.32186596737494e-05,3.65405256411243e-05,4.01945782052367e-05,4.42140360257604e-05,4.86354396283365e-05,5.34989835911701e-05,5.88488819502871e-05,6.47337701453159e-05,7.12071471598474e-05,7.83278618758322e-05,8.61606480634154e-05,9.4776712869757e-05,0.000104254384156733
"24-29",1.91152777852217e-06,9.48565788510332e-07,4.7071094924284e-07,2.52643916173007e-07,2.77908307790307e-07,3.05699138569338e-07,3.36269052426272e-07,3.69895957668899e-07,4.06885553435789e-07,4.47574108779368e-07,4.92331519657305e-07,5.41564671623036e-07,5.95721138785339e-07,6.55293252663873e-07,7.2082257793026e-07,7.92904835723287e-07,8.72195319295615e-07,9.59414851225177e-07,1.05535633634769e-06,1.16089196998246e-06,1.27698116698071e-06,1.40467928367878e-06,1.54514721204666e-06,1.69966193325133e-06,1.86962812657646e-06,2.05659093923411e-06,2.26225003315752e-06,2.48847503647327e-06,2.7373225401206e-06,3.01105479413265e-06,3.31216027354592e-06,3.64337630090051e-06,4.00771393099056e-06,4.40848532408962e-06,4.84933385649858e-06,5.33426724214844e-06,5.86769396636329e-06,6.45446336299962e-06,7.09990969929958e-06,7.80990066922954e-06,8.59089073615249e-06,9.44997980976774e-06,1.03949777907445e-05,1.1434475569819e-05,1.25779231268009e-05,1.3835715439481e-05,1.52192869834291e-05,1.6741215681772e-05,1.84153372499492e-05,2.02568709749441e-05,2.22825580724385e-05,2.45108138796823e-05,2.69618952676506e-05,2.96580847944156e-05,3.26238932738572e-05,3.58862826012429e-05,3.94749108613672e-05,4.34224019475039e-05,4.77646421422543e-05,5.25411063564798e-05,5.77952169921277e-05,6.35747386913405e-05,6.99322125604746e-05,7.6925433816522e-05,8.46179771981743e-05,9.30797749179917e-05,0.000102387752409791,0.00011262652765077,0.000123889180415847,0.000136278098457432,0.000149905908303175,0.000164896499133492,0.000181386149046842,0.000199524763951526,0.000219477240346678,0.000241424964381346,0.000265567460819481,0.000292124206901429,0.000321336627591572,0.000353470290350729,0.000388817319385802,0.000427699051324382,0.000470468956456821,0.000517515852102503,0.000569267437312753,0.000626194181044028,0.000688813599148431,0.000757694959063274,0.000833464454969602,0.000916810900466562,0.00100849199051322,0.00110934118956454,0.00122027530852099,0.00134230283937309,0.0014765331233104,0.00162418643564144,0.00178660507920559,0.00196526558712615,0.00216179214583876,0.00237797136042264,0.0026157684964649
"30-35",2.61136195285894e-06,1.29584756116627e-06,6.4304410192625e-07,3.36155132927112e-07,3.69770646219823e-07,4.06747710841805e-07,4.47422481925986e-07,4.92164730118584e-07,5.41381203130443e-07,5.95519323443487e-07,6.55071255787836e-07,7.2057838136662e-07,7.92636219503281e-07,8.7189984145361e-07,9.59089825598971e-07,1.05499880815887e-06,1.16049868897475e-06,1.27654855787223e-06,1.40420341365945e-06,1.5446237550254e-06,1.69908613052794e-06,1.86899474358073e-06,2.05589421793881e-06,2.26148363973269e-06,2.48763200370596e-06,2.73639520407655e-06,3.01003472448421e-06,3.31103819693263e-06,3.64214201662589e-06,4.00635621828848e-06,4.40699184011733e-06,4.84769102412906e-06,5.33246012654197e-06,5.86570613919617e-06,6.45227675311579e-06,7.09750442842736e-06,7.8072548712701e-06,8.58798035839711e-06,9.44677839423682e-06,1.03914562336605e-05,1.14306018570266e-05,1.25736620427292e-05,1.38310282470021e-05,1.52141310717024e-05,1.67355441788726e-05,1.84090985967599e-05,2.02500084564358e-05,2.22750093020794e-05,2.45025102322874e-05,2.69527612555161e-05,2.96480373810677e-05,3.26128411191745e-05,3.58741252310919e-05,3.94615377542011e-05,4.34076915296213e-05,4.77484606825834e-05,5.25233067508417e-05,5.77756374259259e-05,6.35532011685185e-05,6.99085212853703e-05,7.68993734139074e-05,8.45893107552981e-05,9.3048241830828e-05,0.000102353066013911,0.000112588372615302,0.000123847209876832,0.000136231930864515,0.000149855123950967,0.000164840636346063,0.00018132469998067,0.000199457169978737,0.000219402886976611,0.000241343175674272,0.000265477493241699,0.000292025242565869,0.000321227766822456,0.000353350543504701,0.000388685597855171,0.000427554157640689,0.000470309573404757,0.000517340530745233,0.000569074583819757,0.000625982042201732,0.000688580246421906,0.000757438271064096,0.000833182098170506,0.000916500307987557,0.00100815033878631,0.00110896537266494,0.00121986190993144,0.00134184810092458,0.00147603291101704,0.00162363620211874,0.00178599982233062,0.00196459980456368,0.00216105978502005,0.00237716576352206,0.00261488233987426,0.00287637057386169,0.00316400763124786,0.00348040839437264
"36-47",7.76452917178533e-05,3.85302626464585e-05,1.91200407231352e-05,9.48802141861213e-06,5.00164196972996e-06,5.50180616670296e-06,6.05198678337326e-06,6.65718546171058e-06,7.32290400788164e-06,8.0551944086698e-06,8.86071384953679e-06,9.74678523449047e-06,1.07214637579395e-05,1.17936101337335e-05,1.29729711471068e-05,1.42702682618175e-05,1.56972950879992e-05,1.72670245967992e-05,1.89937270564791e-05,2.0893099762127e-05,2.29824097383397e-05,2.52806507121737e-05,2.7808715783391e-05,3.05895873617302e-05,3.36485460979032e-05,3.70134007076935e-05,4.07147407784628e-05,4.47862148563091e-05,4.92648363419401e-05,5.41913199761341e-05,5.96104519737475e-05,6.55714971711223e-05,7.21286468882345e-05,7.93415115770579e-05,8.72756627347637e-05,9.60032290082401e-05,0.000105603551909064,0.000116163907099971,0.000127780297809968,0.000140558327590964,0.000154614160350061,0.000170075576385067,0.000187083134023574,0.000205791447425931,0.000226370592168524,0.000249007651385377,0.000273908416523914,0.000301299258176306,0.000331429183993936,0.00036457210239333,0.000401029312632663,0.000441132243895929,0.000485245468285522,0.000533770015114075,0.000587147016625482,0.00064586171828803,0.000710447890116833,0.000781492679128517,0.000859641947041368,0.000945606141745505,0.00104016675592006,0.00114418343151206,0.00125860177466327,0.0013844619521296,0.00152290814734255,0.00167519896207681,0.00184271885828449,0.00202699074411294,0.00222968981852423,0.00245265880037666,0.00269792468041432,0.00296771714845576,0.00326448886330133,0.00359093774963147,0.00395003152459461,0.00434503467705408,0.00477953814475948,0.00525749195923543,0.00578324115515897,0.00636156527067487,0.00699772179774236,0.0076974939775166,0.00846724337526826,0.00931396771279508,0.0102453644840746,0.0112699009324821,0.0123968910257303,0.0136365801283033,0.0150002381411336,0.016500261955247,0.0181502881507717,0.0199653169658489,0.0219618486624337,0.0241580335286771,0.0265738368815448,0.0292312205696993,0.0321543426266693,0.0353697768893362,0.0389067545782698,0.0427974300360968,0.0470771730397065
"48-59",0.000459399578418738,0.000227969861720234,0.000113126481377334,5.61372485478876e-05,2.78572323310916e-05,1.67104083040316e-05,1.83814491344347e-05,2.02195940478782e-05,2.2241553452666e-05,2.44657087979326e-05,2.69122796777259e-05,2.96035076454985e-05,3.25638584100483e-05,3.58202442510532e-05,3.94022686761585e-05,4.33424955437743e-05,4.76767450981518e-05,5.24444196079669e-05,5.76888615687636e-05,6.345774772564e-05,6.9803522498204e-05,7.67838747480244e-05,8.44622622228269e-05,9.29084884451096e-05,0.000102199337289621,0.000112419271018583,0.000123661198120441,0.000136027317932485,0.000149630049725733,0.000164593054698307,0.000181052360168138,0.000199157596184951,0.000219073355803446,0.000240980691383791,0.00026507876052217,0.000291586636574387,0.000320745300231826,0.000352819830255009,0.00038810181328051,0.000426911994608561,0.000469603194069417,0.000516563513476358,0.000568219864823994,0.000625041851306394,0.000687546036437033,0.000756300640080737,0.00083193070408881,0.000915123774497691,0.00100663615194746,0.00110729976714221,0.00121802974385643,0.00133983271824207,0.00147381599006628,0.00162119758907291,0.0017833173479802,0.00196164908277822,0.00215781399105604,0.00237359539016164,0.00261095492917781,0.00287205042209559,0.00315925546430515,0.00347518101073566,0.00382269911180923,0.00420496902299015,0.00462546592528917,0.00508801251781808,0.00559681376959989,0.00615649514655988,0.00677214466121587,0.00744935912733746,0.0081942950400712,0.00901372454407832,0.00991509699848616,0.0109066066983348,0.0119972673681683,0.0131969941049851,0.0145166935154836,0.0159683628670319,0.0175651991537351,0.0193217190691087,0.0212538909760195,0.0233792800736215,0.0257172080809836,0.028288928889082,0.0311178217779902,0.0342296039557892,0.0376525643513681,0.041417820786505,0.0455596028651555,0.050115563151671,0.0551271194668381,0.0606398314135219,0.0667038145548741,0.0733741960103615,0.0807116156113977,0.0887827771725375,0.0976610548897912,0.10742716037877,0.118169876416647,0.129986864058312,0.142985550464143
"60-71",0.00147421738480667,0.000731557339509811,0.000363023897632884,0.00018014493619991,8.93941094514043e-05,4.43604298471181e-05,2.96166234070918e-05,3.2578285747801e-05,3.58361143225811e-05,3.94197257548392e-05,4.33616983303231e-05,4.76978681633554e-05,5.2467654979691e-05,5.77144204776601e-05,6.34858625254261e-05,6.98344487779687e-05,7.68178936557656e-05,8.44996830213421e-05,9.29496513234763e-05,0.000102244616455824,0.000112469078101406,0.000123715985911547,0.000136087584502702,0.000149696342952972,0.000164665977248269,0.000181132574973096,0.000199245832470406,0.000219170415717446,0.000241087457289191,0.00026519620301811,0.000291715823319921,0.000320887405651913,0.000352976146217105,0.000388273760838815,0.000427101136922697,0.000469811250614966,0.000516792375676463,0.000568471613244109,0.00062531877456852,0.000687850652025372,0.00075663571722791,0.000832299288950701,0.000915529217845771,0.00100708213963035,0.00110779035359338,0.00121856938895272,0.00134042632784799,0.00147446896063279,0.00162191585669607,0.00178410744236568,0.00196251818660225,0.00215877000526247,0.00237464700578872,0.00261211170636759,0.00287332287700435,0.00316065516470479,0.00347672068117527,0.00382439274929279,0.00420683202422207,0.00462751522664428,0.00509026674930871,0.00559929342423958,0.00615922276666354,0.00677514504332989,0.00745265954766288,0.00819792550242917,0.00901771805267209,0.0099194898579393,0.0109114388437332,0.0120025827281066,0.0132028410009172,0.0145231251010089,0.0159754376111098,0.0175729813722208,0.0193302795094429,0.0212633074603872,0.0233896382064259,0.0257286020270685,0.0283014622297754,0.0311316084527529,0.0342447692980282,0.037669246227831,0.0414361708506141,0.0455797879356755,0.0501377667292431,0.0551515434021674,0.0606666977423841,0.0667333675166226,0.0734067042682848,0.0807473746951133,0.0888221121646246,0.0977043233810871,0.107474755719196,0.118222231291115,0.130044454420227,0.14304889986225,0.157353789848475,0.173089168833322,0.190398085716654,0.20943789428832,0.230381683717152
"72-83",0.00275711766765826,0.00136817655690045,0.000678936235768951,0.000336911497215233,0.000167187065552999,8.29639686364462e-05,4.11695729519655e-05,3.00996433732104e-05,3.31096077105315e-05,3.64205684815846e-05,4.00626253297431e-05,4.40688878627174e-05,4.84757766489891e-05,5.3323354313888e-05,5.86556897452768e-05,6.45212587198045e-05,7.0973384591785e-05,7.80707230509635e-05,8.58777953560599e-05,9.44655748916658e-05,0.000103912132380832,0.000114303345618916,0.000125733680180807,0.000138307048198888,0.000152137753018777,0.000167351528320654,0.00018408668115272,0.000202495349267992,0.000222744884194791,0.00024501937261427,0.000269521309875697,0.000296473440863267,0.000326120784949594,0.000358732863444553,0.000394606149789009,0.00043406676476791,0.000477473441244701,0.000525220785369171,0.000577742863906088,0.000635517150296697,0.000699068865326366,0.000768975751859003,0.000845873327044903,0.000930460659749394,0.00102350672572433,0.00112585739829677,0.00123844313812644,0.00136228745193909,0.001498516197133,0.0016483678168463,0.00181320459853093,0.00199452505838402,0.00219397756422242,0.00241337532064466,0.00265471285270913,0.00292018413798004,0.00321220255177805,0.00353342280695585,0.00388676508765144,0.00427544159641658,0.00470298575605824,0.00517328433166407,0.00569061276483047,0.00625967404131352,0.00688564144544488,0.00757420558998936,0.0083316261489883,0.00916478876388713,0.0100812676402758,0.0110893944043034,0.0121983338447338,0.0134181672292072,0.0147599839521279,0.0162359823473407,0.0178595805820747,0.0196455386402822,0.0216100925043104,0.0237711017547415,0.0261482119302156,0.0287630331232372,0.0316393364355609,0.034803270079117,0.0382835970870287,0.0421119567957316,0.0463231524753047,0.0509554677228352,0.0560510144951187,0.0616561159446306,0.0678217275390937,0.074603900293003,0.0820642903223033,0.0902707193545337,0.0992977912899871,0.109227570418986,0.120150327460884,0.132165360206973,0.14538189622767,0.159920085850437,0.175912094435481,0.193503303879029,0.212853634266932
"84-95",0.00335250915212849,0.0016636302768435,0.000825550527214278,0.000409666548192959,0.000203290622652311,0.000100879794654111,5.00600216413374e-05,2.48415034479755e-05,1.93389198177408e-05,2.12728117995149e-05,2.34000929794664e-05,2.5740102277413e-05,2.83141125051543e-05,3.11455237556698e-05,3.42600761312368e-05,3.76860837443605e-05,4.14546921187965e-05,4.56001613306762e-05,5.01601774637438e-05,5.51761952101181e-05,6.069381473113e-05,6.6763196204243e-05,7.34395158246673e-05,8.0783467407134e-05,8.88618141478474e-05,9.77479955626322e-05,0.000107522795118895,0.000118275074630785,0.000130102582093863,0.00014311284030325,0.000157424124333575,0.000173166536766932,0.000190483190443625,0.000209531509487988,0.000230484660436787,0.000253533126480466,0.000278886439128512,0.000306775083041363,0.0003374525913455,0.00037119785048005,0.000408317635528055,0.00044914939908086,0.000494064338988946,0.000543470772887841,0.000597817850176625,0.000657599635194288,0.000723359598713717,0.000795695558585088,0.000875265114443597,0.000962791625887957,0.00105907078847675,0.00116497786732443,0.00128147565405687,0.00140962321946256,0.00155058554140881,0.0017056440955497,0.00187620850510467,0.00206382935561513,0.00227021229117665,0.00249723352029431,0.00274695687232374,0.00302165255955612,0.00332381781551173,0.0036561995970629,0.00402181955676919,0.00442400151244611,0.00486640166369072,0.0053530418300598,0.00588834601306578,0.00647718061437235,0.00712489867580959,0.00783738854339055,0.00862112739772961,0.00948324013750257,0.0104315641512528,0.0114747205663781,0.0126221926230159,0.0138844118853175,0.0152728530738493,0.0168001383812342,0.0184801522193576,0.0203281674412934,0.0223609841854227,0.024597082603965,0.0270567908643615,0.0297624699507976,0.0327387169458774,0.0360125886404652,0.0396138475045117,0.0435752322549628,0.0479327554804591,0.0527260310285051,0.0579986341313556,0.0637984975444911,0.0701783472989402,0.0771961820288343,0.0849158002317177,0.0934073802548895,0.102748118280378,0.113022930108416,0.124325223119258
"96-107",0.0042532816515896,0.0021106245532648,0.00104736445167683,0.00051973824190544,0.0002579119805589,0.00012798478994339,6.35104519819423e-05,3.15160693136639e-05,1.56393568930367e-05,1.26605122024539e-05,1.39265634226993e-05,1.53192197649693e-05,1.68511417414662e-05,1.85362559156128e-05,2.03898815071741e-05,2.24288696578915e-05,2.46717566236807e-05,2.71389322860487e-05,2.98528255146536e-05,3.2838108066119e-05,3.61219188727309e-05,3.9734110760004e-05,4.37075218360044e-05,4.80782740196048e-05,5.28861014215653e-05,5.81747115637218e-05,6.3992182720094e-05,7.03914009921034e-05,7.74305410913138e-05,8.51735952004452e-05,9.36909547204897e-05,0.000103060050192539,0.000113366055211793,0.000124702660732972,0.000137172926806269,0.000150890219486896,0.000165979241435586,0.000182577165579144,0.000200834882137059,0.000220918370350764,0.000243010207385841,0.000267311228124425,0.000294042350936867,0.000323446586030554,0.00035579124463361,0.000391370369096971,0.000430507406006668,0.000473558146607335,0.000520913961268068,0.000573005357394875,0.000630305893134362,0.000693336482447799,0.000762670130692579,0.000838937143761837,0.00092283085813802,0.00101511394395182,0.001116625338347,0.00122828787218171,0.00135111665939988,0.00148622832533986,0.00163485115787385,0.00179833627366124,0.00197816990102736,0.0021759868911301,0.0023935855802431,0.00263294413826742,0.00289623855209416,0.00318586240730357,0.00350444864803393,0.00385489351283732,0.00424038286412106,0.00466442115053316,0.00513086326558648,0.00564394959214513,0.00620834455135964,0.00682917900649561,0.00751209690714517,0.00826330659785969,0.00908963725764565,0.00999860098341022,0.0109984610817512,0.0120983071899264,0.013308137908919,0.0146389516998109,0.016102846869792,0.0177131315567712,0.0194844447124483,0.0214328891836932,0.0235761781020625,0.0259337959122687,0.0285271755034956,0.0313798930538452,0.0345178823592297,0.0379696705951527,0.0417666376546679,0.0459433014201347,0.0505376315621482,0.055591394718363,0.0611505341901993,0.0672655876092193,0.0739921463701412
"108-119",0.00487730784217378,0.0024202877986403,0.00120102999806474,0.000595992367957957,0.000295751898983781,0.000146762258134626,7.28284771350048e-05,3.61399936824258e-05,1.7933907102638e-05,8.89942114523531e-06,7.3516690003429e-06,8.0868359003772e-06,8.89551949041492e-06,9.78507143945641e-06,1.07635785834021e-05,1.18399364417423e-05,1.30239300859165e-05,1.43263230945081e-05,1.5758955403959e-05,1.73348509443548e-05,1.90683360387903e-05,2.09751696426694e-05,2.30726866069363e-05,2.53799552676299e-05,2.79179507943929e-05,3.07097458738322e-05,3.37807204612155e-05,3.7158792507337e-05,4.08746717580707e-05,4.49621389338778e-05,4.94583528272656e-05,5.44041881099921e-05,5.98446069209914e-05,6.58290676130905e-05,7.24119743743995e-05,7.96531718118395e-05,8.76184889930235e-05,9.63803378923258e-05,0.000106018371681558,0.000116620208849714,0.000128282229734686,0.000141110452708154,0.00015522149797897,0.000170743647776867,0.000187818012554553,0.000206599813810009,0.00022725979519101,0.000249985774710111,0.000274984352181122,0.000302482787399234,0.000332731066139157,0.000366004172753073,0.00040260459002838,0.000442865049031219,0.00048715155393434,0.000535866709327774,0.000589453380260552,0.000648398718286607,0.000713238590115268,0.000784562449126795,0.000863018694039475,0.000949320563443422,0.00104425261978776,0.00114867788176654,0.00126354566994319,0.00138990023693751,0.00152889026063127,0.00168177928669439,0.00184995721536383,0.00203495293690022,0.00223844823059024,0.00246229305364926,0.00270852235901419,0.00297937459491561,0.00327731205440717,0.00360504325984788,0.00396554758583267,0.00436210234441594,0.00479831257885754,0.00527814383674329,0.00580595822041762,0.00638655404245938,0.00702520944670532,0.00772773039137585,0.00850050343051344,0.00935055377356478,0.0102856091509213,0.0113141700660134,0.0124455870726147,0.0136901457798762,0.0150591603578638,0.0165650763936502,0.0182215840330152,0.0200437424363168,0.0220481166799484,0.0242529283479433,0.0266782211827376,0.0293460433010114,0.0322806476311125,0.0355087123942238,0.0390595836336461
