"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36-47",6.72271172693995e-06,3.33604063819704e-06,1.65545803415966e-06,8.21495179490642e-07,4.56375620902468e-07,5.02013182992715e-07,5.52214501291987e-07,6.07435951421185e-07,6.68179546563304e-07,7.34997501219634e-07,8.08497251341598e-07,8.89346976475758e-07,9.78281674123334e-07,1.07610984153567e-06,1.18372082568923e-06,1.30209290825816e-06,1.43230219908397e-06,1.57553241899237e-06,1.73308566089161e-06,1.90639422698077e-06,2.09703364967885e-06,2.30673701464673e-06,2.5374107161114e-06,2.79115178772254e-06,3.0702669664948e-06,3.37729366314428e-06,3.71502302945871e-06,4.08652533240458e-06,4.49517786564504e-06,4.94469565220954e-06,5.4391652174305e-06,5.98308173917355e-06,6.5813899130909e-06,7.23952890439999e-06,7.96348179483999e-06,8.75982997432399e-06,9.63581297175639e-06,1.0599394268932e-05,1.16593336958252e-05,1.28252670654078e-05,1.41077937719485e-05,1.55185731491434e-05,1.70704304640577e-05,1.87774735104635e-05,2.06552208615099e-05,2.27207429476609e-05,2.49928172424269e-05,2.74920989666696e-05,3.02413088633366e-05,3.32654397496703e-05,3.65919837246373e-05,4.0251182097101e-05,4.42763003068111e-05,4.87039303374922e-05,5.35743233712415e-05,5.89317557083656e-05,6.48249312792022e-05,7.13074244071224e-05,7.84381668478346e-05,8.62819835326181e-05,9.491018188588e-05,0.000104401200074468,0.000114841320081915,0.000126325452090106,0.000138957997299117,0.000152853797029029,0.000168139176731932,0.000184953094405125,0.000203448403845637,0.000223793244230201,0.000246172568653221,0.000270789825518543,0.000297868808070397,0.000327655688877437,0.000360421257765181,0.000396463383541699,0.000436109721895869,0.000479720694085456,0.000527692763494001,0.000580462039843401,0.000638508243827742,0.000702359068210516,0.000772594975031568,0.000849854472534724,0.000934839919788197,0.00102832391176702,0.00113115630294372,0.00124427193323809,0.0013686991265619,0.00150556903921809,0.0016561259431399,0.00182173853745389,0.00200391239119928,0.00220430363031921,0.00242473399335113,0.00266720739268624,0.00293392813195487,0.00322732094515035,0.00355005303966539,0.00390505834363193,0.00429556417799512
"48-59",1.2330057524423e-05,6.11859836380424e-06,3.03625882226366e-06,1.50669599271459e-06,7.47674341138587e-07,7.82370862026702e-07,8.60607948229372e-07,9.46668743052309e-07,1.04133561735754e-06,1.14546917909329e-06,1.26001609700262e-06,1.38601770670288e-06,1.52461947737317e-06,1.67708142511049e-06,1.84478956762154e-06,2.02926852438369e-06,2.23219537682206e-06,2.45541491450427e-06,2.7009564059547e-06,2.97105204655017e-06,3.26815725120519e-06,3.59497297632571e-06,3.95447027395827e-06,4.34991730135411e-06,4.78490903148951e-06,5.26339993463847e-06,5.78973992810232e-06,6.36871392091255e-06,7.00558531300381e-06,7.70614384430419e-06,8.47675822873459e-06,9.32443405160807e-06,1.02568774567689e-05,1.12825652024458e-05,1.24108217226903e-05,1.36519038949594e-05,1.50170942844553e-05,1.65188037129008e-05,1.81706840841909e-05,1.998775249261e-05,2.1986527741871e-05,2.41851805160581e-05,2.66036985676639e-05,2.92640684244303e-05,3.21904752668734e-05,3.54095227935607e-05,3.89504750729168e-05,4.28455225802085e-05,4.71300748382294e-05,5.18430823220523e-05,5.70273905542575e-05,6.27301296096833e-05,6.90031425706515e-05,7.59034568277168e-05,8.34938025104883e-05,9.18431827615373e-05,0.000101027501037691,0.00011113025114146,0.000122243276255606,0.000134467603881167,0.000147914364269283,0.000162705800696212,0.000178976380765833,0.000196874018842416,0.000216561420726658,0.000238217562799324,0.000262039319079256,0.000288243250987182,0.0003170675760859,0.00034877433369449,0.000383651767063939,0.000422016943770333,0.000464218638147365,0.000510640501962103,0.000561704552158314,0.000617875007374145,0.000679662508111559,0.000747628758922715,0.000822391634814987,0.000904630798296486,0.000995093878126133,0.00109460326593875,0.00120406359253262,0.00132446995178588,0.00145691694696447,0.00160260864166092,0.00176286950582701,0.00193915645640971,0.00213307210205069,0.00234637931225575,0.00258101724348133,0.00283911896782946,0.0031230308646124,0.00343533395107365,0.00377886734618102,0.00415675408079912,0.00457242948887903,0.00502967243776694,0.00553263968154362,0.00608590364969799,0.0066944940146678
"60-71",5.65649581178186e-06,2.80694765213211e-06,1.39290390799895e-06,6.91206797335479e-07,3.4300057163968e-07,1.7020867358173e-07,1.13637451293054e-07,1.25001196422355e-07,1.37501316064591e-07,1.51251447671052e-07,1.66376592438157e-07,1.83014251681976e-07,2.01315676850176e-07,2.21447244535189e-07,2.43591968988708e-07,2.67951165887572e-07,2.94746282476335e-07,3.24220910723964e-07,3.56643001796374e-07,3.92307301975999e-07,4.31538032173599e-07,4.74691835390967e-07,5.22161018930055e-07,5.74377120823059e-07,6.31814832905361e-07,6.94996316195903e-07,7.64495947815511e-07,8.40945542597045e-07,9.25040096856752e-07,1.01754410654244e-06,1.11929851719668e-06,1.23122836891634e-06,1.35435120580799e-06,1.48978632638874e-06,1.63876495902764e-06,1.8026414549304e-06,1.98290560042341e-06,2.1811961604658e-06,2.39931577651235e-06,2.63924735416365e-06,2.90317208957995e-06,3.19348929853796e-06,3.51283822839181e-06,3.86412205123085e-06,4.25053425635402e-06,4.67558768198949e-06,5.14314645018844e-06,5.65746109520732e-06,6.22320720472774e-06,6.84552792520085e-06,7.53008071772087e-06,8.28308878949289e-06,9.11139766844235e-06,1.00225374352863e-05,1.10247911788148e-05,1.21272702966967e-05,1.33399973263665e-05,1.46739970590031e-05,1.61413967649034e-05,1.77555364413936e-05,1.95310900855327e-05,2.14841990940867e-05,2.36326190034947e-05,2.59958809038442e-05,2.85954689942282e-05,3.14550158936511e-05,3.46005174830166e-05,3.80605692313182e-05,4.1866626154451e-05,4.6053288769895e-05,5.06586176468836e-05,5.57244794115739e-05,6.12969273527299e-05,6.74266200880033e-05,7.41692820968049e-05,8.15862103064838e-05,8.97448313371321e-05,9.87193144708458e-05,0.000108591245917932,0.000119450370509725,0.000131395407560696,0.000144534948316764,0.00015898844314844,0.000174887287463288,0.000192376016209618,0.000211613617830574,0.000232774979613631,0.000256052477574997,0.000281657725332497,0.000309823497865742,0.000340805847652316,0.000374886432417558,0.000412375075659298,0.000453612583225245,0.000498973841547769,0.000548871225702526,0.000603758348272782,0.000664134183100074,0.000730547601410086,0.000803602361551081,0.000883962597706192
"72-83",1.68057233701155e-05,8.33957759817882e-06,4.13838505992057e-06,2.05360891514629e-06,1.01907133224801e-06,5.05698223527494e-07,2.50944840843212e-07,1.83469238909533e-07,2.01816162800484e-07,2.21997779080533e-07,2.44197556988593e-07,2.6861731268745e-07,2.95479043956199e-07,3.25026948351815e-07,3.57529643186998e-07,3.93282607505697e-07,4.32610868256273e-07,4.758719550819e-07,5.23459150590088e-07,5.75805065649095e-07,6.33385572214014e-07,6.96724129435432e-07,7.66396542378943e-07,8.43036196616849e-07,9.2733981627851e-07,1.02007379790637e-06,1.122081177697e-06,1.2342892954667e-06,1.35771822501338e-06,1.4934900475147e-06,1.64283905226619e-06,1.80712295749287e-06,1.98783525324212e-06,2.18661877856628e-06,2.40528065642294e-06,2.64580872206524e-06,2.91038959427173e-06,3.20142855369902e-06,3.52157140906881e-06,3.87372854997577e-06,4.26110140497321e-06,4.68721154547072e-06,5.15593270001777e-06,5.67152597001944e-06,6.23867856702136e-06,6.8625464237236e-06,7.54880106609585e-06,8.30368117270535e-06,9.13404928997602e-06,1.00474542189736e-05,1.1052199640871e-05,1.21574196049583e-05,1.33731615654541e-05,1.47104777219989e-05,1.6181525494199e-05,1.77996780436188e-05,1.95796458479808e-05,2.15376104327788e-05,2.36913714760571e-05,2.60605086236623e-05,2.86665594860288e-05,3.15332154346322e-05,3.46865369780956e-05,3.8155190675905e-05,4.19707097434954e-05,4.61677807178434e-05,5.07845587896299e-05,5.58630146685925e-05,6.1449316135451e-05,6.75942477489965e-05,7.43536725238934e-05,8.17890397762852e-05,8.99679437539151e-05,9.89647381293042e-05,0.000108861211942236,0.000119747333136458,0.000131722066450107,0.000144894273095116,0.000159383700404626,0.000175322070445089,0.0001928542774896,0.000212139705238555,0.000233353675762413,0.00025668904333866,0.000282357947672524,0.000310593742439781,0.000341653116683757,0.000375818428352132,0.000413400271187352,0.000454740298306076,0.000500214328136683,0.000550235760950354,0.000605259337045402,0.000665785270749938,0.000732363797824917,0.000805600177607418,0.000886160195368135,0.000974776214904965,0.00107225383639548,0.00117947922003503,0.00129742714203854
"84-95",3.50164450121952e-05,1.73763636328115e-05,8.62274891110556e-06,4.27890439882219e-06,2.12333944117052e-06,1.05367401610358e-06,5.22869264652195e-07,2.59465701668257e-07,2.01992057788488e-07,2.22191263567334e-07,2.44410389924073e-07,2.68851428916474e-07,2.95736571808124e-07,3.25310228988936e-07,3.57841251887823e-07,3.93625377076616e-07,4.32987914784272e-07,4.76286706262701e-07,5.23915376888961e-07,5.76306914577868e-07,6.3393760603565e-07,6.9733136663923e-07,7.67064503303131e-07,8.43770953633458e-07,9.28148048996797e-07,1.02096285389647e-06,1.12305913928612e-06,1.23536505321475e-06,1.35890155853624e-06,1.49479171438984e-06,1.64427088582882e-06,1.80869797441167e-06,1.9895677718529e-06,2.18852454903821e-06,2.40737700394196e-06,2.6481147043362e-06,2.91292617476984e-06,3.20421879224672e-06,3.52464067147147e-06,3.87710473861861e-06,4.26481521248055e-06,4.6912967337286e-06,5.16042640710129e-06,5.67646904781158e-06,6.24411595259266e-06,6.86852754785191e-06,7.55538030263706e-06,8.31091833290081e-06,9.14201016619088e-06,1.005621118281e-05,1.1061832301091e-05,1.21680155311999e-05,1.33848170843199e-05,1.47232987927524e-05,1.61956286720275e-05,1.78151915392302e-05,1.9596710693153e-05,2.15563817624691e-05,2.37120199387156e-05,2.60832219325866e-05,2.86915441258459e-05,3.15606985384306e-05,3.47167683922736e-05,3.81884452315003e-05,4.2007289754651e-05,4.62080187301154e-05,5.08288206031255e-05,5.5911702663441e-05,6.15028729297838e-05,6.76531602227621e-05,7.44184762450379e-05,8.18603238695419e-05,9.00463562564964e-05,9.9050991882144e-05,0.000108956091070362,0.000119851700177398,0.000131836870195136,0.00014502055721465,0.000159522612936114,0.000175474874229729,0.000193022361652698,0.000212324597817969,0.000233557057599761,0.000256912763359748,0.000282604039695718,0.000310864443665283,0.000341950888031822,0.000376145976834996,0.000413760574518501,0.000455136631970346,0.000500650295167396,0.00055071532468412,0.00060578685715254,0.000666365542867781,0.000733002097154573,0.000806302306870024,0.000886932537557034,0.000975625791312718,0.001073188370444,0.0011805072074884,0.00129855792823727
"96-107",4.05943477004532e-05,2.01443106755753e-05,9.99629937617074e-06,4.96050735253957e-06,2.46157425549465e-06,1.22151775709227e-06,6.0615909821169e-07,3.00796979995976e-07,1.49265800747087e-07,1.20834987313894e-07,1.32918486045284e-07,1.46210334649811e-07,1.60831368114791e-07,1.76914504926277e-07,1.946059554189e-07,2.14066550960785e-07,2.35473206056866e-07,2.59020526662552e-07,2.84922579328806e-07,3.13414837261691e-07,3.44756320987855e-07,3.79231953086645e-07,4.17155148395311e-07,4.58870663234849e-07,5.04757729558332e-07,5.55233502514149e-07,6.10756852765575e-07,6.71832538042135e-07,7.3901579184634e-07,8.12917371030978e-07,8.94209108134069e-07,9.83630018947481e-07,1.08199302084223e-06,1.19019232292647e-06,1.3092115552191e-06,1.44013271074101e-06,1.58414598181513e-06,1.74256057999665e-06,1.91681663799629e-06,2.10849830179597e-06,2.31934813197551e-06,2.55128294517315e-06,2.80641123969036e-06,3.08705236365945e-06,3.39575760002536e-06,3.73533336002789e-06,4.10886669603065e-06,4.51975336563379e-06,4.97172870219699e-06,5.46890157241678e-06,6.01579172965845e-06,6.61737090262436e-06,7.27910799288678e-06,8.00701879217537e-06,8.807720671393e-06,9.68849273853226e-06,1.06573420123855e-05,1.17230762136241e-05,1.28953838349868e-05,1.41849222184854e-05,1.56034144403337e-05,1.71637558843672e-05,1.8880131472804e-05,2.07681446200846e-05,2.28449590820926e-05,2.5129454990302e-05,2.76424004893318e-05,3.04066405382658e-05,3.34473045920927e-05,3.67920350513007e-05,4.04712385564309e-05,4.45183624120738e-05,4.89701986532819e-05,5.38672185186103e-05,5.92539403704703e-05,6.51793344075184e-05,7.16972678482704e-05,7.88669946330976e-05,8.67536940964073e-05,9.54290635060452e-05,0.00010497196985665,0.000115469166842319,0.000127016083526549,0.000139717691879204,0.000153689461067126,0.000169058407173839,0.000185964247891222,0.000204560672680345,0.000225016739948378,0.000247518413943215,0.000272270255337541,0.000299497280871287,0.000329447008958407,0.000362391709854262,0.000398630880839683,0.000438493968923662,0.000482343365816019,0.000530577702397624,0.000583635472637387,0.000641999019901113,0.000706198921891235
"108-119",3.77397574470298e-05,1.87277648712001e-05,9.29336065721206e-06,4.61168499812996e-06,2.2884766131907e-06,1.1356207571082e-06,5.6353405428816e-07,2.79644968053539e-07,1.38769445364653e-07,6.8862168702161e-08,5.68859325435009e-08,6.25745257978515e-08,6.88319783776368e-08,7.57151762154004e-08,8.32866938369418e-08,9.16153632206352e-08,1.007768995427e-07,1.10854589496967e-07,1.21940048446667e-07,1.34134053291331e-07,1.47547458620463e-07,1.62302204482507e-07,1.7853242493076e-07,1.96385667423838e-07,2.16024234166224e-07,2.37626657582848e-07,2.6138932334113e-07,2.87528255675245e-07,3.16281081242769e-07,3.47909189367045e-07,3.82700108303746e-07,4.2097011913412e-07,4.63067131047539e-07,5.09373844152275e-07,5.60311228567523e-07,6.16342351424284e-07,6.77976586566694e-07,7.45774245223361e-07,8.20351669745701e-07,9.02386836720262e-07,9.92625520392285e-07,1.0918880724315e-06,1.20107687967467e-06,1.32118456764219e-06,1.45330302440635e-06,1.598633326847e-06,1.75849665953168e-06,1.93434632548488e-06,2.12778095803334e-06,2.34055905383665e-06,2.57461495922035e-06,2.83207645514249e-06,3.11528410065661e-06,3.42681251072223e-06,3.76949376179451e-06,4.14644313797397e-06,4.56108745177145e-06,5.0171961969484e-06,5.51891581664337e-06,6.07080739830766e-06,6.67788813813852e-06,7.34567695195247e-06,8.08024464714731e-06,8.88826911186243e-06,9.77709602304876e-06,1.07548056253533e-05,1.18302861878889e-05,1.30133148066776e-05,1.43146462873451e-05,1.57461109160798e-05,1.73207220076879e-05,1.90527942084565e-05,2.09580736293025e-05,2.30538809922326e-05,2.53592690914557e-05,2.78951960006016e-05,3.06847156006616e-05,3.3753187160728e-05,3.71285058768001e-05,4.0841356464481e-05,4.49254921109287e-05,4.94180413220212e-05,5.43598454542235e-05,5.97958299996468e-05,6.57754129996108e-05,7.2352954299572e-05,7.9588249729529e-05,8.75470747024824e-05,9.63017821727294e-05,0.000105931960390005,0.000116525156429003,0.000128177672071903,0.000140995439279095,0.000155094983207005,0.000170604481527701,0.000187664929680476,0.000206431422648524,0.000227074564913374,0.000249782021404712,0.000274760223545181,0.000302236245899701
