"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36-47",1.28961034577444e-05,6.3994898125747e-06,3.17564681420524e-06,1.57586510548949e-06,8.30722518689474e-07,9.13794770558422e-07,1.00517424761426e-06,1.10569167237569e-06,1.21626083961326e-06,1.33788692357459e-06,1.47167561593204e-06,1.61884317752525e-06,1.78072749527777e-06,1.95880024480555e-06,2.15468026928611e-06,2.37014829621472e-06,2.60716312583619e-06,2.86787943841981e-06,3.15466738226179e-06,3.47013412048797e-06,3.81714753253677e-06,4.19886228579044e-06,4.61874851436949e-06,5.08062336580644e-06,5.58868570238708e-06,6.14755427262579e-06,6.76230969988837e-06,7.43854066987721e-06,8.18239473686493e-06,9.00063421055142e-06,9.90069763160657e-06,1.08907673947672e-05,1.19798441342439e-05,1.31778285476683e-05,1.44956114024352e-05,1.59451725426787e-05,1.75396897969466e-05,1.92936587766412e-05,2.12230246543053e-05,2.33453271197359e-05,2.56798598317095e-05,2.82478458148804e-05,3.10726303963685e-05,3.41798934360053e-05,3.75978827796059e-05,4.13576710575665e-05,4.54934381633231e-05,5.00427819796554e-05,5.5047060177621e-05,6.05517661953831e-05,6.66069428149214e-05,7.32676370964135e-05,8.05944008060549e-05,8.86538408866604e-05,9.75192249753264e-05,0.000107271147472859,0.000117998262220145,0.000129798088442159,0.000142777897286375,0.000157055687015013,0.000172761255716514,0.000190037381288166,0.000209041119416982,0.000229945231358681,0.000252939754494549,0.000278233729944004,0.000306057102938404,0.000336662813232244,0.000370329094555469,0.000407362004011016,0.000448098204412117,0.000492908024853329,0.000542198827338662,0.000596418710072528,0.000656060581079781,0.000721666639187759,0.000793833303106536,0.000873216633417189,0.000960538296758908,0.0010565921264348,0.00116225133907828,0.00127847647298611,0.00140632412028472,0.00154695653231319,0.00170165218554451,0.00187181740409896,0.00205899914450886,0.00226489905895974,0.00249138896485572,0.00274052786134129,0.00301458064747542,0.00331603871222296,0.00364764258344525,0.00401240684178978,0.00441364752596876,0.00485501227856563,0.0053405135064222,0.00587456485706442,0.00646202134277086,0.00710822347704795,0.00781904582475274
"48-59",0.000132126310422705,6.55656167999654e-05,3.25359127384004e-05,1.61454382553961e-05,8.01192142832207e-06,4.80602224857975e-06,5.28662447343773e-06,5.8152869207815e-06,6.39681561285965e-06,7.03649717414562e-06,7.74014689156018e-06,8.5141615807162e-06,9.36557773878782e-06,1.03021355126666e-05,1.13323490639333e-05,1.24655839703266e-05,1.37121423673593e-05,1.50833566040952e-05,1.65916922645047e-05,1.82508614909552e-05,2.00759476400507e-05,2.20835424040558e-05,2.42918966444613e-05,2.67210863089075e-05,2.93931949397982e-05,3.23325144337781e-05,3.55657658771559e-05,3.91223424648715e-05,4.30345767113586e-05,4.73380343824945e-05,5.20718378207439e-05,5.72790216028183e-05,6.30069237631002e-05,6.93076161394102e-05,7.62383777533512e-05,8.38622155286863e-05,9.2248437081555e-05,0.00010147328078971,0.000111620608868682,0.00012278266975555,0.000135060936731105,0.000148567030404215,0.000163423733444637,0.0001797661067891,0.00019774271746801,0.000217516989214811,0.000239268688136293,0.000263195556949922,0.000289515112644914,0.000318466623909406,0.000350313286300346,0.000385344614930381,0.000423879076423419,0.000466266984065761,0.000512893682472337,0.000564183050719571,0.000620601355791528,0.000682661491370681,0.000750927640507749,0.000826020404558524,0.000908622445014376,0.000999484689515814,0.0010994331584674,0.00120937647431413,0.00133031412174555,0.0014633455339201,0.00160968008731211,0.00177064809604333,0.00194771290564766,0.00214248419621242,0.00235673261583367,0.00259240587741703,0.00285164646515874,0.00313681111167461,0.00345049222284207,0.00379554144512628,0.00417509558963891,0.0045926051486028,0.00505186566346308,0.00555705222980939,0.00611275745279033,0.00672403319806936,0.0073964365178763,0.00813608016966393,0.00894968818663032,0.00984465700529336,0.0108291227058227,0.011912034976405,0.0131032384740455,0.01441356232145,0.015854918553595,0.0174404104089545,0.01918445144985,0.021102896594835,0.0232131862543185,0.0255345048797503,0.0280879553677253,0.0308967509044979,0.0339864259949477,0.0373850685944424,0.0411235754538867
"60-71",0.000565649581178194,0.000280694765213223,0.000139290390799892,6.91206797335486e-05,3.43000571639682e-05,1.7020867358173e-05,1.13637451293052e-05,1.25001196422357e-05,1.37501316064592e-05,1.51251447671052e-05,1.66376592438157e-05,1.83014251681973e-05,2.0131567685017e-05,2.21447244535187e-05,2.43591968988706e-05,2.67951165887576e-05,2.94746282476334e-05,3.24220910723967e-05,3.56643001796364e-05,3.92307301976e-05,4.315380321736e-05,4.74691835390961e-05,5.22161018930057e-05,5.74377120823062e-05,6.31814832905369e-05,6.94996316195906e-05,7.64495947815496e-05,8.40945542597046e-05,9.25040096856751e-05,0.000101754410654243,0.000111929851719667,0.000123122836891634,0.000135435120580797,0.000148978632638877,0.000163876495902764,0.000180264145493041,0.000198290560042345,0.000218119616046579,0.000239931577651237,0.000263924735416361,0.000290317208957997,0.000319348929853797,0.000351283822839177,0.000386412205123094,0.000425053425635404,0.000467558768198944,0.000514314645018839,0.000565746109520722,0.000622320720472795,0.000684552792520074,0.000753008071772082,0.00082830887894929,0.000911139766844219,0.00100225374352864,0.00110247911788151,0.00121272702966966,0.00133399973263662,0.00146739970590028,0.00161413967649031,0.00177555364413934,0.00195310900855328,0.00214841990940861,0.00236326190034947,0.00259958809038441,0.00285954689942286,0.00314550158936514,0.00346005174830166,0.00380605692313182,0.004186662615445,0.00460532887698951,0.00506586176468846,0.0055724479411573,0.00612969273527303,0.00674266200880034,0.00741692820968037,0.00815862103064841,0.00897448313371325,0.00987193144708458,0.010859124591793,0.0119450370509723,0.0131395407560696,0.0144534948316765,0.0158988443148442,0.0174887287463286,0.0192376016209615,0.0211613617830576,0.0232774979613634,0.0256052477574997,0.0281657725332497,0.0309823497865747,0.0340805847652321,0.0374886432417554,0.0412375075659309,0.045361258322524,0.0498973841547764,0.054887122570254,0.0603758348272794,0.0664134183100074,0.0730547601410081,0.080360236155109,0.0883962597706199
"72-83",0.00168057233701152,0.000833957759817875,0.000413838505992069,0.000205360891514636,0.000101907133224801,5.05698223527487e-05,2.50944840843212e-05,1.83469238909536e-05,2.0181616280049e-05,2.21997779080539e-05,2.44197556988593e-05,2.68617312687452e-05,2.95479043956197e-05,3.25026948351817e-05,3.57529643186998e-05,3.93282607505698e-05,4.32610868256268e-05,4.75871955081895e-05,5.23459150590085e-05,5.75805065649093e-05,6.33385572214003e-05,6.96724129435403e-05,7.66396542378943e-05,8.43036196616838e-05,9.27339816278521e-05,0.000102007379790637,0.000112208117769701,0.000123428929546671,0.000135771822501338,0.000149349004751472,0.000164283905226619,0.000180712295749281,0.00019878352532421,0.00021866187785663,0.000240528065642294,0.000264580872206523,0.000291038959427175,0.000320142855369893,0.000352157140906882,0.00038737285499757,0.000426110140497327,0.00046872115454706,0.000515593270001766,0.000567152597001943,0.000623867856702137,0.000686254642372351,0.000754880106609586,0.000830368117270545,0.0009134049289976,0.00100474542189736,0.0011052199640871,0.00121574196049581,0.00133731615654539,0.00147104777219992,0.00161815254941992,0.00177996780436191,0.0019579645847981,0.00215376104327791,0.0023691371476057,0.00260605086236627,0.0028666559486029,0.00315332154346319,0.00346865369780951,0.00381551906759046,0.00419707097434951,0.00461677807178446,0.0050784558789629,0.00558630146685919,0.00614493161354511,0.00675942477489963,0.00743536725238959,0.00817890397762855,0.00899679437539141,0.00989647381293055,0.0108861211942236,0.011974733313646,0.0131722066450106,0.0144894273095116,0.0159383700404628,0.0175322070445091,0.01928542774896,0.021213970523856,0.0233353675762416,0.0256689043338657,0.0282357947672523,0.0310593742439775,0.0341653116683753,0.0375818428352128,0.0413400271187341,0.0454740298306075,0.0500214328136683,0.0550235760950351,0.0605259337045386,0.0665785270749925,0.0732363797824917,0.0805600177607409,0.088616019536815,0.0974776214904965,0.107225383639546,0.117947922003501,0.129742714203851
"84-95",0.0035016445012195,0.00173763636328114,0.000862274891110555,0.000427890439882226,0.000212333944117051,0.000105367401610357,5.22869264652196e-05,2.59465701668261e-05,2.01992057788487e-05,2.22191263567336e-05,2.44410389924069e-05,2.68851428916476e-05,2.95736571808124e-05,3.25310228988936e-05,3.5784125188783e-05,3.93625377076613e-05,4.32987914784274e-05,4.76286706262701e-05,5.23915376888972e-05,5.76306914577869e-05,6.33937606035656e-05,6.97331366639221e-05,7.67064503303144e-05,8.43770953633458e-05,9.28148048996804e-05,0.000102096285389648,0.000112305913928613,0.000123536505321475,0.000135890155853622,0.000149479171438984,0.000164427088582883,0.000180869797441171,0.000198956777185288,0.000218852454903817,0.000240737700394199,0.000264811470433619,0.000291292617476981,0.000320421879224679,0.000352464067147147,0.000387710473861861,0.000426481521248047,0.000469129673372852,0.000516042640710137,0.000567646904781151,0.000624411595259266,0.000686852754785193,0.000755538030263712,0.000831091833290084,0.000914201016619092,0.001005621118281,0.0011061832301091,0.00121680155312001,0.00133848170843201,0.00147232987927521,0.00161956286720274,0.00178151915392301,0.00195967106931531,0.00215563817624684,0.00237120199387153,0.00260832219325868,0.00286915441258455,0.003156069853843,0.0034716768392273,0.00381884452315003,0.00420072897546504,0.00462080187301154,0.0050828820603127,0.00559117026634397,0.00615028729297836,0.0067653160222762,0.00744184762450382,0.0081860323869542,0.00900463562564963,0.00990509918821459,0.010895609107036,0.0119851700177397,0.0131836870195136,0.014502055721465,0.0159522612936115,0.0175474874229726,0.0193022361652699,0.0212324597817969,0.0233557057599766,0.0256912763359742,0.0282604039695717,0.0310864443665288,0.0341950888031817,0.0376145976834999,0.0413760574518499,0.0455136631970349,0.0500650295167384,0.0550715324684122,0.0605786857152534,0.0666365542867788,0.0733002097154567,0.0806302306870024,0.0886932537557026,0.0975625791312729,0.1073188370444,0.11805072074884,0.129855792823724
"96-107",0.00405943477004533,0.00201443106755754,0.000999629937617079,0.000496050735253954,0.000246157425549461,0.000122151775709227,6.06159098211697e-05,3.00796979995978e-05,1.49265800747087e-05,1.20834987313894e-05,1.32918486045283e-05,1.46210334649812e-05,1.60831368114793e-05,1.76914504926272e-05,1.94605955418899e-05,2.14066550960789e-05,2.35473206056868e-05,2.59020526662555e-05,2.84922579328811e-05,3.13414837261692e-05,3.44756320987861e-05,3.79231953086647e-05,4.17155148395312e-05,4.58870663234843e-05,5.04757729558327e-05,5.5523350251416e-05,6.10756852765576e-05,6.71832538042134e-05,7.39015791846347e-05,8.12917371030982e-05,8.9420910813408e-05,9.83630018947488e-05,0.000108199302084224,0.000119019232292646,0.000130921155521911,0.000144013271074102,0.000158414598181512,0.000174256057999663,0.00019168166379963,0.000210849830179593,0.000231934813197552,0.000255128294517307,0.000280641123969038,0.000308705236365942,0.000339575760002536,0.000373533336002789,0.000410886669603068,0.000451975336563375,0.000497172870219713,0.000546890157241684,0.000601579172965852,0.000661737090262438,0.000727910799288681,0.00080070187921755,0.000880772067139305,0.000968849273853235,0.00106573420123856,0.00117230762136241,0.00128953838349866,0.00141849222184852,0.00156034144403337,0.00171637558843671,0.00188801314728038,0.00207681446200842,0.00228449590820926,0.00251294549903019,0.00276424004893321,0.00304066405382653,0.00334473045920919,0.0036792035051301,0.00404712385564311,0.00445183624120743,0.00489701986532817,0.00538672185186099,0.00592539403704709,0.0065179334407518,0.00716972678482698,0.00788669946330967,0.00867536940964064,0.00954290635060471,0.0104971969856652,0.0115469166842317,0.0127016083526549,0.0139717691879204,0.0153689461067124,0.0169058407173836,0.018596424789122,0.0204560672680342,0.0225016739948376,0.0247518413943214,0.0272270255337535,0.0299497280871289,0.0329447008958418,0.036239170985426,0.0398630880839685,0.0438493968923654,0.0482343365816019,0.0530577702397621,0.0583635472637384,0.0641999019901122,0.0706198921891234
"108-119",0.00377397574470296,0.00187277648711999,0.000929336065721205,0.000461168499812989,0.00022884766131907,0.000113562075710819,5.63534054288159e-05,2.79644968053533e-05,1.38769445364651e-05,6.88621687021617e-06,5.68859325435013e-06,6.25745257978515e-06,6.88319783776366e-06,7.57151762154003e-06,8.32866938369404e-06,9.16153632206344e-06,1.00776899542698e-05,1.10854589496968e-05,1.21940048446664e-05,1.34134053291331e-05,1.47547458620464e-05,1.6230220448251e-05,1.78532424930761e-05,1.96385667423838e-05,2.16024234166221e-05,2.37626657582843e-05,2.61389323341128e-05,2.87528255675241e-05,3.16281081242765e-05,3.47909189367041e-05,3.82700108303745e-05,4.2097011913412e-05,4.63067131047532e-05,5.09373844152285e-05,5.60311228567514e-05,6.16342351424265e-05,6.77976586566692e-05,7.45774245223361e-05,8.20351669745697e-05,9.02386836720267e-05,9.92625520392294e-05,0.000109188807243152,0.000120107687967468,0.000132118456764214,0.000145330302440636,0.000159863332684699,0.000175849665953169,0.000193434632548486,0.000212778095803335,0.000234055905383668,0.000257461495922035,0.000283207645514239,0.000311528410065663,0.000342681251072229,0.000376949376179452,0.000414644313797397,0.000456108745177137,0.000501719619694851,0.000551891581664336,0.000607080739830769,0.000667788813813847,0.000734567695195231,0.000808024464714754,0.00088882691118623,0.000977709602304853,0.00107548056253534,0.00118302861878887,0.00130133148066776,0.00143146462873454,0.00157461109160799,0.00173207220076879,0.00190527942084567,0.00209580736293023,0.00230538809922326,0.00253592690914558,0.00278951960006014,0.00306847156006616,0.00337531871607277,0.00371285058768005,0.00408413564644806,0.00449254921109286,0.00494180413220215,0.00543598454542236,0.0059795829999646,0.00657754129996106,0.00723529542995717,0.00795882497295289,0.00875470747024818,0.00963017821727299,0.0105931960390003,0.0116525156429003,0.0128177672071904,0.0140995439279094,0.0155094983207003,0.0170604481527704,0.0187664929680474,0.0206431422648522,0.0227074564913374,0.0249782021404711,0.0274760223545182,0.03022362458997
