"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36-47",1.71791701112229e-06,8.94995195182428e-07,4.86609048143909e-07,2.64569426752349e-07,1.43846444777504e-07,1.58231089255254e-07,1.7405419818078e-07,1.91459617998858e-07,2.10605579798743e-07,2.31666137778618e-07,2.5483275155648e-07,2.80316026712127e-07,3.0834762938334e-07,3.39182392321674e-07,3.73100631553842e-07,4.10410694709226e-07,4.51451764180149e-07,4.96596940598164e-07,5.4625663465798e-07,6.00882298123778e-07,6.60970527936156e-07,7.27067580729771e-07,7.99774338802749e-07,8.79751772683024e-07,9.67726949951326e-07,1.06449964494646e-06,1.1709496094411e-06,1.28804457038522e-06,1.41684902742374e-06,1.55853393016611e-06,1.71438732318272e-06,1.88582605550099e-06,2.07440866105109e-06,2.2818495271562e-06,2.51003447987182e-06,2.76103792785901e-06,3.03714172064491e-06,3.3408558927094e-06,3.67494148198034e-06,4.04243563017837e-06,4.44667919319621e-06,4.89134711251583e-06,5.38048182376741e-06,5.91853000614416e-06,6.51038300675857e-06,7.16142130743443e-06,7.87756343817787e-06,8.66531978199566e-06,9.53185176019523e-06,1.04850369362148e-05,1.15335406298362e-05,1.26868946928199e-05,1.39555841621018e-05,1.5351142578312e-05,1.68862568361432e-05,1.85748825197576e-05,2.04323707717333e-05,2.24756078489066e-05,2.47231686337973e-05,2.7195485497177e-05,2.99150340468947e-05,3.29065374515842e-05,3.61971911967427e-05,3.98169103164169e-05,4.37986013480586e-05,4.81784614828645e-05,5.29963076311509e-05,5.8295938394266e-05,6.41255322336927e-05,7.05380854570619e-05,7.75918940027681e-05,8.53510834030449e-05,9.38861917433494e-05,0.000103274810917684,0.000113602292009453,0.000124962521210398,0.000137458773331438,0.000151204650664582,0.00016632511573104,0.000182957627304144,0.000201253390034558,0.000221378729038014,0.000243516601941816,0.000267868262135997,0.000294655088349597,0.000324120597184557,0.000356532656903012,0.000392185922593314,0.000431404514852645,0.00047454496633791,0.000521999462971701,0.000574199409268871,0.000631619350195758,0.000694781285215334,0.000764259413736867,0.000840685355110554,0.00092475389062161,0.00101722927968377,0.00111895220765215,0.00123084742841736,0.0013539321712591
"48-59",3.03223335809248e-05,1.54632733752639e-05,8.40738450756985e-06,4.57109646468496e-06,2.48530596770517e-06,1.49956874261196e-06,1.64952561687316e-06,1.81447817856048e-06,1.99592599641652e-06,2.19551859605818e-06,2.415070455664e-06,2.6565775012304e-06,2.92223525135343e-06,3.21445877648878e-06,3.53590465413766e-06,3.88949511955142e-06,4.27844463150656e-06,4.70628909465722e-06,5.17691800412295e-06,5.69460980453524e-06,6.26407078498876e-06,6.89047786348764e-06,7.57952564983641e-06,8.33747821482005e-06,9.17122603630205e-06,1.00883486399323e-05,1.10971835039255e-05,1.2206901854318e-05,1.34275920397498e-05,1.47703512437248e-05,1.62473863680973e-05,1.7872125004907e-05,1.96593375053978e-05,2.16252712559375e-05,2.37877983815313e-05,2.61665782196844e-05,2.87832360416528e-05,3.16615596458181e-05,3.48277156103999e-05,3.831048717144e-05,4.2141535888584e-05,4.63556894774423e-05,5.09912584251866e-05,5.60903842677052e-05,6.16994226944758e-05,6.78693649639234e-05,7.46563014603157e-05,8.21219316063473e-05,9.0334124766982e-05,9.93675372436802e-05,0.000109304290968048,0.000120234720064853,0.000132258192071338,0.000145484011278472,0.00016003241240632,0.000176035653646951,0.000193639219011647,0.000213003140912811,0.000234303455004092,0.000257733800504502,0.000283507180554952,0.000311857898610447,0.000343043688471492,0.000377348057318641,0.000415082863050505,0.000456591149355556,0.000502250264291111,0.000552475290720223,0.000607722819792245,0.00066849510177147,0.000735344611948616,0.000808879073143478,0.000889766980457826,0.000978743678503609,0.00107661804635397,0.00118427985098937,0.0013027078360883,0.00143297861969713,0.00157627648166685,0.00173390412983353,0.00190729454281689,0.00209802399709857,0.00230782639680843,0.00253860903648928,0.0027924699401382,0.00307171693415202,0.00337888862756723,0.00371677749032395,0.00408845523935635,0.00449730076329198,0.00494703083962118,0.0054417339235833,0.00598590731594163,0.00658449804753579,0.00724294785228937,0.00796724263751831,0.00876396690127014,0.00964036359139716,0.0106043999505369,0.0116648399455906,0.0128313239401496
"60-71",0.000128031762908937,6.5159469248597e-05,3.54272151172379e-05,1.92617832133442e-05,1.04726349878217e-05,5.69397352121401e-06,4.08039128549599e-06,4.48843041404558e-06,4.93727345545014e-06,5.43100080099516e-06,5.97410088109467e-06,6.57151096920414e-06,7.22866206612456e-06,7.95152827273701e-06,8.74668110001072e-06,9.62134921001179e-06,1.0583484131013e-05,1.16418325441143e-05,1.28060157985257e-05,1.40866173783783e-05,1.54952791162161e-05,1.70448070278377e-05,1.87492877306215e-05,2.06242165036836e-05,2.2686638154052e-05,2.49553019694572e-05,2.74508321664029e-05,3.01959153830432e-05,3.32155069213475e-05,3.65370576134823e-05,4.01907633748305e-05,4.42098397123136e-05,4.86308236835449e-05,5.34939060518994e-05,5.88432966570894e-05,6.47276263227983e-05,7.12003889550781e-05,7.8320427850586e-05,8.61524706356445e-05,9.4767717699209e-05,0.00010424448946913,0.000114668938416043,0.000126135832257647,0.000138749415483412,0.000152624357031753,0.000167886792734929,0.000184675472008421,0.000203143019209264,0.00022345732113019,0.000245803053243209,0.00027038335856753,0.000297421694424283,0.000327163863866711,0.000359880250253382,0.000395868275278721,0.000435455102806593,0.000479000613087252,0.000526900674395977,0.000579590741835575,0.000637549816019133,0.000701304797621046,0.00077143527738315,0.000848578805121466,0.000933436685633612,0.00102678035419697,0.00112945838961667,0.00124240422857834,0.00136664465143617,0.00150330911657979,0.00165364002823777,0.00181900403106155,0.0020009044341677,0.00220099487758447,0.00242109436534292,0.00266320380187721,0.00292952418206493,0.00322247660027142,0.00354472426029857,0.00389919668632842,0.00428911635496127,0.00471802799045739,0.00518983078950313,0.00570881386845345,0.00627969525529879,0.00690766478082867,0.00759843125891154,0.0083582743848027,0.00919410182328297,0.0101135120056113,0.0111248632061724,0.0122373495267896,0.0134610844794686,0.0148071929274155,0.016287912220157,0.0179167034421727,0.01970837378639,0.021679211165029,0.0238471322815319,0.0262318455096851,0.0288550300606536,0.0317405330667189
"72-83",0.000340615850467599,0.000174083407880126,9.46491800874186e-05,5.1460776189477e-05,2.79792332440444e-05,1.52123141330448e-05,8.2709379225642e-06,6.41255284178823e-06,7.05380812596706e-06,7.75918893856377e-06,8.53510783242014e-06,9.38861861566216e-06,1.03274804772284e-05,1.13602285249512e-05,1.24962513774463e-05,1.3745876515191e-05,1.51204641667101e-05,1.66325105833811e-05,1.82957616417192e-05,2.01253378058911e-05,2.21378715864802e-05,2.43516587451282e-05,2.67868246196411e-05,2.94655070816052e-05,3.24120577897657e-05,3.56532635687423e-05,3.92185899256165e-05,4.31404489181781e-05,4.7454493809996e-05,5.21999431909956e-05,5.74199375100951e-05,6.31619312611046e-05,6.94781243872151e-05,7.64259368259366e-05,8.40685305085303e-05,9.24753835593833e-05,0.000101722921915322,0.000111895214106854,0.000123084735517539,0.000135393209069293,0.000148932529976223,0.000163825782973845,0.000180208361271229,0.000198229197398352,0.000218052117138187,0.000239857328852006,0.000263843061737207,0.000290227367910928,0.00031925010470202,0.000351175115172222,0.000386292626689445,0.000424921889358389,0.000467414078294228,0.000514155486123651,0.000565571034736016,0.000622128138209618,0.00068434095203058,0.000752775047233638,0.000828052551957002,0.000910857807152702,0.00100194358786797,0.00110213794665477,0.00121235174132025,0.00133358691545227,0.0014669456069975,0.00161364016769725,0.00177500418446697,0.00195250460291367,0.00214775506320504,0.00236253056952554,0.0025987836264781,0.00285866198912591,0.0031445281880385,0.00345898100684235,0.00380487910752658,0.00418536701827924,0.00460390372010717,0.00506429409211788,0.00557072350132967,0.00612779585146264,0.0067405754366089,0.00741463298026979,0.00815609627829677,0.00897170590612645,0.0098688764967391,0.010855764146413,0.0119413405610543,0.0131354746171597,0.0144490220788757,0.0158939242867633,0.0174833167154396,0.0192316483869836,0.0211548132256819,0.0232702945482501,0.0255973240030752,0.0281570564033827,0.0309727620437209,0.034070038248093,0.0374770420729024,0.0412247462801926,0.0453472209082119
"84-95",0.00064172470156908,0.000326703108126441,0.000177628538484678,9.65766682329561e-05,5.25087518399134e-05,2.85490177931479e-05,1.5522106094587e-05,8.43937186761787e-06,6.91631044479614e-06,7.60794148927575e-06,8.36873563820333e-06,9.20560920202366e-06,1.0126170122226e-05,1.11387871344486e-05,1.22526658478935e-05,1.34779324326828e-05,1.48257256759511e-05,1.63082982435463e-05,1.79391280679009e-05,1.9733040874691e-05,2.17063449621601e-05,2.38769794583761e-05,2.62646774042137e-05,2.8891145144635e-05,3.17802596590986e-05,3.49582856250084e-05,3.84541141875093e-05,4.22995256062602e-05,4.65294781668862e-05,5.11824259835748e-05,5.63006685819323e-05,6.19307354401256e-05,6.81238089841381e-05,7.49361898825519e-05,8.24298088708072e-05,9.06727897578879e-05,9.97400687336767e-05,0.000109714075607044,0.000120685483167749,0.000132754031484524,0.000146029434632976,0.000160632378096274,0.000176695615905901,0.000194365177496491,0.00021380169524614,0.000235181864770754,0.00025870005124783,0.000284570056372613,0.000313027062009874,0.000344329768210862,0.000378762745031948,0.000416639019535143,0.000458302921488657,0.000504133213637523,0.000554546535001275,0.000610001188501402,0.000671001307351543,0.000738101438086697,0.000811911581895367,0.000893102740084904,0.000982413014093394,0.00108065431550273,0.00118871974705301,0.00130759172175831,0.00143835089393414,0.00158218598332755,0.00174040458166031,0.00191444503982634,0.00210588954380897,0.00231647849818987,0.00254812634800886,0.00280293898280974,0.00308323288109072,0.00339155616919979,0.00373071178611977,0.00410378296473175,0.00451416126120492,0.00496557738732542,0.00546213512605796,0.00600834863866375,0.00660918350253013,0.00727010185278314,0.00799711203806146,0.0087968232418676,0.00967650556605436,0.0106441561226598,0.0117085717349258,0.0128794289084184,0.0141673717992602,0.0155841089791862,0.0171425198771048,0.0188567718648153,0.0207424490512969,0.0228166939564266,0.0250983633520692,0.0276081996872761,0.0303690196560038,0.0334059216216041,0.0367465137837645,0.040421165162141,0.0444632816783551
"96-107",0.000678542918468015,0.000341556354412795,0.000185704251154595,0.000100967434660022,5.48960123338215e-05,2.98469717518565e-05,1.62278038947333e-05,8.82305988812895e-06,4.79709924364902e-06,4.06201005515347e-06,4.46821106066881e-06,4.9150321667357e-06,5.40653538340927e-06,5.94718892175019e-06,6.54190781392521e-06,7.19609859531774e-06,7.91570845484951e-06,8.70727930033446e-06,9.57800723036791e-06,1.05358079534047e-05,1.15893887487452e-05,1.27483276236197e-05,1.40231603859817e-05,1.54254764245798e-05,1.69680240670378e-05,1.86648264737416e-05,2.05313091211158e-05,2.25844400332273e-05,2.48428840365501e-05,2.73271724402051e-05,3.00598896842256e-05,3.30658786526481e-05,3.6372466517913e-05,4.00097131697043e-05,4.40106844866747e-05,4.84117529353422e-05,5.32529282288764e-05,5.8578221051764e-05,6.44360431569404e-05,7.08796474726345e-05,7.79676122198979e-05,8.57643734418877e-05,9.43408107860765e-05,0.000103774891864684,0.000114152381051153,0.000125567619156268,0.000138124381071895,0.000151936819179084,0.000167130501096993,0.000183843551206692,0.000202227906327361,0.000222450696960097,0.000244695766656107,0.000269165343321718,0.000296081877653889,0.000325690065419278,0.000358259071961206,0.000394084979157327,0.00043349347707306,0.000476842824780366,0.000524527107258402,0.000576979817984243,0.000634677799782667,0.000698145579760934,0.000767960137737027,0.00084475615151073,0.000929231766661803,0.00102215494332798,0.00112437043766078,0.00123680748142686,0.00136048822956955,0.0014965370525265,0.00164619075777915,0.00181080983355707,0.00199189081691277,0.00219107989860405,0.00241018788846446,0.0026512066773109,0.00291632734504199,0.00320796007954619,0.00352875608750081,0.00388163169625089,0.00426979486587598,0.00469677435246358,0.00516645178770994,0.00568309696648093,0.00625140666312902,0.00687654732944193,0.00756420206238612,0.00832062226862474,0.00915268449548721,0.0100679529450359,0.0110747482395395,0.0121822230634935,0.0134004453698428,0.0147404899068271,0.0162145388975098,0.0178359927872608,0.0196195920659869,0.0215815512725856,0.0237397063998442
"108-119",0.000576052302202164,0.000281833996078112,0.000153233194216434,8.33129151788477e-05,4.5297246925454e-05,2.46281212777259e-05,1.33903139559137e-05,7.28031609947038e-06,3.95830916905421e-06,2.15213340516333e-06,1.86740070649958e-06,2.05414077714953e-06,2.25955485486449e-06,2.48551034035094e-06,2.73406137438603e-06,3.00746751182463e-06,3.3082142630071e-06,3.63903568930781e-06,4.00293925823859e-06,4.40323318406245e-06,4.84355650246869e-06,5.32791215271556e-06,5.86070336798712e-06,6.44677370478583e-06,7.09145107526442e-06,7.80059618279086e-06,8.58065580106995e-06,9.43872138117694e-06,1.03825935192946e-05,1.14208528712241e-05,1.25629381583465e-05,1.38192319741812e-05,1.52011551715993e-05,1.67212706887592e-05,1.83933977576351e-05,2.02327375333986e-05,2.22560112867385e-05,2.44816124154124e-05,2.69297736569536e-05,2.9622751022649e-05,3.25850261249139e-05,3.58435287374053e-05,3.94278816111458e-05,4.33706697722604e-05,4.77077367494864e-05,5.24785104244351e-05,5.77263614668786e-05,6.34989976135664e-05,6.98488973749231e-05,7.68337871124154e-05,8.4517165823657e-05,9.29688824060226e-05,0.000102265770646625,0.000112492347711287,0.000123741582482416,0.000136115740730658,0.000149727314803724,0.000164700046284096,0.000181170050912506,0.000199287056003756,0.000219215761604132,0.000241137337764545,0.000265251071541,0.000291776178695099,0.000320953796564609,0.00035304917622107,0.000388354093843177,0.000427189503227495,0.000469908453550245,0.000516899298905269,0.000568589228795796,0.000625448151675376,0.000687992966842914,0.000756792263527205,0.000832471489879926,0.000915718638867918,0.00100729050275471,0.00110801955303018,0.0012188215083332,0.00134070365916652,0.00147477402508317,0.00162225142759149,0.00178447657035064,0.0019629242273857,0.00215921665012427,0.0023751383151367,0.00261265214665037,0.00287391736131541,0.00316130909744695,0.00347744000719164,0.00382518400791081,0.00420770240870189,0.00462847264957208,0.00509131991452929,0.00560045190598222,0.00616049709658044,0.00677654680623848,0.00745420148686233,0.00819962163554857,0.00901958379910342,0.00992154217901376
