"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36-47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48-59",4.42133875406715e-07,2.49474290589318e-07,1.35639216538253e-07,7.37470663596258e-08,4.00962932067457e-08,2.29617297459598e-08,2.52579027205558e-08,2.77836929926114e-08,3.05620622918726e-08,3.36182685210598e-08,3.69800953731658e-08,4.06781049104824e-08,4.47459154015306e-08,4.92205069416837e-08,5.41425576358521e-08,5.95568133994373e-08,6.5512494739381e-08,7.20637442133191e-08,7.92701186346511e-08,8.71971304981162e-08,9.59168435479278e-08,1.05508527902721e-07,1.16059380692993e-07,1.27665318762292e-07,1.40431850638521e-07,1.54475035702373e-07,1.69922539272611e-07,1.86914793199872e-07,2.05606272519859e-07,2.26166899771845e-07,2.48783589749029e-07,2.73661948723932e-07,3.01028143596325e-07,3.31130957955958e-07,3.64244053751554e-07,4.00668459126709e-07,4.4073530503938e-07,4.84808835543318e-07,5.3328971909765e-07,5.86618691007415e-07,6.45280560108157e-07,7.09808616118972e-07,7.8078947773087e-07,8.58868425503957e-07,9.44755268054353e-07,1.03923079485979e-06,1.14315387434577e-06,1.25746926178034e-06,1.38321618795838e-06,1.52153780675422e-06,1.67369158742964e-06,1.8410607461726e-06,2.02516682078986e-06,2.22768350286885e-06,2.45045185315573e-06,2.69549703847131e-06,2.96504674231844e-06,3.26155141655028e-06,3.58770655820531e-06,3.94647721402584e-06,4.34112493542843e-06,4.77523742897127e-06,5.25276117186839e-06,5.77803728905524e-06,6.35584101796076e-06,6.99142511975684e-06,7.69056763173252e-06,8.45962439490577e-06,9.30558683439635e-06,1.0236145517836e-05,1.12597600696196e-05,1.23857360765815e-05,1.36243096842397e-05,1.49867406526637e-05,1.648541471793e-05,1.8133956189723e-05,1.99473518086954e-05,2.19420869895649e-05,2.41362956885214e-05,2.65499252573735e-05,2.92049177831109e-05,3.2125409561422e-05,3.53379505175642e-05,3.88717455693206e-05,4.27589201262527e-05,4.70348121388779e-05,5.17382933527657e-05,5.69121226880423e-05,6.26033349568465e-05,6.88636684525312e-05,7.57500352977843e-05,8.33250388275628e-05,9.1657542710319e-05,0.000100823296981351,0.000110905626679486,0.000121996189347435,0.000134195808282178,0.000147615389110396,0.000162376928021436,0.000178614620823579,0.000196476082905937
"60-71",6.43029914832572e-05,3.47011574861646e-05,1.88670255491065e-05,1.02580051749733e-05,5.57727925347307e-06,3.03236773043471e-06,1.65915131240733e-06,1.82506644364807e-06,2.00757308801287e-06,2.20833039681416e-06,2.42916343649558e-06,2.67207978014513e-06,2.93928775815965e-06,3.23321653397561e-06,3.55653818737317e-06,3.91219200611049e-06,4.30341120672154e-06,4.73375232739369e-06,5.20712756013306e-06,5.72784031614637e-06,6.30062434776101e-06,6.93068678253711e-06,7.62375546079082e-06,8.38613100686991e-06,9.2247441075569e-06,1.01472185183126e-05,1.11619403701438e-05,1.22781344071582e-05,1.35059478478741e-05,1.48565426326615e-05,1.63421968959276e-05,1.79764165855204e-05,1.97740582440724e-05,2.17514640684797e-05,2.39266104753276e-05,2.63192715228604e-05,2.89511986751464e-05,3.18463185426611e-05,3.50309503969272e-05,3.85340454366199e-05,4.23874499802819e-05,4.66261949783101e-05,5.12888144761411e-05,5.64176959237552e-05,6.20594655161308e-05,6.82654120677438e-05,7.50919532745182e-05,8.260114860197e-05,9.08612634621671e-05,9.99473898083838e-05,0.000109942128789222,0.000120936341668144,0.000133029975834959,0.000146332973418455,0.0001609662707603,0.00017706289783633,0.000194769187619963,0.00021424610638196,0.000235670717020156,0.000259237788722171,0.000285161567594388,0.000313677724353827,0.00034504549678921,0.000379550046468131,0.000417505051114944,0.000459255556226439,0.000505181111849082,0.000555699223033991,0.00061126914533739,0.000672396059871129,0.000739635665858242,0.000813599232444066,0.000894959155688473,0.00098445507125732,0.00108290057838305,0.00119119063622136,0.00131030969984349,0.00144134066982784,0.00158547473681063,0.00174402221049169,0.00191842443154086,0.00211026687469495,0.00232129356216444,0.00255342291838088,0.00280876521021897,0.00308964173124087,0.00339860590436496,0.00373846649480145,0.0041123131442816,0.00452354445870976,0.00497589890458074,0.00547348879503881,0.00602083767454269,0.00662292144199696,0.00728521358619666,0.00801373494481633,0.00881510843929796,0.00969661928322776,0.0106662812115505,0.0117329093327056,0.0129062002659761
"72-83",0.000463035847934631,0.000244802254162441,0.000133099029494999,7.23659662086098e-05,3.9345388806929e-05,2.13920949511793e-05,1.16308858617679e-05,8.18069126088728e-06,8.99876038697601e-06,9.89863642567361e-06,1.0888500068241e-05,1.19773500750651e-05,1.31750850825716e-05,1.44925935908287e-05,1.59418529499116e-05,1.75360382449028e-05,1.92896420693931e-05,2.12186062763324e-05,2.33404669039656e-05,2.56745135943622e-05,2.82419649537984e-05,3.10661614491782e-05,3.41727775940961e-05,3.75900553535057e-05,4.13490608888562e-05,4.54839669777419e-05,5.00323636755161e-05,5.50356000430677e-05,6.05391600473744e-05,6.65930760521119e-05,7.32523836573231e-05,8.05776220230554e-05,8.86353842253609e-05,9.7498922647897e-05,0.000107248814912687,0.000117973696403955,0.000129771066044351,0.000142748172648786,0.000157022989913665,0.000172725288905031,0.000189997817795534,0.000208997599575088,0.000229897359532597,0.000252887095485856,0.000278175805034442,0.000305993385537886,0.000336592724091675,0.000370251996500842,0.000407277196150926,0.000448004915766019,0.000492805407342621,0.000542085948076883,0.000596294542884572,0.000655923997173029,0.000721516396890332,0.000793668036579365,0.000873034840237302,0.000960338324261032,0.00105637215668714,0.00116200937235585,0.00127821030959143,0.00140603134055058,0.00154663447460564,0.0017012979220662,0.00187142771427282,0.0020585704857001,0.00226442753427011,0.00249087028769712,0.00273995731646683,0.00301395304811352,0.00331534835292487,0.00364688318821736,0.00401157150703909,0.004412728657743,0.0048540015235173,0.00533940167586903,0.00587334184345594,0.00646067602780153,0.00710674363058169,0.00781741799363986,0.00859915979300384,0.00945907577230423,0.0104049833495347,0.0114454816844881,0.0125900298529369,0.0138490328382306,0.0152339361220537,0.0167573297342591,0.018433062707685,0.0202763689784535,0.0223040058762988,0.0245344064639287,0.0269878471103216,0.0296866318213537,0.0326552950034891,0.035920824503838,0.0395129069542218,0.043464197649644,0.0478106174146084,0.0525916791560693,0.0578508470716762
"84-95",0.00108033662020749,0.00055393332324823,0.000301173647201616,0.000163748166000976,8.90299072240316e-05,4.84055765258003e-05,2.63181206389334e-05,1.43091669117146e-05,1.21102875520429e-05,1.33213163072472e-05,1.46534479379719e-05,1.61187927317691e-05,1.7730672004946e-05,1.95037392054406e-05,2.14541131259847e-05,2.35995244385832e-05,2.59594768824415e-05,2.85554245706857e-05,3.14109670277542e-05,3.45520637305296e-05,3.80072701035826e-05,4.18079971139409e-05,4.5988796825335e-05,5.05876765078685e-05,5.56464441586553e-05,6.12110885745209e-05,6.7332197431973e-05,7.40654171751703e-05,8.14719588926873e-05,8.9619154781956e-05,9.85810702601516e-05,0.000108439177286167,0.000119283095014784,0.000131211404516262,0.000144332544967888,0.000158765799464677,0.000174642379411145,0.000192106617352259,0.000211317279087485,0.000232449006996234,0.000255693907695857,0.000281263298465443,0.000309389628311987,0.000340328591143186,0.000374361450257504,0.000411797595283255,0.00045297735481158,0.000498275090292738,0.000548102599322012,0.000602912859254213,0.000663204145179635,0.000729524559697598,0.000802477015667358,0.000882724717234094,0.000970997188957504,0.00106809690785325,0.00117490659863858,0.00129239725850244,0.00142163698435268,0.00156380068278795,0.00172018075106674,0.00189219882617342,0.00208141870879076,0.00228956057966984,0.00251851663763682,0.0027703683014005,0.00304740513154055,0.00335214564469461,0.00368736020916407,0.00405609623008048,0.00446170585308853,0.00490787643839738,0.00539866408223712,0.00593853049046083,0.00653238353950691,0.00718562189345761,0.00790418408280337,0.0086946024910837,0.00956406274019208,0.0105204690142113,0.0115725159156324,0.0127297675071957,0.0140027442579152,0.0154030186837067,0.0169433205520774,0.0186376526072852,0.0205014178680137,0.0225515596548151,0.0248067156202966,0.0272873871823262,0.0300161259005588,0.0330177384906147,0.0363195123396762,0.0399514635736438,0.0439466099310082,0.0483412709241091,0.05317539801652,0.058492937818172,0.0643422315999892,0.0707764547599881,0.0778541002359869
"96-107",0.00125474514398186,0.000630569852075888,0.000342840941670475,0.000186402681476995,0.000101347171351578,5.51024752411291e-05,2.99592256715901e-05,1.6288836371026e-05,8.85624325643583e-06,7.78982685474244e-06,8.56880954021668e-06,9.42569049423835e-06,1.03682595436622e-05,1.14050854980284e-05,1.25455940478313e-05,1.38001534526144e-05,1.51801687978758e-05,1.66981856776634e-05,1.83680042454297e-05,2.02048046699727e-05,2.222528513697e-05,2.4447813650667e-05,2.68925950157337e-05,2.95818545173071e-05,3.25400399690378e-05,3.57940439659416e-05,3.93734483625357e-05,4.33107931987893e-05,4.76418725186682e-05,5.2406059770535e-05,5.76466657475885e-05,6.34113323223474e-05,6.97524655545822e-05,7.67277121100404e-05,8.44004833210444e-05,9.28405316531489e-05,0.000102124584818464,0.00011233704330031,0.000123570747630341,0.000135927822393375,0.000149520604632713,0.000164472665095984,0.000180919931605583,0.000199011924766141,0.000218913117242755,0.000240804428967031,0.000264884871863734,0.000291373359050107,0.000320510694955118,0.000352561764450629,0.000387817940895692,0.000426599734985262,0.000469259708483788,0.000516185679332167,0.000567804247265384,0.000624584671991922,0.000687043139191114,0.000755747453110225,0.000831322198421248,0.000914454418263373,0.00100589986008971,0.00110648984609868,0.00121713883070855,0.00133885271377941,0.00147273798515735,0.00162001178367308,0.00178201296204039,0.00196021425824443,0.00215623568406887,0.00237185925247576,0.00260904517772333,0.00286994969549567,0.00315694466504523,0.00347263913154976,0.00381990304470473,0.00420189334917521,0.00462208268409273,0.005084290952502,0.0055927200477522,0.00615199205252742,0.00676719125778017,0.00744391038355818,0.008188301421914,0.0090071315641054,0.00990784472051594,0.0108986291925675,0.0119884921118243,0.0131873413230067,0.0145060754553074,0.0159566830008381,0.017552351300922,0.0193075864310141,0.0212383450741156,0.0233621795815271,0.0256983975396798,0.0282682372936478,0.0310950610230126,0.0342045671253139,0.0376250238378453,0.0413875262216298,0.0455262788437928
"108-119",0.000913543584093457,0.000464488859292904,0.000252542676106657,0.000137307498294365,7.46541114496413e-05,4.05894537848716e-05,2.20684933028178e-05,1.19986437668702e-05,6.52366476808233e-06,3.54691770446817e-06,3.25211249296943e-06,3.57732374226637e-06,3.935056116493e-06,4.32856172814231e-06,4.76141790095654e-06,5.23755969105219e-06,5.76131566015741e-06,6.33744722617315e-06,6.97119194879047e-06,7.66831114366952e-06,8.43514225803647e-06,9.27865648384011e-06,1.02065221322241e-05,1.12271743454465e-05,1.23498917799912e-05,1.35848809579903e-05,1.49433690537894e-05,1.64377059591683e-05,1.80814765550851e-05,1.98896242105936e-05,2.1878586631653e-05,2.40664452948183e-05,2.64730898243001e-05,2.91203988067301e-05,3.20324386874032e-05,3.52356825561435e-05,3.87592508117578e-05,4.26351758929336e-05,4.6898693482227e-05,5.15885628304497e-05,5.67474191134947e-05,6.24221610248441e-05,6.86643771273285e-05,7.55308148400614e-05,8.30838963240676e-05,9.13922859564743e-05,0.000100531514552122,0.000110584666007334,0.000121643132608067,0.000133807445868874,0.000147188190455762,0.000161907009501338,0.000178097710451471,0.000195907481496619,0.000215498229646281,0.000237048052610909,0.000260752857871999,0.000286828143659199,0.000315510958025119,0.000347062053827631,0.000381768259210395,0.000419945085131434,0.000461939593644577,0.000508133553009035,0.000558946908309939,0.000614841599140933,0.000676325759055026,0.000743958334960529,0.000818354168456582,0.00090018958530224,0.000990208543832464,0.00108922939821571,0.00119815233803728,0.00131796757184101,0.00144976432902511,0.00159474076192762,0.00175421483812038,0.00192963632193242,0.00212259995412567,0.00233485994953823,0.00256834594449206,0.00282518053894126,0.00310769859283539,0.00341846845211893,0.00376031529733082,0.0041363468270639,0.00454998150977029,0.00500497966074732,0.00550547762682206,0.00605602538950426,0.00666162792845469,0.00732779072130016,0.00806056979343017,0.00886662677277319,0.00975328945005051,0.0107286183950556,0.0118014802345611,0.0129816282580172,0.014279791083819,0.0157077701922009,0.0172785472114209
