"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36-47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48-59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60-71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72-83",0.000900464217316331,0.000476066099795313,0.00025883722384427,0.000140729845028273,7.65148419826875e-05,4.1601133309423e-05,2.26185436417678e-05,1.59089620948341e-05,1.74998583043175e-05,1.92498441347493e-05,2.11748285482242e-05,2.32923114030466e-05,2.56215425433513e-05,2.81836967976864e-05,3.1002066477455e-05,3.41022731252006e-05,3.75125004377206e-05,4.12637504814927e-05,4.53901255296419e-05,4.99291380826061e-05,5.49220518908668e-05,6.04142570799535e-05,6.64556827879488e-05,7.31012510667437e-05,8.04113761734181e-05,8.84525137907599e-05,9.72977651698359e-05,0.000107027541686819,0.000117730295855501,0.000129503325441052,0.000142453657985157,0.000156699023783672,0.00017236892616204,0.000189605818778244,0.000208566400656068,0.000229423040721675,0.000252365344793842,0.000277601879273227,0.000305362067200549,0.000335898273920604,0.000369488101312665,0.000406436911443931,0.000447080602588324,0.000491788662847157,0.000540967529131873,0.00059506428204506,0.000654570710249566,0.000720027781274523,0.000792030559401975,0.000871233615342172,0.00095835697687639,0.00105419267456403,0.00115961194202043,0.00127557313622248,0.00140313044984472,0.00154344349482919,0.00169778784431211,0.00186756662874333,0.00205432329161766,0.00225975562077942,0.00248573118285737,0.00273430430114311,0.00300773473125742,0.00330850820438316,0.00363935902482147,0.00400329492730362,0.00440362442003398,0.00484398686203738,0.00532838554824112,0.00586122410306523,0.00644734651337176,0.00709208116470893,0.00780128928117983,0.00858141820929781,0.00943956003022759,0.0103835160332504,0.0114218676365754,0.0125640544002329,0.0138204598402562,0.0152025058242818,0.01672275640671,0.018395032047381,0.0202345352521191,0.0222579887773311,0.0244837876550642,0.0269321664205706,0.0296253830626276,0.0325879213688904,0.0358467135057795,0.0394313848563574,0.0433745233419932,0.0477119756761925,0.0524831732438117,0.0577314905681929,0.0635046396250122,0.0698551035875134,0.0768406139462648,0.0845246753408913,0.0929771428749804,0.102274857162478,0.112502342878726
"84-95",0.00109733704507278,0.000562650145085164,0.000305912984797775,0.000166324944702039,9.04309022659616e-05,4.91672977813753e-05,2.67322686222091e-05,1.45343392445018e-05,1.23008578148431e-05,1.35309435963274e-05,1.48840379559601e-05,1.63724417515562e-05,1.80096859267118e-05,1.9810654519383e-05,2.17917199713212e-05,2.39708919684534e-05,2.63679811652987e-05,2.90047792818286e-05,3.19052572100114e-05,3.50957829310126e-05,3.86053612241139e-05,4.24658973465253e-05,4.67124870811778e-05,5.13837357892956e-05,5.65221093682251e-05,6.21743203050476e-05,6.83917523355524e-05,7.52309275691077e-05,8.27540203260184e-05,9.10294223586203e-05,0.000100132364594482,0.000110145601053931,0.000121160161159324,0.000133276177275256,0.000146603795002782,0.00016126417450306,0.000177390591953366,0.000195129651148702,0.000214642616263573,0.00023610687788993,0.000259717565678923,0.000285689322246815,0.000314258254471497,0.000345684079918647,0.000380252487910511,0.000418277736701562,0.000460105510371719,0.00050611606140889,0.00055672766754978,0.000612400434304758,0.000673640477735233,0.000741004525508757,0.000815104978059633,0.000896615475865596,0.000986277023452156,0.00108490472579737,0.00119339519837711,0.00131273471821482,0.0014440081900363,0.00158840900903993,0.00174724990994392,0.00192197490093832,0.00211417239103215,0.00232558963013536,0.0025581485931489,0.00281396345246379,0.00309535979771017,0.00340489577748119,0.00374538535522931,0.00411992389075224,0.00453191627982746,0.00498510790781021,0.00548361869859123,0.00603198056845035,0.00663517862529539,0.00729869648782493,0.00802856613660742,0.00883142275026817,0.00971456502529498,0.0106860215278245,0.0117546236806069,0.0129300860486676,0.0142230946535344,0.0156454041188878,0.0172099445307766,0.0189309389838543,0.0208240328822397,0.0229064361704637,0.0251970797875101,0.0277167877662611,0.0304884665428872,0.0335373131971759,0.0368910445168935,0.0405801489685828,0.0446381638654411,0.0491019802519852,0.0540121782771837,0.0594133961049021,0.0653547357153924,0.0718902092869316,0.0790792302156248
"96-107",0.000728336029342185,0.000366023924847708,0.000199007273588476,0.000108200290343306,5.88285172660832e-05,3.19850753888476e-05,1.73902912256482e-05,9.45510445844706e-06,5.1407419898923e-06,4.52172426237999e-06,4.97389668861799e-06,5.47128635747979e-06,6.01841499322777e-06,6.62025649255055e-06,7.2822821418056e-06,8.01051035598616e-06,8.81156139158478e-06,9.69271753074326e-06,1.06619892838176e-05,1.17281882121993e-05,1.29010070334193e-05,1.41911077367612e-05,1.56102185104373e-05,1.71712403614811e-05,1.88883643976292e-05,2.07772008373921e-05,2.28549209211313e-05,2.51404130132444e-05,2.76544543145689e-05,3.04198997460258e-05,3.34618897206284e-05,3.68080786926912e-05,4.04888865619603e-05,4.45377752181563e-05,4.8991552739972e-05,5.38907080139692e-05,5.92797788153661e-05,6.52077566969027e-05,7.1728532366593e-05,7.89013856032523e-05,8.67915241635775e-05,9.54706765799353e-05,0.000105017744237929,0.000115519518661722,0.000127071470527894,0.000139778617580683,0.000153756479338752,0.000169132127272627,0.00018604533999989,0.000204649873999879,0.000225114861399866,0.000247626347539853,0.000272388982293838,0.000299627880523222,0.000329590668575545,0.000362549735433099,0.000398804708976409,0.00043868517987405,0.000482553697861455,0.000530809067647601,0.000583889974412361,0.000642278971853597,0.000706506869038956,0.000777157555942852,0.000854873311537137,0.000940360642690851,0.00103439670695994,0.00113783637765593,0.00125162001542152,0.00137678201696368,0.00151446021866004,0.00166590624052605,0.00183249686457865,0.00201574655103652,0.00221732120614017,0.00243905332675419,0.00268295865942961,0.00295125452537257,0.00324637997790982,0.00357101797570081,0.00392811977327089,0.00432093175059798,0.00475302492565778,0.00522832741822355,0.00575116016004591,0.0063262761760505,0.00695890379365555,0.00765479417302111,0.00842027359032322,0.00926230094935554,0.0101885310442911,0.0112073841487202,0.0123281225635922,0.0135609348199515,0.0149170283019466,0.0164087311321413,0.0180496042453554,0.0198545646698909,0.02184002113688,0.024024023250568,0.0264264255756248
"108-119",0.000454623721753027,0.000231152248892545,0.00012567751918154,6.83308897200855e-05,3.7151516996401e-05,2.019928645431e-05,1.09823556680821e-05,5.97110874649332e-06,3.24649289642571e-06,1.76511877006632e-06,1.61840935764486e-06,1.78025029340935e-06,1.95827532275028e-06,2.15410285502531e-06,2.36951314052784e-06,2.60646445458063e-06,2.86711090003869e-06,3.15382199004256e-06,3.46920418904681e-06,3.81612460795149e-06,4.19773706874664e-06,4.61751077562131e-06,5.07926185318344e-06,5.58718803850178e-06,6.14590684235196e-06,6.76049752658716e-06,7.43654727924588e-06,8.18020200717047e-06,8.99822220788751e-06,9.89804442867626e-06,1.08878488715439e-05,1.19766337586983e-05,1.31742971345681e-05,1.44917268480249e-05,1.59408995328274e-05,1.75349894861102e-05,1.92884884347212e-05,2.12173372781933e-05,2.33390710060126e-05,2.56729781066139e-05,2.82402759172753e-05,3.10643035090028e-05,3.41707338599031e-05,3.75878072458934e-05,4.13465879704828e-05,4.5481246767531e-05,5.00293714442841e-05,5.50323085887126e-05,6.05355394475838e-05,6.65890933923422e-05,7.32480027315765e-05,8.05728030047341e-05,8.86300833052075e-05,9.74930916357283e-05,0.000107242400799301,0.000117966640879231,0.000129763304967154,0.00014273963546387,0.000157013599010257,0.000172714958911282,0.000189986454802411,0.000208985100282652,0.000229883610310917,0.000252871971342009,0.00027815916847621,0.000305975085323831,0.000336572593856214,0.000370229853241835,0.000407252838566019,0.000447978122422621,0.000492775934664883,0.000542053528131371,0.000596258880944508,0.000655884769038959,0.000721473245942855,0.000793620570537141,0.000872982627590855,0.00096028089034994,0.00105630897938493,0.00116193987732343,0.00127813386505577,0.00140594725156135,0.00154654197671748,0.00170119617438923,0.00187131579182815,0.00205844737101097,0.00226429210811207,0.00249072131892327,0.0027397934508156,0.00301377279589716,0.00331515007548688,0.00364666508303557,0.00401133159133912,0.00441246475047304,0.00485371122552034,0.00533908234807238,0.00587299058287961,0.00646028964116758,0.00710631860528433,0.00781695046581277,0.00859864551239404
