"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",0.0363051769731106,0.023564662020218,0.0240827132212859,0.0264909845434145,0.029140082997756,0.0320540912975316,0.0352595004272847,0.0387854504700132,0.0426639955170145,0.046930395068716,0.0516234345755876,0.0567857780331463,0.062464355836461,0.0687107914201071,0.0755818705621178,0.0831400576183296,0.0914540633801626,0.100599469718179,0.110659416689997,0.121725358358996,0.133897894194896,0.147287683614386,0.162016451975824,0.178218097173407,0.196039906890747,0.215643897579822,0.237208287337804,0.260929116071585,0.287022027678743,0.315724230446618,0.347296653491279,0.382026318840407,0.420228950724448,0.462251845796893,0.508477030376582,0.559324733414241,0.615257206755665,0.676782927431231,0.744461220174355,0.81890734219179,0.900798076410969,0.990877884052066,1.08996567245727,1.198962239703,1.3188584636733,1.45074431004063,1.59581874104469,1.75540061514916,1.93094067666408,2.12403474433049,2.33643821876354,2.57008204063989,2.82709024470388,3.10979926917427,3.4207791960917,3.76285711570087,4.13914282727095,4.55305710999805,5.00836282099785,5.50919910309764,6.0601190134074,6.66613091474814,7.33274400622296,8.06601840684526,8.87262024752978,9.75988227228276,10.735870499511,11.8094575494621,12.9904033044084,14.2894436348492,15.7183879983341,17.2902267981675,19.0192494779843,20.9211744257827,23.013291868361,25.3146210551971,27.8460831607168,30.6306914767885,33.6937606244673,37.0631366869141,40.7694503556055,44.846395391166,49.3310349302826,54.2641384233109,59.690552265642,65.6596074922062,72.2255682414268,79.4481250655695,87.3929375721265,96.1322313293391,105.745454462273,116.3199999085,127.95199989935,140.747199889285,154.821919878214,170.304111866035,187.334523052639,206.067975357903,226.674772893693,249.342250183063,274.276475201369
"24-29",0.0253707380174738,0.0137940748105078,0.00749984094853032,0.00753064389841089,0.00828370828825198,0.00911207911707718,0.0100232870287849,0.0110256157316634,0.0121281773048297,0.0133409950353127,0.014675094538844,0.0161426039927284,0.0177568643920012,0.0195325508312013,0.0214858059143215,0.0236343865057536,0.025997825156329,0.0285976076719619,0.0314573684391581,0.0346031052830739,0.0380634158113813,0.0418697573925194,0.0460567331317713,0.0506624064449485,0.0557286470894433,0.0613015117983877,0.0674316629782264,0.0741748292760491,0.081592312203654,0.0897515434240194,0.0987266977664214,0.108599367543064,0.11945930429737,0.131405234727107,0.144545758199818,0.159000334019799,0.174900367421779,0.192390404163957,0.211629444580353,0.232792389038388,0.256071627942227,0.28167879073645,0.309846669810095,0.340831336791104,0.374914470470215,0.412405917517236,0.45364650926896,0.499011160195856,0.548912276215442,0.603803503836986,0.664183854220685,0.730602239642753,0.803662463607029,0.884028709967732,0.972431580964505,1.06967473906096,1.17664221296705,1.29430643426376,1.42373707769013,1.56611078545915,1.72272186400506,1.89499405040557,2.08449345544612,2.29294280099074,2.52223708108981,2.77446078919879,3.05190686811867,3.35709755493054,3.69280731042359,4.06208804146595,4.46829684561255,4.9151265301738,5.40663918319118,5.9473031015103,6.54203341166133,7.19623675282746,7.91586042811021,8.70744647092123,9.57819111801336,10.5360102298147,11.5896112527962,12.7485723780758,14.0234296158834,15.4257725774717,16.9683498352189,18.6651848187408,20.5317033006148,22.5848736306763,24.843360993744,27.3276970931183,30.0604668024302,33.0665134826732,36.3731648309405,40.0104813140346,44.0115294454381,48.4126823899819,53.2539506289801,58.5793456918781,64.4372802610659,70.8810082871724,77.9691091158897
"30-35",0.0166065381591942,0.00902897777564479,0.0049090568360241,0.00472872678431888,0.00520159946275077,0.00572175940902585,0.00629393534992843,0.00692332888492127,0.0076156617734134,0.00837722795075474,0.00921495074583022,0.0101364458204132,0.0111500904024546,0.0122650994427,0.01349160938697,0.014840770325667,0.0163248473582337,0.0179573320940571,0.0197530653034628,0.0217283718338091,0.02390120901719,0.026291329918909,0.0289204629107999,0.0318125092018799,0.0349937601220679,0.0384931361342747,0.0423424497477022,0.0465766947224724,0.0512343641947196,0.0563578006141916,0.0619935806756108,0.0681929387431719,0.0750122326174891,0.082513455879238,0.0907648014671618,0.099841281613878,0.109825409775266,0.120807950752792,0.132888745828072,0.146177620410879,0.160795382451967,0.176874920697163,0.19456241276688,0.214018654043568,0.235420519447925,0.258962571392717,0.284858828531989,0.313344711385188,0.344679182523706,0.379147100776077,0.417061810853685,0.458767991939053,0.504644791132959,0.555109270246255,0.61062019727088,0.671682216997968,0.738850438697765,0.812735482567542,0.894009030824296,0.983409933906725,1.0817509272974,1.18992602002714,1.30891862202985,1.43981048423284,1.58379153265612,1.74217068592173,1.91638775451391,2.1080265299653,2.31882918296183,2.55071210125801,2.80578331138381,3.08636164252219,3.39499780677441,3.73449758745185,4.10794734619704,4.51874208081674,4.97061628889842,5.46767791778826,6.01444570956709,6.6158902805238,7.27747930857618,8.0052272394338,8.80574996337718,9.6863249597149,10.6549574556864,11.720453201255,12.8924985213805,14.1817483735186,15.5999232108704,17.1599155319575,18.8759070851532,20.7634977936686,22.8398475730354,25.123832330339,27.6362155633729,30.3998371197102,33.4398208316812,36.7838029148493,40.4621832063342,44.5084015269676,48.9592416796644
"36-47",0.0189997808871296,0.0103301842760669,0.00561652304368349,0.00305370458621074,0.00249090504682381,0.00273999555150619,0.00301399510665681,0.00331539461732249,0.00364693407905474,0.00401162748696021,0.00441279023565624,0.00485406925922186,0.00533947618514405,0.00587342380365845,0.0064607661840243,0.00710684280242673,0.0078175270826694,0.00859927979093634,0.00945920777002998,0.010405128547033,0.0114456414017363,0.0125902055419099,0.0138492260961009,0.015234148705711,0.0167575635762821,0.0184333199339103,0.0202766519273013,0.0223043171200315,0.0245347488320346,0.0269882237152381,0.0296870460867619,0.0326557506954381,0.0359213257649819,0.0395134583414801,0.0434648041756281,0.0478112845931909,0.05259241305251,0.057851654357761,0.0636368197935371,0.0700005017728908,0.0770005519501799,0.0847006071451979,0.0931706678597177,0.102487734645689,0.112736508110258,0.124010158921284,0.136411174813413,0.150052292294754,0.165057521524229,0.181563273676652,0.199719601044318,0.219691561148749,0.241660717263624,0.265826788989987,0.292409467888986,0.321650414677884,0.353815456145673,0.38919700176024,0.428116701936264,0.47092837212989,0.518021209342879,0.569823330277167,0.626805663304884,0.689486229635372,0.75843485259891,0.834278337858801,0.917706171644681,1.00947678880915,1.11042446769006,1.22146691445907,1.34361360590498,1.47797496649548,1.62577246314502,1.78834970945953,1.96718468040548,2.16390314844603,2.38029346329063,2.61832280961969,2.88015509058166,3.16817059963983,3.48498765960381,3.83348642556419,4.21683506812061,4.63851857493267,5.10237043242594,5.61260747566854,6.17386822323539,6.79125504555893,7.47038055011482,8.21741860512631,9.03916046563894,9.94307651220283,10.9373841634231,12.0311225797654,13.234234837742,14.5576583215162,16.0134241536678,17.6147665690346,19.376243225938,21.3138675485318,23.445254303385
"48-59",0.0251132049977231,0.0136540540614791,0.00742371164216979,0.0040362733513388,0.00219452254505485,0.00170112330244667,0.00187123563269133,0.00205835919596047,0.00226419511555651,0.00249061462711216,0.00273967608982338,0.00301364369880572,0.00331500806868629,0.00364650887555492,0.00401115976311041,0.00441227573942146,0.0048535033133636,0.00533885364469996,0.00587273900916996,0.00646001291008696,0.00710601420109565,0.00781661562120522,0.00859827718332574,0.00945810490165832,0.0104039153918241,0.0114443069310066,0.0125887376241072,0.0138476113865179,0.0152323725251697,0.0167556097776867,0.0184311707554554,0.0202742878310009,0.022301716614101,0.0245318882755111,0.0269850771030622,0.0296835848133685,0.0326519432947053,0.0359171376241759,0.0395088513865934,0.0434597365252528,0.0478057101777781,0.0525862811955559,0.0578449093151115,0.0636294002466226,0.0699923402712849,0.0769915742984134,0.0846907317282547,0.0931598049010802,0.102475785391188,0.112723363930307,0.123995700323338,0.136395270355672,0.150034797391239,0.165038277130363,0.181542104843399,0.199696315327739,0.219665946860513,0.241632541546564,0.265795795701221,0.292375375271343,0.321612912798477,0.353774204078324,0.389151624486157,0.428066786934773,0.47087346562825,0.517960812191075,0.569756893410183,0.626732582751201,0.689405841026321,0.758346425128953,0.834181067641849,0.917599174406033,1.00935909184664,1.1102950010313,1.22132450113443,1.34345695124787,1.47780264637266,1.62558291100993,1.78814120211092,1.96695532232201,2.16365085455421,2.38001594000964,2.6180175340106,2.87981928741166,3.16780121615283,3.48458133776811,3.83303947154492,4.21634341869941,4.63797776056936,5.10177553662629,5.61195309028892,6.17314839931781,6.7904632392496,7.46950956317456,8.21646051949201,9.03810657144121,9.94191722858534,10.9361089514439,12.0297198465883,13.2326918312471,14.5559610143718
"60-71",0.04151994466793,0.0225744013628263,0.0122737060698347,0.00667321619153835,0.00362822884022423,0.00197266867117641,0.00156695180868175,0.00172364698954993,0.00189601168850492,0.00208561285735541,0.00229417414309095,0.00252359155740005,0.00277595071314005,0.00305354578445406,0.00335890036289947,0.00369479039918941,0.00406426943910835,0.00447069638301919,0.00491776602132111,0.00540954262345322,0.00595049688579854,0.0065455465743784,0.00720010123181624,0.00792011135499786,0.00871212249049765,0.00958333473954742,0.0105416682135022,0.0115958350348524,0.0127554185383376,0.0140309603921714,0.0154340564313885,0.0169774620745274,0.0186752082819801,0.0205427291101781,0.0225970020211959,0.0248567022233155,0.0273423724456471,0.0300766096902118,0.033084270659233,0.0363926977251563,0.0400319674976719,0.0440351642474391,0.048438680672183,0.0532825487394013,0.0586108036133415,0.0644718839746756,0.0709190723721432,0.0780109796093575,0.0858120775702933,0.0943932853273226,0.103832613860055,0.11421587524606,0.125637462770666,0.138201209047733,0.152021329952506,0.167223462947757,0.183945809242533,0.202340390166786,0.222574429183465,0.244831872101811,0.269315059311992,0.296246565243191,0.325871221767511,0.358458343944262,0.394304178338688,0.433734596172557,0.477108055789813,0.524818861368794,0.577300747505673,0.635030822256241,0.698533904481865,0.768387294930051,0.845226024423057,0.929748626865362,1.0227234895519,1.12499583850709,1.2374954223578,1.36124496459358,1.49736946105294,1.64710640715823,1.81181704787405,1.99299875266146,2.1922986279276,2.41152849072036,2.6526813397924,2.91794947377164,3.20974442114881,3.53071886326369,3.88379074959005,4.27216982454906,4.69938680700397,5.16932548770436,5.6862580364748,6.25488384012228,6.88037222413451,7.56840944654796,8.32525039120276,9.15777543032304,10.0735529733553,11.0809082706909,12.18899909776
"72-83",0.0439576073807447,0.0239132754736581,0.0130016521640297,0.00706900061351405,0.00384341690143894,0.00208966645865423,0.00113615202836561,0.000932760929461023,0.00102603702240713,0.00112864072464784,0.00124150479711262,0.00136565527682388,0.00150222080450627,0.0016524428849569,0.00181768717345259,0.00199945589079785,0.00219940147987763,0.0024193416278654,0.00266127579065194,0.00292740336971713,0.00322014370668885,0.00354215807735773,0.0038963738850935,0.00428601127360286,0.00471461240096314,0.00518607364105946,0.0057046810051654,0.00627514910568194,0.00690266401625014,0.00759293041787515,0.00835222345966267,0.00918744580562894,0.0101061903861918,0.011116809424811,0.0122284903672921,0.0134513394040213,0.0147964733444235,0.0162761206788658,0.0179037327467524,0.0196941060214276,0.0216635166235704,0.0238298682859274,0.0262128551145202,0.0288341406259722,0.0317175546885694,0.0348893101574264,0.038378241173169,0.0422160652904859,0.0464376718195345,0.051081439001488,0.0561895829016368,0.0618085411918005,0.0679893953109805,0.0747883348420785,0.0822671683262864,0.0904938851589151,0.0995432736748066,0.109497601042287,0.120447361146516,0.132492097261168,0.145741306987284,0.160315437686013,0.176346981454614,0.193981679600076,0.213379847560083,0.234717832316092,0.258189615547701,0.284008577102471,0.312409434812718,0.34365037829399,0.378015416123389,0.415816957735727,0.4573986535093,0.50313851886023,0.553452370746254,0.608797607820879,0.669677368602967,0.736645105463263,0.81030961600959,0.891340577610549,0.980474635371604,1.07852209890876,1.18637430879964,1.30501173967961,1.43551291364757,1.57906420501232,1.73697062551355,1.91066768806491,2.1017344568714,2.31190790255854,2.5430986928144,2.79740856209584,3.07714941830542,3.38486436013596,3.72335079614956,4.09568587576452,4.50525446334097,4.95577990967506,5.45135790064257,5.99649369070683,6.59614305977751
"84-95",0.0382768757514827,0.0208451164144238,0.0113334935332298,0.00616202246675297,0.0033502927203725,0.00182155475296337,0.000990379645893905,0.000538469591103563,0.000448188547046168,0.000493007401750785,0.000542308141925863,0.00059653895611845,0.000656192851730295,0.000721812136903324,0.000793993350593657,0.000873392685653022,0.000960731954218325,0.00105680514964016,0.00116248566460417,0.00127873423106459,0.00140660765417105,0.00154726841958815,0.00170199526154697,0.00187219478770167,0.00205941426647183,0.00226535569311902,0.00249189126243092,0.00274108038867401,0.00301518842754141,0.00331670727029556,0.00364837799732511,0.00401321579705762,0.00441453737676339,0.00485599111443972,0.0053415902258837,0.00587574924847207,0.00646332417331928,0.0071096565906512,0.00782062224971633,0.00860268447468795,0.00946295292215675,0.0104092482143724,0.0114501730358097,0.0125951903393906,0.0138547093733297,0.0152401803106627,0.016764198341729,0.0184406181759018,0.020284679993492,0.0223131479928412,0.0245444627921254,0.0269989090713379,0.0296987999784717,0.0326686799763189,0.0359355479739507,0.0395291027713458,0.0434820130484804,0.0478302143533285,0.0526132357886613,0.0578745593675274,0.0636620153042802,0.0700282168347082,0.0770310385181791,0.084734142369997,0.0932075566069967,0.102528312267696,0.112781143494466,0.124059257843913,0.136465183628304,0.150111701991134,0.165122872190248,0.181635159409273,0.1997986753502,0.21977854288522,0.241756397173742,0.265932036891116,0.292525240580228,0.32177776463825,0.353955541102075,0.389351095212283,0.428286204733511,0.471114825206862,0.518226307727549,0.570048938500304,0.627053832350334,0.689759215585368,0.758735137143905,0.834608650858295,0.918069515944125,1.00987646753854,1.11086411429239,1.22195052572163,1.34414557829379,1.47856013612317,1.62641614973549,1.78905776470904,1.96796354117994,2.16475989529794,2.38123588482773,2.61935947331051,2.88129542064156
"96-107",0.0290921177824874,0.0158473621611369,0.00861621364933783,0.00468463690651907,0.00254703792629459,0.00138482497735423,0.000752929588564882,0.000409367952345557,0.000222573429113091,0.000188513027118385,0.000207364329830224,0.000228100762813246,0.000250910839094571,0.000276001923004028,0.000303602115304431,0.000333962326834874,0.000367358559518361,0.000404094415470197,0.000444503857017217,0.000488954242718939,0.000537849666990832,0.000591634633689916,0.000650798097058907,0.000715877906764798,0.000787465697441278,0.000866212267185406,0.000952833493903947,0.00104811684329434,0.00115292852762378,0.00126822138038615,0.00139504351842477,0.00153454787026725,0.00168800265729397,0.00185680292302337,0.0020424832153257,0.00224673153685828,0.0024714046905441,0.00271854515959851,0.00299039967555836,0.0032894396431142,0.00361838360742562,0.00398022196816818,0.004378244164985,0.0048160685814835,0.00529767543963186,0.00582744298359504,0.00641018728195455,0.00705120601015,0.007756326611165,0.0085319592722815,0.00938515519950965,0.0103236707194606,0.0113560377914067,0.0124916415705474,0.0137408057276021,0.0151148863003623,0.0166263749303985,0.0182890124234384,0.0201179136657822,0.0221297050323604,0.0243426755355965,0.0267769430891561,0.0294546373980718,0.0324001011378789,0.0356401112516668,0.0392041223768335,0.0431245346145169,0.0474369880759686,0.0521806868835654,0.057398755571922,0.0631386311291142,0.0694524942420256,0.0763977436662282,0.084037518032851,0.0924412698361361,0.10168539681975,0.111853936501725,0.123039330151897,0.135343263167087,0.148877589483796,0.163765348432175,0.180141883275393,0.198156071602932,0.217971678763225,0.239768846639548,0.263745731303503,0.290120304433853,0.319132334877238,0.351045568364962,0.386150125201458,0.424765137721604,0.467241651493765,0.513965816643141,0.565362398307455,0.621898638138201,0.684088501952021,0.752497352147223,0.827747087361945,0.91052179609814,1.00157397570795,1.10173137327875
"108-119",0.0243761946351635,0.0132693681453321,0.00721455784056478,0.00392255639189306,0.00213269461380832,0.00115954644404026,0.000630445609596907,0.000342773391012369,0.000186365954172067,0.000101327202709302,8.78314906861881e-05,9.66146397548069e-05,0.000106276103730288,0.000116903714103316,0.000128594085513648,0.000141453494065013,0.000155598843471514,0.000171158727818666,0.000188274600600532,0.000207102060660585,0.000227812266726644,0.000250593493399308,0.000275652842739239,0.000303218127013163,0.00033353993971448,0.000366893933685928,0.00040358332705452,0.000443941659759973,0.00048833582573597,0.000537169408309567,0.000590886349140523,0.000649974984054576,0.000714972482460033,0.000786469730706037,0.000865116703776641,0.000951628374154305,0.00104679121156974,0.00115147033272671,0.00126661736599938,0.00139327910259932,0.00153260701285925,0.00168586771414517,0.00185445448555969,0.00203989993411566,0.00224388992752723,0.00246827892027995,0.00271510681230795,0.00298661749353874,0.00328527924289262,0.00361380716718188,0.00397518788390007,0.00437270667229007,0.00480997733951908,0.00529097507347099,0.00582007258081809,0.0064020798388999,0.00704228782278989,0.00774651660506888,0.00852116826557577,0.00937328509213334,0.0103106136013467,0.0113416749614813,0.0124758424576295,0.0137234267033924,0.0150957693737317,0.0166053463111048,0.0182658809422153,0.0200924690364369,0.0221017159400806,0.0243118875340886,0.0267430762874975,0.0294173839162472,0.032359122307872,0.0355950345386592,0.0391545379925251,0.0430699917917776,0.0473769909709553,0.0521146900680509,0.057326159074856,0.0630587749823416,0.0693646524805757,0.0763011177286333,0.0839312295014967,0.0923243524516463,0.101556787696811,0.111712466466492,0.122883713113141,0.135172084424455,0.148689292866901,0.163558222153591,0.17991404436895,0.197905448805845,0.21769599368643,0.239465593055073,0.26341215236058,0.289753367596638,0.318728704356302,0.350601574791932,0.385661732271126,0.424227905498238,0.466650696048062
