"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36-47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48-59",0.000105429927008356,5.37653798614601e-05,2.92322466738473e-05,1.58935777595648e-05,8.64134107849218e-06,5.2139596266776e-06,5.73535558934536e-06,6.3088911482799e-06,6.93978026310789e-06,7.63375828941868e-06,8.39713411836054e-06,9.2368475301966e-06,1.01605322832163e-05,1.11765855115379e-05,1.22942440626917e-05,1.35236684689608e-05,1.48760353158569e-05,1.63636388474426e-05,1.80000027321869e-05,1.98000030054056e-05,2.17800033059461e-05,2.39580036365408e-05,2.63538040001948e-05,2.89891844002143e-05,3.18881028402358e-05,3.50769131242593e-05,3.85846044366853e-05,4.24430648803538e-05,4.66873713683892e-05,5.13561085052281e-05,5.64917193557509e-05,6.2140891291326e-05,6.83549804204586e-05,7.51904784625045e-05,8.27095263087549e-05,9.09804789396305e-05,0.000100078526833593,0.000110086379516953,0.000121095017468648,0.000133204519215513,0.000146524971137064,0.000161177468250771,0.000177295215075848,0.000195024736583433,0.000214527210241776,0.000235979931265954,0.000259577924392549,0.000285535716831804,0.000314089288514984,0.000345498217366483,0.000380048039103131,0.000418052843013444,0.000459858127314788,0.000505843940046267,0.000556428334050894,0.000612071167455983,0.000673278284201582,0.00074060611262174,0.000814666723883914,0.000896133396272306,0.000985746735899537,0.00108432140948949,0.00119275355043844,0.00131202890548228,0.00144323179603051,0.00158755497563356,0.00174631047319692,0.00192094152051661,0.00211303567256827,0.0023243392398251,0.00255677316380761,0.00281245048018837,0.00309369552820721,0.00340306508102793,0.00374337158913072,0.0041177087480438,0.00452947962284818,0.004982427585133,0.0054806703436463,0.00602873737801093,0.00663161111581202,0.00729477222739322,0.00802424945013254,0.0088266743951458,0.00970934183466038,0.0106802760181264,0.0117483036199391,0.012923133981933,0.0142154473801263,0.0156369921181389,0.0172006913299528,0.0189207604629481,0.0208128365092429,0.0228941201601672,0.0251835321761839,0.0277018853938023,0.0304720739331825,0.0335192813265008,0.0368712094591508,0.0405583304050659,0.0446141634455725
"60-71",0.000333681234757851,0.000169821079246581,9.23317512448837e-05,5.02007897121449e-05,2.72941783703321e-05,1.48398496753384e-05,1.06344704743922e-05,1.16979175218314e-05,1.28677092740146e-05,1.4154480201416e-05,1.55699282215576e-05,1.71269210437134e-05,1.88396131480847e-05,2.07235744628932e-05,2.27959319091825e-05,2.50755251001008e-05,2.75830776101108e-05,3.03413853711219e-05,3.33755239082341e-05,3.67130762990575e-05,4.03843839289633e-05,4.44228223218596e-05,4.88651045540456e-05,5.37516150094501e-05,5.91267765103952e-05,6.50394541614347e-05,7.15433995775781e-05,7.8697739535336e-05,8.65675134888696e-05,9.52242648377565e-05,0.000104746691321532,0.000115221360453685,0.000126743496499054,0.000139417846148959,0.000153359630763855,0.000168695593840241,0.000185565153224265,0.000204121668546692,0.000224533835401361,0.000246987218941497,0.000271685940835646,0.000298854534919211,0.000328739988411132,0.000361613987252245,0.00039777538597747,0.000437552924575217,0.000481308217032739,0.000529439038736013,0.000582382942609614,0.000640621236870576,0.000704683360557633,0.000775151696613397,0.000852666866274736,0.00093793355290221,0.00103172690819243,0.00113489959901167,0.00124838955891284,0.00137322851480413,0.00151055136628454,0.00166160650291299,0.00182776715320429,0.00201054386852472,0.00221159825537719,0.00243275808091491,0.00267603388900641,0.00294363727790705,0.00323800100569775,0.00356180110626753,0.00391798121689428,0.00430977933858371,0.00474075727244208,0.00521483299968629,0.00573631629965492,0.00630994792962041,0.00694094272258245,0.00763503699484069,0.00839854069432477,0.00923839476375724,0.010162234240133,0.0111784576641463,0.0122963034305609,0.013525933773617,0.0148785271509787,0.0163663798660766,0.0180030178526842,0.0198033196379526,0.0217836516017479,0.0239620167619227,0.026358218438115,0.0289940402819265,0.0318934443101191,0.035082788741131,0.0385910676152441,0.0424501743767685,0.0466951918144454,0.0513647109958899,0.0565011820954789,0.0621513003050269,0.0683664303355295,0.0752030733690825,0.0827233807059908
"72-83",0.000558808424086431,0.000285598203030021,0.000155279794211322,8.44256519631394e-05,4.590224211465e-05,2.49570572706016e-05,1.3569156514237e-05,1.05203223601349e-05,1.15723545961484e-05,1.27295900557633e-05,1.40025490613396e-05,1.54028039674735e-05,1.69430843642209e-05,1.8637392800643e-05,2.05011320807073e-05,2.2551245288778e-05,2.48063698176558e-05,2.72870067994214e-05,3.00157074793636e-05,3.30172782272999e-05,3.63190060500299e-05,3.99509066550329e-05,4.39459973205362e-05,4.83405970525898e-05,5.31746567578488e-05,5.84921224336337e-05,6.43413346769971e-05,7.07754681446968e-05,7.78530149591665e-05,8.56383164550831e-05,9.42021481005914e-05,0.000103622362910651,0.000113984599201716,0.000125383059121887,0.000137921365034076,0.000151713501537484,0.000166884851691232,0.000183573336860355,0.000201930670546391,0.00022212373760103,0.000244336111361133,0.000268769722497246,0.000295646694746971,0.000325211364221668,0.000357732500643835,0.000393505750708218,0.00043285632577904,0.000476141958356944,0.000523756154192638,0.000576131769611902,0.000633744946573093,0.000697119441230402,0.000766831385353442,0.000843514523888786,0.000927865976277665,0.00102065257390543,0.00112271783129597,0.00123498961442557,0.00135848857586813,0.00149433743345494,0.00164377117680044,0.00180814829448048,0.00198896312392853,0.00218785943632138,0.00240664537995352,0.00264730991794887,0.00291204090974376,0.00320324500071814,0.00352356950078995,0.00387592645086895,0.00426351909595584,0.00468987100555143,0.00515885810610657,0.00567474391671723,0.00624221830838895,0.00686644013922784,0.00755308415315063,0.00830839256846569,0.00913923182531227,0.0100531550078435,0.0110584705086278,0.0121643175594906,0.0133807493154397,0.0147188242469837,0.016190706671682,0.0178097773388502,0.0195907550727353,0.0215498305800088,0.0237048136380097,0.0260752950018106,0.0286828245019917,0.0315511069521909,0.03470621764741,0.038176839412151,0.0419945233533661,0.0461939756887027,0.0508133732575729,0.0558947105833302,0.0614841816416633,0.0676325998058296,0.0743958597864126
"84-95",0.000614393589757046,0.000312788793848511,0.000170063323316145,9.24634593889538e-05,5.02723994536985e-05,2.73331125996585e-05,1.48610182228063e-05,8.07993827316027e-06,6.62174417107897e-06,7.28391858818687e-06,8.01231044700555e-06,8.81354149170611e-06,9.69489564087672e-06,1.06643852049644e-05,1.17308237254608e-05,1.29039060980069e-05,1.41942967078076e-05,1.56137263785884e-05,1.71750990164472e-05,1.88926089180919e-05,2.07818698099011e-05,2.28600567908912e-05,2.51460624699804e-05,2.76606687169784e-05,3.04267355886763e-05,3.34694091475439e-05,3.68163500622983e-05,4.04979850685281e-05,4.45477835753809e-05,4.9002561932919e-05,5.39028181262109e-05,5.9293099938832e-05,6.52224099327152e-05,7.17446509259867e-05,7.89191160185854e-05,8.6811027620444e-05,9.54921303824884e-05,0.000105041343420737,0.000115545477762811,0.000127100025539092,0.000139810028093001,0.000153791030902301,0.000169170133992532,0.000186087147391785,0.000204695862130963,0.00022516544834406,0.000247681993178466,0.000272450192496312,0.000299695211745944,0.000329664732920538,0.000362631206212592,0.000398894326833851,0.000438783759517236,0.00048266213546896,0.000530928349015856,0.000584021183917441,0.000642423302309185,0.000706665632540104,0.000777332195794114,0.000855065415373526,0.000940571956910878,0.00103462915260197,0.00113809206786216,0.00125190127464838,0.00137709140211322,0.00151480054232454,0.00166628059655699,0.00183290865621269,0.00201619952183396,0.00221781947401736,0.00243960142141909,0.00268356156356101,0.00295191771991711,0.00324710949190882,0.0035718204410997,0.00392900248520967,0.00432190273373063,0.0047540930071037,0.00522950230781407,0.00575245253859548,0.00632769779245503,0.00696046757170053,0.00765651432887058,0.00842216576175764,0.0092643823379334,0.0101908205717267,0.0112099026288994,0.0123308928917894,0.0135639821809683,0.0149203803990651,0.0164124184389716,0.0180536602828688,0.0198590263111557,0.0218449289422713,0.0240294218364984,0.0264323640201482,0.0290756004221631,0.0319831604643794,0.0351814765108173,0.0386996241618991,0.042569586578089
"96-107",0.000710944825676763,0.000357866416755245,0.000194572034975502,0.000105788850313943,5.7517416889611e-05,3.12722298790052e-05,1.70027169940935e-05,9.24438027923676e-06,5.0261712158609e-06,4.25597991218955e-06,4.6815779034085e-06,5.14973569374935e-06,5.66470926312429e-06,6.23118018943671e-06,6.85429820838039e-06,7.53972802921843e-06,8.29370083214027e-06,9.12307091535429e-06,1.00353780068897e-05,1.10389158075787e-05,1.21428073883366e-05,1.33570881271702e-05,1.46927969398873e-05,1.6162076633876e-05,1.77782842972636e-05,1.95561127269899e-05,2.15117239996889e-05,2.36628963996578e-05,2.60291860396236e-05,2.8632104643586e-05,3.14953151079446e-05,3.4644846618739e-05,3.8109331280613e-05,4.19202644086743e-05,4.61122908495417e-05,5.07235199344959e-05,5.57958719279454e-05,6.137545912074e-05,6.7513005032814e-05,7.42643055360954e-05,8.16907360897049e-05,8.98598096986754e-05,9.8845790668543e-05,0.000108730369735397,0.000119603406708937,0.000131563747379831,0.000144720122117814,0.000159192134329595,0.000175111347762555,0.00019262248253881,0.000211884730792691,0.00023307320387196,0.000256380524259156,0.000282018576685072,0.00031022043435358,0.000341242477788937,0.000375366725567831,0.000412903398124614,0.000454193737937076,0.000499613111730783,0.000549574422903862,0.000604531865194248,0.000664985051713673,0.00073148355688504,0.000804631912573544,0.000885095103830899,0.000973604614213989,0.00107096507563539,0.00117806158319893,0.00129586774151882,0.0014254545156707,0.00156799996723777,0.00172479996396155,0.0018972799603577,0.00208700795639347,0.00229570875203282,0.0025252796272361,0.00277780758995972,0.00305558834895569,0.00336114718385126,0.00369726190223638,0.00406698809246002,0.00447368690170602,0.00492105559187663,0.00541316115106429,0.00595447726617072,0.00654992499278779,0.00720491749206657,0.00792540924127323,0.00871795016540055,0.00958974518194061,0.0105487197001347,0.0116035916701481,0.0127639508371629,0.0140403459208792,0.0154443805129672,0.0169888185642639,0.0186877004206903,0.0205564704627593,0.0226121175090352,0.0248733292599388
"108-119",0.000744462763168609,0.00036422893315949,0.000198031336285648,0.000107669673056718,5.85400205521956e-05,3.18282196737631e-05,1.73050087452237e-05,9.40873635854427e-06,5.11553164565873e-06,2.78131547324861e-06,2.4133403939002e-06,2.65467443329022e-06,2.92014187661924e-06,3.21215606428117e-06,3.53337167070929e-06,3.88670883778021e-06,4.27537972155824e-06,4.70291769371406e-06,5.17320946308547e-06,5.69053040939401e-06,6.25958345033342e-06,6.88554179536676e-06,7.57409597490343e-06,8.33150557239378e-06,9.16465612963316e-06,1.00811217425965e-05,1.10892339168561e-05,1.21981573085417e-05,1.34179730393959e-05,1.47597703433355e-05,1.62357473776691e-05,1.7859322115436e-05,1.96452543269796e-05,2.16097797596775e-05,2.37707577356453e-05,2.61478335092098e-05,2.87626168601308e-05,3.16388785461439e-05,3.48027664007582e-05,3.82830430408341e-05,4.21113473449175e-05,4.63224820794092e-05,5.09547302873502e-05,5.60502033160852e-05,6.16552236476937e-05,6.78207460124631e-05,7.46028206137094e-05,8.20631026750804e-05,9.02694129425884e-05,9.92963542368472e-05,0.000109225989660532,0.000120148588626585,0.000132163447489244,0.000145379792238168,0.000159917771461985,0.000175909548608183,0.000193500503469002,0.000212850553815902,0.000234135609197492,0.000257549170117241,0.000283304087128966,0.000311634495841862,0.000342797945426048,0.000377077739968653,0.000414785513965519,0.000456264065362071,0.000501890471898278,0.000552079519088106,0.000607287470996916,0.000668016218096608,0.000734817839906268,0.000808299623896895,0.000889129586286585,0.000978042544915244,0.00107584679940677,0.00118343147934744,0.00130177462728219,0.00143195209001041,0.00157514729901145,0.0017326620289126,0.00190592823180385,0.00209652105498424,0.00230617316048267,0.00253679047653093,0.00279046952418402,0.00306951647660243,0.00337646812426267,0.00371411493668894,0.00408552643035783,0.00449407907339361,0.00494348698073298,0.00543783567880627,0.0059816192466869,0.00657978117135559,0.00723775928849115,0.00796153521734027,0.0087576887390743,0.00963345761298173,0.0105968033742799,0.0116564837117079,0.0128221320828787
