"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",1.23036284669974e-08,6.68948500424247e-09,3.63996145362268e-09,4.00395759898495e-09,4.40435335888344e-09,4.84478869477179e-09,5.32926756424896e-09,5.86219432067386e-09,6.44841375274125e-09,7.09325512801537e-09,7.80258064081691e-09,8.5828387048986e-09,9.44112257538847e-09,1.03852348329273e-08,1.142375831622e-08,1.2566134147842e-08,1.38227475626263e-08,1.52050223188889e-08,1.67255245507778e-08,1.83980770058556e-08,2.02378847064411e-08,2.22616731770852e-08,2.44878404947937e-08,2.69366245442731e-08,2.96302869987004e-08,3.25933156985705e-08,3.58526472684275e-08,3.94379119952703e-08,4.33817031947973e-08,4.77198735142771e-08,5.24918608657048e-08,5.77410469522752e-08,6.35151516475028e-08,6.98666668122531e-08,7.68533334934783e-08,8.45386668428262e-08,9.29925335271088e-08,1.0229178687982e-07,1.12520965567802e-07,1.23773062124582e-07,1.3615036833704e-07,1.49765405170744e-07,1.64741945687819e-07,1.812161402566e-07,1.9933775428226e-07,2.19271529710487e-07,2.41198682681535e-07,2.65318550949689e-07,2.91850406044658e-07,3.21035446649123e-07,3.53138991314036e-07,3.88452890445439e-07,4.27298179489983e-07,4.70027997438982e-07,5.1703079718288e-07,5.68733876901168e-07,6.25607264591285e-07,6.88167991050414e-07,7.56984790155455e-07,8.32683269171e-07,9.159515960881e-07,1.00754675569691e-06,1.1083014312666e-06,1.21913157439326e-06,1.34104473183259e-06,1.47514920501585e-06,1.62266412551743e-06,1.78493053806918e-06,1.96342359187609e-06,2.1597659510637e-06,2.37574254617007e-06,2.61331680078708e-06,2.87464848086579e-06,3.16211332895237e-06,3.47832466184761e-06,3.82615712803237e-06,4.2087728408356e-06,4.62965012491916e-06,5.09261513741108e-06,5.60187665115219e-06,6.16206431626741e-06,6.77827074789415e-06,7.45609782268357e-06,8.20170760495192e-06,9.02187836544711e-06,9.92406620199183e-06,1.0916472822191e-05,1.20081201044101e-05,1.32089321148511e-05,1.45298253263362e-05,1.59828078589699e-05,1.75810886448669e-05,1.93391975093535e-05,2.12731172602889e-05,2.34004289863178e-05,2.57404718849496e-05,2.83145190734445e-05,3.1145970980789e-05,3.42605680788679e-05,3.76866248867547e-05,4.14552873754302e-05
"24-29",5.93613593174333e-07,3.22747817077353e-07,1.75478046031882e-07,1.02391616796153e-07,1.12630778475769e-07,1.23893856323346e-07,1.3628324195568e-07,1.49911566151248e-07,1.64902722766373e-07,1.8139299504301e-07,1.99532294547311e-07,2.19485524002042e-07,2.41434076402247e-07,2.65577484042472e-07,2.92135232446719e-07,3.21348755691391e-07,3.5348363126053e-07,3.88831994386583e-07,4.27715193825241e-07,4.70486713207765e-07,5.17535384528542e-07,5.69288922981396e-07,6.26217815279535e-07,6.88839596807489e-07,7.57723556488238e-07,8.33495912137062e-07,9.16845503350768e-07,1.00853005368584e-06,1.10938305905443e-06,1.22032136495987e-06,1.34235350145586e-06,1.47658885160145e-06,1.62424773676159e-06,1.78667251043775e-06,1.96533976148153e-06,2.16187373762968e-06,2.37806111139265e-06,2.61586722253191e-06,2.8774539447851e-06,3.16519933926361e-06,3.48171927318997e-06,3.82989120050897e-06,4.21288032055987e-06,4.63416835261586e-06,5.09758518787744e-06,5.60734370666519e-06,6.16807807733171e-06,6.78488588506488e-06,7.46337447357137e-06,8.20971192092851e-06,9.03068311302136e-06,9.93375142432349e-06,1.09271265667558e-05,1.20198392234314e-05,1.32218231457746e-05,1.4544005460352e-05,1.59984060063872e-05,1.7598246607026e-05,1.93580712677286e-05,2.12938783945014e-05,2.34232662339516e-05,2.57655928573467e-05,2.83421521430814e-05,3.11763673573895e-05,3.42940040931285e-05,3.77234045024413e-05,4.14957449526855e-05,4.5645319447954e-05,5.02098513927494e-05,5.52308365320244e-05,6.07539201852268e-05,6.68293122037495e-05,7.35122434241245e-05,8.08634677665369e-05,8.89498145431906e-05,9.78447959975097e-05,0.000107629275597261,0.000118392203156987,0.000130231423472685,0.000143254565819954,0.000157580022401949,0.000173338024642144,0.000190671827106359,0.000209739009816995,0.000230712910798694,0.000253784201878564,0.00027916262206642,0.000307078884273062,0.000337786772700368,0.000371565449970405,0.000408721994967446,0.00044959419446419,0.000494553613910609,0.00054400897530167,0.000598409872831837,0.000658250860115021,0.000724075946126523,0.000796483540739176,0.000876131894813093,0.000963745084294403,0.00106011959272384
"30-35",8.09600268254646e-07,4.40179811057137e-07,2.39325842220885e-07,1.36370499068489e-07,1.50007548975338e-07,1.65008303872872e-07,1.81509134260159e-07,1.99660047686175e-07,2.19626052454793e-07,2.41588657700272e-07,2.657475234703e-07,2.9232227581733e-07,3.21554503399063e-07,3.53709953738969e-07,3.89080949112866e-07,4.27989044024152e-07,4.70787948426568e-07,5.17866743269224e-07,5.69653417596147e-07,6.26618759355762e-07,6.89280635291338e-07,7.58208698820472e-07,8.34029568702519e-07,9.17432525572771e-07,1.00917577813005e-06,1.11009335594305e-06,1.22110269153736e-06,1.34321296069109e-06,1.4775342567602e-06,1.62528768243622e-06,1.78781645067985e-06,1.96659809574783e-06,2.16325790532262e-06,2.37958369585488e-06,2.61754206544037e-06,2.8792962719844e-06,3.16722589918284e-06,3.48394848910113e-06,3.83234333801124e-06,4.21557767181236e-06,4.6371354389936e-06,5.10084898289296e-06,5.61093388118226e-06,6.17202726930048e-06,6.78922999623053e-06,7.46815299585359e-06,8.21496829543895e-06,9.03646512498284e-06,9.94011163748113e-06,1.09341228012292e-05,1.20275350813522e-05,1.32302885894874e-05,1.45533174484361e-05,1.60086491932797e-05,1.76095141126077e-05,1.93704655238685e-05,2.13075120762553e-05,2.34382632838809e-05,2.5782089612269e-05,2.83602985734959e-05,3.11963284308454e-05,3.431596127393e-05,3.7747557401323e-05,4.15223131414553e-05,4.56745444556008e-05,5.02419989011609e-05,5.5266198791277e-05,6.07928186704047e-05,6.68721005374452e-05,7.35593105911897e-05,8.09152416503087e-05,8.90067658153396e-05,9.79074423968735e-05,0.000107698186636561,0.000118468005300217,0.000130314805830239,0.000143346286413263,0.000157680915054589,0.000173449006560048,0.000190793907216053,0.000209873297937658,0.000230860627731424,0.000253946690504566,0.000279341359555023,0.000307275495510525,0.000338003045061577,0.000371803349567735,0.000408983684524509,0.00044988205297696,0.000494870258274656,0.000544357284102121,0.000598793012512334,0.000658672313763567,0.000724539545139924,0.000796993499653916,0.000876692849619308,0.000964362134581239,0.00106079834803936,0.0011668781828433,0.00128356600112763,0.00141192260124039
"36-47",2.12637041739856e-05,1.15610797731799e-05,6.28576114623297e-06,3.41756946259911e-06,1.96800664915657e-06,2.16480731407222e-06,2.38128804547945e-06,2.61941685002739e-06,2.88135853503013e-06,3.16949438853314e-06,3.48644382738646e-06,3.8350882101251e-06,4.21859703113761e-06,4.64045673425138e-06,5.10450240767652e-06,5.61495264844417e-06,6.17644791328858e-06,6.79409270461744e-06,7.47350197507919e-06,8.22085217258711e-06,9.04293738984582e-06,9.9472311288304e-06,1.09419542417134e-05,1.20361496658848e-05,1.32397646324733e-05,1.45637410957206e-05,1.60201152052927e-05,1.76221267258219e-05,1.93843393984041e-05,2.13227733382445e-05,2.3455050672069e-05,2.58005557392759e-05,2.83806113132035e-05,3.12186724445238e-05,3.43405396889762e-05,3.77745936578738e-05,4.15520530236612e-05,4.57072583260273e-05,5.02779841586301e-05,5.53057825744931e-05,6.08363608319424e-05,6.69199969151366e-05,7.36119966066503e-05,8.09731962673154e-05,8.90705158940469e-05,9.79775674834516e-05,0.000107775324231797,0.000118552856654976,0.000130408142320474,0.000143448956552522,0.000157793852207774,0.000173573237428551,0.000190930561171406,0.000210023617288547,0.000231025979017402,0.000254128576919142,0.000279541434611056,0.000307495578072162,0.000338245135879378,0.000372069649467316,0.000409276614414047,0.000450204275855452,0.000495224703440997,0.000544747173785097,0.000599221891163607,0.000659144080279967,0.000725058488307964,0.000797564337138761,0.000877320770852637,0.0009650528479379,0.00106155813273169,0.00116771394600486,0.00128448534060535,0.00141293387466588,0.00155422726213247,0.00170964998834572,0.00188061498718029,0.00206867648589832,0.00227554413448815,0.00250309854793696,0.00275340840273066,0.00302874924300373,0.0033316241673041,0.00366478658403451,0.00403126524243796,0.00443439176668176,0.00487783094334993,0.00536561403768493,0.00590217544145342,0.00649239298559876,0.00714163228415864,0.0078557955125745,0.00864137506383196,0.00950551257021515,0.0104560638272367,0.0115016702099603,0.0126518372309564,0.013917020954052,0.0153087230494572,0.0168395953544029,0.0185235548898432
"48-59",0.000116755770382055,6.34801332976321e-05,3.45141598594984e-05,1.87653549059489e-05,1.02027268280531e-05,6.58961900529283e-06,7.24858090582211e-06,7.97343899640433e-06,8.77078289604476e-06,9.64786118564924e-06,1.06126473042142e-05,1.16739120346356e-05,1.28413032380991e-05,1.41254335619091e-05,1.55379769181e-05,1.709177460991e-05,1.8800952070901e-05,2.0681047277991e-05,2.27491520057902e-05,2.50240672063692e-05,2.75264739270061e-05,3.02791213197067e-05,3.33070334516774e-05,3.66377367968451e-05,4.03015104765296e-05,4.43316615241826e-05,4.87648276766009e-05,5.3641310444261e-05,5.90054414886871e-05,6.49059856375558e-05,7.13965842013114e-05,7.85362426214425e-05,8.63898668835868e-05,9.50288535719455e-05,0.00010453173892914,0.000114984912822054,0.000126483404104259,0.000139131744514685,0.000153044918966154,0.000168349410862769,0.000185184351949046,0.000203702787143951,0.000224073065858346,0.000246480372444181,0.000271128409688599,0.000298241250657459,0.000328065375723204,0.000360871913295525,0.000396959104625077,0.000436655015087585,0.000480320516596344,0.000528352568255978,0.000581187825081576,0.000639306607589734,0.000703237268348707,0.000773560995183578,0.000850917094701936,0.000936008804172129,0.00102960968458934,0.00113257065304828,0.0012458277183531,0.00137041049018841,0.00150745153920726,0.00165819669312798,0.00182401636244078,0.00200641799868486,0.00220705979855335,0.00242776577840868,0.00267054235624955,0.0029375965918745,0.00323135625106195,0.00355449187616815,0.00390994106378497,0.00430093517016346,0.00473102868717981,0.00520413155589779,0.00572454471148757,0.00629699918263633,0.00692669910089996,0.00761936901098996,0.00838130591208895,0.00921943650329785,0.0101413801536276,0.0111555181689904,0.0122710699858894,0.0134981769844784,0.0148479946829262,0.0163327941512188,0.0179660735663407,0.0197626809229748,0.0217389490152723,0.0239128439167995,0.0263041283084795,0.0289345411393274,0.0318279952532602,0.0350107947785862,0.0385118742564448,0.0423630616820893,0.0465993678502982,0.0512593046353281,0.0563852350988609
"60-71",0.000337051752280658,0.000183255098167423,9.96358297416244e-05,5.41720185008569e-05,2.94533361750206e-05,1.60137841610066e-05,1.14771514182524e-05,1.26248665600776e-05,1.38873532160854e-05,1.52760885376939e-05,1.68036973914633e-05,1.84840671306096e-05,2.03324738436706e-05,2.23657212280376e-05,2.46022933508414e-05,2.70625226859255e-05,2.97687749545181e-05,3.27456524499699e-05,3.60202176949669e-05,3.96222394644636e-05,4.358446341091e-05,4.7942909752001e-05,5.27372007272011e-05,5.80109207999212e-05,6.38120128799133e-05,7.01932141679046e-05,7.72125355846951e-05,8.49337891431646e-05,9.34271680574811e-05,0.000102769884863229,0.000113046873349552,0.000124351560684507,0.000136786716752958,0.000150465388428254,0.000165511927271079,0.000182063119998187,0.000200269431998006,0.000220296375197807,0.000242326012717587,0.000266558613989346,0.000293214475388281,0.000322535922927109,0.00035478951521982,0.000390268466741802,0.000429295313415982,0.00047222484475758,0.000519447329233338,0.000571392062156672,0.000628531268372339,0.000691384395209573,0.000760522834730531,0.000836575118203584,0.000920232630023942,0.00101225589302634,0.00111348148232897,0.00122482963056187,0.00134731259361805,0.00148204385297986,0.00163024823827785,0.00179327306210563,0.00197260036831619,0.00216986040514781,0.00238684644566259,0.00262553109022885,0.00288808419925174,0.00317689261917691,0.00349458188109461,0.00384404006920407,0.00422844407612447,0.00465128848373692,0.00511641733211061,0.00562805906532168,0.00619086497185384,0.00680995146903923,0.00749094661594315,0.00824004127753747,0.00906404540529122,0.00997044994582034,0.0109674949404024,0.0120642444344426,0.0132706688778869,0.0145977357656756,0.0160575093422431,0.0176632602764674,0.0194295863041142,0.0213725449345256,0.0235097994279782,0.025860779370776,0.0284468573078536,0.0312915430386389,0.0344206973425028,0.0378627670767531,0.0416490437844284,0.0458139481628713,0.0503953429791584,0.0554348772770743,0.0609783650047817,0.0670762015052599,0.0737838216557859,0.0811622038213645,0.0892784242035009
"72-83",0.000564452953622658,0.000306893172122956,0.000166857872726542,9.07206553284685e-05,4.93248365734294e-05,2.68179224917046e-05,1.4580909268709e-05,1.13182423329966e-05,1.24500665662962e-05,1.36950732229258e-05,1.50645805452184e-05,1.65710385997403e-05,1.82281424597143e-05,2.00509567056857e-05,2.20560523762543e-05,2.42616576138797e-05,2.66878233752677e-05,2.93566057127945e-05,3.22922662840739e-05,3.55214929124813e-05,3.90736422037295e-05,4.29810064241024e-05,4.72791070665126e-05,5.20070177731639e-05,5.72077195504803e-05,6.29284915055284e-05,6.92213406560812e-05,7.61434747216893e-05,8.37578221938583e-05,9.21336044132441e-05,0.000101346964854569,0.000111481661340025,0.000122629827474028,0.000134892810221431,0.000148382091243574,0.000163220300367931,0.000179542330404724,0.000197496563445197,0.000217246219789716,0.000238970841768688,0.000262867925945557,0.000289154718540113,0.000318070190394124,0.000349877209433536,0.00038486493037689,0.000423351423414579,0.000465686565756037,0.000512255222331641,0.000563480744564805,0.000619828819021286,0.000681811700923414,0.000749992871015756,0.000824992158117332,0.000907491373929065,0.000998240511321971,0.00109806456245417,0.00120787101869959,0.00132865812056954,0.0014615239326265,0.00160767632588915,0.00176844395847806,0.00194528835432587,0.00213981718975846,0.0023537989087343,0.00258917879960773,0.00284809667956851,0.00313290634752536,0.00344619698227789,0.00379081668050568,0.00416989834855625,0.00458688818341188,0.00504557700175307,0.00555013470192837,0.00610514817212121,0.00671566298933333,0.00738722928826667,0.00812595221709333,0.00893854743880267,0.00983240218268294,0.0108156424009512,0.0118972066410464,0.013086927305151,0.0143956200356661,0.0158351820392327,0.017418700243156,0.0191605702674716,0.0210766272942187,0.0231842900236406,0.0255027190260047,0.0280529909286051,0.0308582900214657,0.0339441190236122,0.0373385309259735,0.0410723840185708,0.0451796224204279,0.0496975846624707,0.0546673431287177,0.0601340774415895,0.0661474851857485,0.0727622337043233,0.0800384570747557
"84-95",0.000620599585613178,0.000337420106006467,0.000183455372154212,9.97447187441619e-05,5.42312214710664e-05,2.9485524840542e-05,1.60312851442238e-05,8.71621260822999e-06,7.12703573648763e-06,7.8397393101364e-06,8.62371324115004e-06,9.48608456526504e-06,1.04346930217915e-05,1.14781623239707e-05,1.26259785563678e-05,1.38885764120046e-05,1.5277434053205e-05,1.68051774585255e-05,1.84856952043781e-05,2.03342647248159e-05,2.23676911972975e-05,2.46044603170272e-05,2.70649063487299e-05,2.97713969836029e-05,3.27485366819632e-05,3.60233903501596e-05,3.96257293851755e-05,4.35883023236931e-05,4.79471325560624e-05,5.27418458116686e-05,5.80160303928355e-05,6.3817633432119e-05,7.0199396775331e-05,7.72193364528641e-05,8.49412700981505e-05,9.34353971079655e-05,0.000102778936818762,0.000113056830500638,0.000124362513550702,0.000136798764905772,0.00015047864139635,0.000165526505535985,0.000182079156089583,0.000200287071698541,0.000220315778868396,0.000242347356755235,0.000266582092430759,0.000293240301673835,0.000322564331841218,0.00035482076502534,0.000390302841527874,0.000429333125680661,0.000472266438248728,0.0005194930820736,0.00057144239028096,0.000628586629309056,0.000691445292239962,0.000760589821463958,0.000836648803610354,0.00092031368397139,0.00101234505236853,0.00111357955760538,0.00122493751336592,0.00134743126470251,0.00148217439117276,0.00163039183029004,0.00179343101331904,0.00197277411465095,0.00217005152611604,0.00238705667872765,0.00262576234660041,0.00288833858126045,0.0031771724393865,0.00349488968332515,0.00384437865165767,0.00422881651682343,0.00465169816850578,0.00511686798535636,0.00562855478389199,0.00619141026228119,0.00681055128850931,0.00749160641736024,0.00824076705909627,0.00906484376500589,0.00997132814150648,0.0109684609556571,0.0120653070512228,0.0132718377563451,0.0145990215319796,0.0160589236851776,0.0176648160536954,0.0194312976590649,0.0213744274249714,0.0235118701674686,0.0258630571842154,0.028449362902637,0.0312942991929007,0.0344237291121907,0.0378661020234098,0.0416527122257508,0.0458179834483259
"96-107",0.000718126086542185,0.000390445282053582,0.000212285169881439,0.000115419484939268,6.2753594662717e-05,3.41191406733856e-05,1.85505829036101e-05,1.00859552518608e-05,5.48373567941854e-06,4.63556774656851e-06,5.09912452122536e-06,5.6090369733479e-06,6.16994067068269e-06,6.78693473775096e-06,7.46562821152605e-06,8.21219103267866e-06,9.03341013594653e-06,9.93675114954118e-06,1.09304262644953e-05,1.20234688909448e-05,1.32258157800393e-05,1.45483973580432e-05,1.60032370938476e-05,1.76035608032323e-05,1.93639168835556e-05,2.13003085719111e-05,2.34303394291022e-05,2.57733733720125e-05,2.83507107092137e-05,3.11857817801351e-05,3.43043599581486e-05,3.77347959539635e-05,4.15082755493598e-05,4.56591031042958e-05,5.02250134147254e-05,5.52475147561979e-05,6.07722662318177e-05,6.68494928549995e-05,7.35344421404994e-05,8.08878863545494e-05,8.89766749900043e-05,9.78743424890048e-05,0.000107661776737905,0.000118427954411696,0.000130270749852865,0.000143297824838152,0.000157627607321967,0.000173390368054164,0.00019072940485958,0.000209802345345538,0.000230782579880092,0.000253860837868101,0.000279246921654912,0.000307171613820403,0.000337888775202443,0.000371677652722687,0.000408845417994956,0.000449729959794452,0.000494702955773897,0.000544173251351287,0.000598590576486415,0.000658449634135057,0.000724294597548563,0.000796724057303419,0.000876396463033761,0.000964036109337137,0.00106043972027085,0.00116648369229794,0.00128313206152773,0.0014114452676805,0.00155258979444855,0.00170784877389341,0.00187863365128275,0.00206649701641103,0.00227314671805213,0.00250046138985734,0.00275050752884308,0.00302555828172738,0.00332811410990012,0.00366092552089014,0.00402701807297915,0.00442971988027707,0.00487269186830477,0.00535996105513525,0.00589595716064877,0.00648555287671365,0.00713410816438502,0.00784751898082352,0.00863227087890587,0.00949549796679646,0.0104450477634761,0.0114895525398237,0.0126385077938061,0.0139023585731867,0.0152925944305054,0.0168218538735559,0.0185040392609115,0.0203544431870027,0.0223898875057029,0.0246288762562732,0.0270917638819005
"108-119",0.000751982589059201,0.000408853068544468,0.000222293486698091,0.000120861008587538,6.57121520462543e-05,3.57277088534513e-05,1.9425161711619e-05,1.05614639066367e-05,5.74226982030576e-06,3.12207313121377e-06,2.68621246886527e-06,2.9548337157518e-06,3.25031708732698e-06,3.57534879605968e-06,3.93288367566565e-06,4.32617204323221e-06,4.75878924755543e-06,5.23466817231098e-06,5.75813498954207e-06,6.33394848849628e-06,6.96734333734591e-06,7.6640776710805e-06,8.43048543818856e-06,9.27353398200741e-06,1.02008873802082e-05,1.1220976118229e-05,1.23430737300519e-05,1.35773811030571e-05,1.49351192133628e-05,1.6428631134699e-05,1.80714942481689e-05,1.98786436729858e-05,2.18665080402844e-05,2.40531588443129e-05,2.64584747287442e-05,2.91043222016186e-05,3.20147544217804e-05,3.52162298639585e-05,3.87378528503543e-05,4.26116381353898e-05,4.68728019489288e-05,5.15600821438216e-05,5.67160903582038e-05,6.23876993940242e-05,6.86264693334266e-05,7.54891162667693e-05,8.30380278934462e-05,9.13418306827909e-05,0.00010047601375107,0.000110523615126177,0.000121575976638795,0.000133733574302674,0.000147106931732942,0.000161817624906236,0.000177999387396859,0.000195799326136545,0.0002153792587502,0.00023691718462522,0.000260608903087742,0.000286669793396516,0.000315336772736168,0.000346870450009784,0.000381557495010763,0.000419713244511839,0.000461684568963023,0.000507853025859325,0.000558638328445258,0.000614502161289784,0.000675952377418762,0.000743547615160639,0.000817902376676703,0.000899692614344373,0.00098966187577881,0.00108862806335669,0.00119749086969236,0.0013172399566616,0.00144896395232776,0.00159386034756053,0.00175324638231659,0.00192857102054824,0.00212142812260307,0.00233357093486338,0.00256692802834971,0.00282362083118469,0.00310598291430315,0.00341658120573347,0.00375823932630682,0.0041340632589375,0.00454746958483125,0.00500221654331438,0.00550243819764581,0.0060526820174104,0.00665795021915143,0.00732374524106658,0.00805611976517324,0.00886173174169056,0.00974790491585962,0.0107226954074456,0.0117949649481901,0.0129744614430092,0.0142719075873101
