"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36-47",1.81377078160368e-06,1.02518409115392e-06,5.57392774233835e-07,3.03054551322964e-07,1.83019702435596e-07,2.01321672679156e-07,2.21453839947072e-07,2.43599223941779e-07,2.67959146335957e-07,2.94755060969553e-07,3.24230567066508e-07,3.56653623773159e-07,3.92318986150475e-07,4.31550884765522e-07,4.74705973242075e-07,5.22176570566282e-07,5.7439422762291e-07,6.31833650385201e-07,6.95017015423722e-07,7.64518716966094e-07,8.40970588662703e-07,9.25067647528974e-07,1.01757441228187e-06,1.11933185351006e-06,1.23126503886106e-06,1.35439154274717e-06,1.48983069702189e-06,1.63881376672408e-06,1.80269514339648e-06,1.98296465773613e-06,2.18126112350975e-06,2.39938723586072e-06,2.63932595944679e-06,2.90325855539147e-06,3.19358441093062e-06,3.51294285202368e-06,3.86423713722605e-06,4.25066085094866e-06,4.67572693604352e-06,5.14329962964788e-06,5.65762959261267e-06,6.22339255187393e-06,6.84573180706132e-06,7.53030498776746e-06,8.28333548654421e-06,9.11166903519862e-06,1.00228359387185e-05,1.10251195325903e-05,1.21276314858494e-05,1.33403946344343e-05,1.46744340978777e-05,1.61418775076655e-05,1.77560652584321e-05,1.95316717842753e-05,2.14848389627028e-05,2.36333228589731e-05,2.59966551448704e-05,2.85963206593575e-05,3.14559527252932e-05,3.46015479978225e-05,3.80617027976048e-05,4.18678730773653e-05,4.60546603851018e-05,5.0660126423612e-05,5.57261390659732e-05,6.12987529725705e-05,6.74286282698276e-05,7.41714910968103e-05,8.15886402064914e-05,8.97475042271405e-05,9.87222546498545e-05,0.00010859448011484,0.000119453928126324,0.000131399320938956,0.000144539253032852,0.000158993178336137,0.000174892496169751,0.000192381745786726,0.000211619920365399,0.000232781912401939,0.000256060103642132,0.000281666114006346,0.000309832725406981,0.000340815997947679,0.000374897597742446,0.000412387357516691,0.00045362609326836,0.000498988702595196,0.000548887572854716,0.000603776330140188,0.000664153963154207,0.000730569359469627,0.00080362629541659,0.000883988924958249,0.000972387817454074,0.00106962659919948,0.00117658925911943,0.00129424818503137,0.00142367300353451,0.00156604030388796,0.00172264433427676
"48-59",3.25738630963278e-06,2.79402635197398e-06,1.5191126286951e-06,8.25941808684279e-07,4.49064709519691e-07,3.95648595761549e-07,4.35213455337703e-07,4.78734800871473e-07,5.26608280958621e-07,5.79269109054483e-07,6.37196019959931e-07,7.00915621955925e-07,7.71007184151517e-07,8.48107902566669e-07,9.32918692823336e-07,1.02621056210567e-06,1.12883161831624e-06,1.24171478014786e-06,1.36588625816265e-06,1.50247488397891e-06,1.6527223723768e-06,1.81799460961448e-06,1.99979407057593e-06,2.19977347763352e-06,2.41975082539688e-06,2.66172590793656e-06,2.92789849873022e-06,3.22068834860325e-06,3.54275718346357e-06,3.89703290180993e-06,4.28673619199092e-06,4.71540981119001e-06,5.18695079230901e-06,5.70564587153992e-06,6.27621045869391e-06,6.9038315045633e-06,7.59421465501963e-06,8.35363612052159e-06,9.18899973257376e-06,1.01078997058311e-05,1.11186896764142e-05,1.22305586440557e-05,1.34536145084612e-05,1.47989759593074e-05,1.62788735552381e-05,1.79067609107619e-05,1.96974370018381e-05,2.16671807020219e-05,2.38338987722241e-05,2.62172886494465e-05,2.88390175143912e-05,3.17229192658303e-05,3.48952111924134e-05,3.83847323116547e-05,4.22232055428201e-05,4.64455260971022e-05,5.10900787068124e-05,5.61990865774936e-05,6.1818995235243e-05,6.80008947587673e-05,7.4800984234644e-05,8.22810826581083e-05,9.05091909239193e-05,9.95601100163112e-05,0.000109516121017942,0.000120467733119736,0.00013251450643171,0.000145765957074881,0.00016034255278237,0.000176376808060606,0.000194014488866667,0.000213415937753334,0.000234757531528667,0.000258233284681534,0.000284056613149687,0.000312462274464656,0.000343708501911122,0.000378079352102234,0.000415887287312458,0.000457476016043703,0.000503223617648073,0.000553545979412881,0.000608900577354169,0.000669790635089586,0.000736769698598545,0.000810446668458399,0.00089149133530424,0.000980640468834663,0.00107870451571813,0.00118657496728994,0.00130523246401894,0.00143575571042083,0.00157933128146291,0.00173726440960921,0.00191099085057013,0.00210208993562714,0.00231229892918985,0.00254352882210884,0.00279788170431972,0.00307766987475169,0.00338543686222687
"60-71",1.29325013039329e-06,5.1545635361713e-06,2.8025371191209e-06,1.52373993431934e-06,8.28457675582118e-07,4.50432586803283e-07,3.23332317115403e-07,3.55665548826943e-07,3.91232103709637e-07,4.30355314080602e-07,4.73390845488661e-07,5.20729930037528e-07,5.7280292304128e-07,6.30083215345409e-07,6.93091536879949e-07,7.62400690567943e-07,8.38640759624741e-07,9.22504835587212e-07,1.01475531914593e-06,1.11623085106053e-06,1.22785393616658e-06,1.35063932978324e-06,1.48570326276157e-06,1.63427358903771e-06,1.79770094794149e-06,1.97747104273564e-06,2.17521814700921e-06,2.39273996171013e-06,2.63201395788114e-06,2.89521535366925e-06,3.18473688903618e-06,3.50321057793979e-06,3.85353163573377e-06,4.23888479930715e-06,4.66277327923787e-06,5.12905060716166e-06,5.64195566787784e-06,6.20615123466562e-06,6.82676635813218e-06,7.50944299394537e-06,8.26038729333991e-06,9.08642602267393e-06,9.99506862494132e-06,1.09945754874354e-05,1.2094033036179e-05,1.33034363397969e-05,1.46337799737766e-05,1.60971579711542e-05,1.77068737682697e-05,1.94775611450966e-05,2.14253172596063e-05,2.3567848985567e-05,2.59246338841237e-05,2.8517097272536e-05,3.13688069997896e-05,3.45056876997686e-05,3.79562564697454e-05,4.17518821167201e-05,4.59270703283918e-05,5.05197773612312e-05,5.55717550973541e-05,6.11289306070898e-05,6.72418236677988e-05,7.39660060345787e-05,8.13626066380364e-05,8.94988673018401e-05,9.84487540320238e-05,0.000108293629435227,0.000119122992378749,0.000131035291616624,0.000144138820778287,0.000158552702856115,0.000174407973141726,0.0001918487704559,0.000211033647501489,0.000232137012251639,0.000255350713476802,0.000280885784824482,0.000308974363306931,0.000339871799637624,0.000373858979601386,0.000411244877561526,0.000452369365317676,0.000497606301849445,0.000547366932034389,0.000602103625237827,0.000662313987761612,0.000728545386537771,0.000801399925191551,0.000881539917710705,0.000969693909481775,0.00106666330042995,0.00117332963047295,0.00129066259352024,0.00141972885287227,0.00156170173815949,0.00171787191197544,0.00188965910317299,0.00207862501349029,0.00228648751483932,0.00251513626632325
"72-83",3.44056414613736e-06,1.29801264541233e-05,7.05729708117716e-06,3.83705368880827e-06,2.08620677880565e-06,1.13427099981142e-06,6.1670334603637e-07,4.86363802774944e-07,5.35000183052437e-07,5.8850020135768e-07,6.47350221493449e-07,7.12085243642792e-07,7.83293768007074e-07,8.61623144807784e-07,9.47785459288559e-07,1.04256400521742e-06,1.14682040573916e-06,1.26150244631307e-06,1.38765269094438e-06,1.52641796003882e-06,1.67905975604271e-06,1.84696573164697e-06,2.03166230481167e-06,2.23482853529284e-06,2.45831138882212e-06,2.70414252770433e-06,2.97455678047476e-06,3.27201245852224e-06,3.59921370437447e-06,3.95913507481192e-06,4.3550485822931e-06,4.79055344052241e-06,5.26960878457467e-06,5.79656966303212e-06,6.37622662933533e-06,7.01384929226889e-06,7.71523422149574e-06,8.48675764364533e-06,9.33543340800988e-06,1.02689767488108e-05,1.12958744236919e-05,1.24254618660611e-05,1.36680080526672e-05,1.50348088579339e-05,1.65382897437274e-05,1.81921187181001e-05,2.00113305899101e-05,2.20124636489011e-05,2.42137100137913e-05,2.66350810151703e-05,2.92985891166874e-05,3.22284480283563e-05,3.54512928311919e-05,3.89964221143109e-05,4.28960643257422e-05,4.71856707583163e-05,5.19042378341481e-05,5.70946616175626e-05,6.2804127779319e-05,6.90845405572512e-05,7.59929946129757e-05,8.35922940742738e-05,9.19515234817012e-05,0.000101146675829871,0.000111261343412858,0.000122387477754144,0.000134626225529559,0.000148088848082514,0.000162897732890766,0.000179187506179843,0.000197106256797827,0.00021681688247761,0.00023849857072537,0.000262348427797906,0.000288583270577698,0.000317441597635468,0.000349185757399014,0.000384104333138915,0.000422514766452808,0.00046476624309809,0.000511242867407898,0.000562367154148689,0.000618603869563557,0.000680464256519912,0.000748510682171903,0.000823361750389093,0.000905697925428002,0.000996267717970803,0.00109589448976788,0.00120548393874467,0.00132603233261914,0.00145863556588105,0.00160449912246916,0.00176494903471607,0.00194144393818768,0.00213558833200645,0.00234914716520709,0.0025840618817278,0.00284246806990058,0.00312671487689065,0.00343938636457971
"84-95",6.48206769261717e-06,2.57270285812539e-05,1.39877900539381e-05,7.60516396112745e-06,4.13492900970074e-06,2.24816164420077e-06,1.22232588917441e-06,6.64578805176243e-07,5.27769306879445e-07,5.80546237567387e-07,6.38600861324127e-07,7.02460947456543e-07,7.72707042202196e-07,8.49977746422415e-07,9.34975521064656e-07,1.02847307317112e-06,1.13132038048824e-06,1.24445241853705e-06,1.36889766039076e-06,1.50578742642984e-06,1.65636616907283e-06,1.8220027859801e-06,2.00420306457812e-06,2.20462337103593e-06,2.42508570813952e-06,2.66759427895347e-06,2.93435370684883e-06,3.2277890775337e-06,3.55056798528708e-06,3.90562478381579e-06,4.29618726219737e-06,4.72580598841709e-06,5.19838658725881e-06,5.71822524598469e-06,6.29004777058315e-06,6.91905254764148e-06,7.61095780240563e-06,8.37205358264618e-06,9.20925894091079e-06,1.01301848350019e-05,1.1143203318502e-05,1.22575236503523e-05,1.34832760153875e-05,1.48316036169263e-05,1.63147639786189e-05,1.79462403764808e-05,1.97408644141288e-05,2.17149508555418e-05,2.38864459410959e-05,2.62750905352055e-05,2.8902599588726e-05,3.17928595475987e-05,3.49721455023586e-05,3.84693600525944e-05,4.23162960578538e-05,4.65479256636392e-05,5.12027182300033e-05,5.63229900530035e-05,6.19552890583039e-05,6.81508179641345e-05,7.49658997605477e-05,8.24624897366026e-05,9.07087387102628e-05,9.9779612581289e-05,0.000109757573839418,0.00012073333122336,0.000132806664345696,0.000146087330780265,0.000160696063858292,0.000176765670244121,0.000194442237268533,0.000213886460995386,0.000235275107094925,0.000258802617804417,0.00028468287958486,0.000313151167543347,0.000344466284297682,0.000378912912727449,0.000416804204000193,0.000458484624400213,0.000504333086840235,0.000554766395524257,0.000610243035076685,0.000671267338584353,0.000738394072442788,0.000812233479687063,0.000893456827655771,0.000982802510421351,0.00108108276146348,0.00118919103760983,0.00130811014137082,0.0014389211555079,0.00158281327105868,0.00174109459816456,0.00191520405798101,0.00210672446377912,0.00231739691015702,0.00254913660117273,0.00280405026129,0.003084455287419,0.00339290081616089
"96-107",6.85396887341436e-06,3.10940561651411e-05,1.69058439139089e-05,9.1917103681656e-06,4.99753457576481e-06,2.71716044518374e-06,1.47732062138684e-06,8.03219486815112e-07,4.36710579044029e-07,3.62287800195006e-07,3.98516580214506e-07,4.38368238235957e-07,4.82205062059552e-07,5.30425568265509e-07,5.83468125092059e-07,6.41814937601264e-07,7.05996431361392e-07,7.76596074497531e-07,8.54255681947283e-07,9.39681250142014e-07,1.03364937515621e-06,1.13701431267183e-06,1.25071574393902e-06,1.37578731833292e-06,1.51336605016621e-06,1.66470265518284e-06,1.83117292070112e-06,2.01429021277123e-06,2.21571923404835e-06,2.43729115745318e-06,2.68102027319851e-06,2.94912230051836e-06,3.24403453057019e-06,3.56843798362721e-06,3.92528178198993e-06,4.31780996018892e-06,4.74959095620782e-06,5.22455005182859e-06,5.74700505701146e-06,6.32170556271261e-06,6.95387611898388e-06,7.64926373088225e-06,8.41419010397048e-06,9.25560911436755e-06,1.01811700258043e-05,1.11992870283847e-05,1.23192157312232e-05,1.35511373043455e-05,1.49062510347801e-05,1.63968761382581e-05,1.80365637520839e-05,1.98402201272923e-05,2.18242421400216e-05,2.40066663540237e-05,2.6407332989426e-05,2.90480662883686e-05,3.19528729172054e-05,3.51481602089261e-05,3.86629762298187e-05,4.25292738528006e-05,4.67822012380805e-05,5.14604213618885e-05,5.66064634980777e-05,6.22671098478853e-05,6.84938208326738e-05,7.53432029159412e-05,8.28775232075354e-05,9.11652755282888e-05,0.000100281803081118,0.000110309983389229,0.000121340981728152,0.000133475079900968,0.000146822587891065,0.000161504846680171,0.000177655331348188,0.000195420864483007,0.000214962950931308,0.000236459246024438,0.000260105170626883,0.000286115687689571,0.000314727256458528,0.000346199982104381,0.000380819980314819,0.000418901978346301,0.000460792176180931,0.000506871393799024,0.000557558533178927,0.000613314386496819,0.000674645825146501,0.000742110407661152,0.000816321448427268,0.000897953593269992,0.000987748952596993,0.00108652384785669,0.00119517623264236,0.0013146938559066,0.00144616324149726,0.00159077956564698,0.00174985752221168,0.00192484327443285,0.00211732760187613
"108-119",5.81871012325424e-06,3.45293776855776e-05,1.87736288407176e-05,1.02072253678709e-05,5.54967026324381e-06,3.01735671749521e-06,1.64053738848474e-06,8.91960472360232e-07,4.84959068801185e-07,2.63672332687774e-07,2.11143652533108e-07,2.32258017786419e-07,2.55483819565061e-07,2.81032201521568e-07,3.09135421673724e-07,3.40048963841097e-07,3.74053860225207e-07,4.11459246247727e-07,4.526051708725e-07,4.97865687959751e-07,5.47652256755726e-07,6.02417482431297e-07,6.62659230674428e-07,7.2892515374187e-07,8.01817669116056e-07,8.81999436027664e-07,9.7019937963043e-07,1.06721931759347e-06,1.17394124935282e-06,1.2913353742881e-06,1.42046891171691e-06,1.56251580288861e-06,1.71876738317746e-06,1.89064412149521e-06,2.07970853364473e-06,2.28767938700921e-06,2.51644732571013e-06,2.76809205828114e-06,3.04490126410926e-06,3.34939139052018e-06,3.6843305295722e-06,4.05276358252941e-06,4.45803994078236e-06,4.9038439348606e-06,5.39422832834666e-06,5.93365116118132e-06,6.52701627729944e-06,7.1797179050294e-06,7.89768969553234e-06,8.68745866508557e-06,9.55620453159412e-06,1.05118249847535e-05,1.15630074832289e-05,1.27193082315518e-05,1.3991239054707e-05,1.53903629601777e-05,1.69293992561955e-05,1.8622339181815e-05,2.04845730999964e-05,2.25330304099961e-05,2.47863334509957e-05,2.72649667960953e-05,2.99914634757048e-05,3.29906098232754e-05,3.6289670805603e-05,3.99186378861632e-05,4.39105016747795e-05,4.83015518422574e-05,5.31317070264831e-05,5.84448777291316e-05,6.42893655020447e-05,7.07183020522492e-05,7.77901322574742e-05,8.55691454832215e-05,9.41260600315438e-05,0.000103538666034698,0.000113892532638168,0.000125281785901985,0.000137809964492183,0.000151590960941402,0.000166750057035542,0.000183425062739096,0.000201767569013005,0.000221944325914306,0.000244138758505737,0.00026855263435631,0.000295407897791942,0.000324948687571135,0.000357443556328249,0.000393187911961075,0.000432506703157181,0.0004757573734729,0.000523333110820189,0.000575666421902208,0.00063323306409243,0.000696556370501672,0.000766212007551841,0.000842833208307024,0.000927116529137727,0.0010198281820515,0.00112181100025665
