"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-35",0.00830326907959711,0.00451448888782239,0.00245452841801205,0.00236436339215944,0.00260079973137538,0.00286087970451292,0.00314696767496422,0.00346166444246064,0.0038078308867067,0.00418861397537737,0.00460747537291511,0.00506822291020662,0.00557504520122728,0.00613254972135001,0.00674580469348501,0.00742038516283352,0.00816242367911687,0.00897866604702856,0.00987653265173141,0.0108641859169046,0.011950604508595,0.0131456649594545,0.0144602314554,0.01590625460094,0.017496880061034,0.0192465680671374,0.0211712248738511,0.0232883473612362,0.0256171820973598,0.0281789003070958,0.0309967903378054,0.0340964693715859,0.0375061163087445,0.041256727939619,0.0453824007335809,0.049920640806939,0.0549127048876329,0.0604039753763962,0.0664443729140358,0.0730888102054394,0.0803976912259834,0.0884374603485817,0.0972812063834399,0.107009327021784,0.117710259723962,0.129481285696359,0.142429414265994,0.156672355692594,0.172339591261853,0.189573550388039,0.208530905426842,0.229383995969527,0.252322395566479,0.277554635123127,0.30531009863544,0.335841108498984,0.369425219348883,0.406367741283771,0.447004515412148,0.491704966953363,0.540875463648699,0.594963010013569,0.654459311014926,0.719905242116419,0.791895766328061,0.871085342960867,0.958193877256954,1.05401326498265,1.15941459148091,1.27535605062901,1.40289165569191,1.5431808212611,1.69749890338721,1.86724879372593,2.05397367309852,2.25937104040837,2.48530814444921,2.73383895889413,3.00722285478354,3.3079451402619,3.63873965428809,4.0026136197169,4.40287498168859,4.84316247985745,5.32747872784319,5.86022660062751,6.44624926069026,7.09087418675929,7.79996160543522,8.57995776597875,9.43795354257662,10.3817488968343,11.4199237865177,12.5619161651695,13.8181077816864,15.1999185598551,16.7199104158406,18.3919014574247,20.2310916031671,22.2542007634838,24.4796208398322
"36-47",0.00425568281069784,0.00231381550746087,0.00125802190640437,0.000683986736146489,0.00055792758105065,0.000613720339155715,0.000675092373071287,0.000742601610378415,0.000816861771416257,0.000898547948557883,0.000988402743413671,0.00108724301775504,0.00119596731953054,0.0013155640514836,0.00144712045663196,0.00159183250229515,0.00175101575252467,0.00192611732777713,0.00211872906055485,0.00233060196661033,0.00256366216327137,0.0028200283795985,0.00310203121755835,0.00341223433931419,0.00375345777324561,0.00412880355057017,0.00454168390562719,0.00499585229618991,0.0054954375258089,0.00604498127838979,0.00664947940622877,0.00731442734685164,0.00804587008153681,0.00885045708969049,0.00973550279865954,0.0107090530785255,0.011779958386378,0.0129579542250159,0.0142537496475174,0.0156791246122692,0.0172470370734961,0.0189717407808457,0.0208689148589303,0.0229558063448233,0.0252513869793057,0.0277765256772362,0.0305541782449598,0.0336095960694558,0.0369705556764014,0.0406676112440416,0.0447343723684457,0.0492078096052903,0.0541285905658193,0.0595414496224013,0.0654955945846414,0.0720451540431055,0.0792496694474161,0.0871746363921577,0.0958921000313735,0.105481310034511,0.116029441037962,0.127632385141758,0.140395623655934,0.154435186021527,0.16987870462368,0.186866575086048,0.205553232594653,0.226108555854118,0.24871941143953,0.273591352583483,0.300950487841832,0.331045536626015,0.364150090288616,0.400565099317478,0.440621609249226,0.484683770174148,0.533152147191563,0.58646736191072,0.645114098101792,0.709625507911971,0.780588058703168,0.858646864573485,0.944511551030833,1.03896270613392,1.14285897674731,1.25714487442204,1.38285936186424,1.52114529805067,1.67325982785573,1.84058581064131,2.02464439170544,2.22710883087598,2.44981971396358,2.69480168535994,2.96428185389594,3.26071003928553,3.58678104321408,3.94545914753549,4.34000506228904,4.77400556851794,5.25140612536974
"48-59",0.0086420104855709,0.00469862716677551,0.00255464443330526,0.00138896063658021,0.000755178147227805,0.000585421523773667,0.000643963676151034,0.000708360043766138,0.000779196048142751,0.000857115652957026,0.000942827218252729,0.001037109940078,0.0011408209340858,0.00125490302749438,0.00138039333024382,0.0015184326632682,0.00167027592959502,0.00183730352255453,0.00202103387480998,0.00222313726229098,0.00244545098852008,0.00268999608737208,0.00295899569610929,0.00325489526572022,0.00358038479229224,0.00393842327152147,0.00433226559867362,0.00476549215854098,0.00524204137439508,0.00576624551183458,0.00634287006301804,0.00697715706931985,0.00767487277625183,0.00844236005387702,0.00928659605926472,0.0102152556651912,0.0112367812317103,0.0123604593548813,0.0135965052903695,0.0149561558194064,0.0164517714013471,0.0180969485414818,0.01990664339563,0.021897307735193,0.0240870385087123,0.0264957423595835,0.0291453165955418,0.032059848255096,0.0352658330806056,0.0387924163886662,0.0426716580275328,0.0469388238302861,0.0516327062133147,0.0567959768346462,0.0624755745181108,0.0687231319699219,0.0755954451669141,0.0831549896836055,0.0914704886519661,0.100617537517163,0.110679291268879,0.121747220395767,0.133921942435344,0.147314136678878,0.162045550346766,0.178250105381442,0.196075115919587,0.215682627511545,0.2372508902627,0.26097597928897,0.287073577217867,0.315780934939653,0.347359028433619,0.382094931276981,0.420304424404679,0.462334866845147,0.508568353529662,0.559425188882628,0.615367707770891,0.67690447854798,0.744594926402778,0.819054419043056,0.900959860947361,0.991055847042097,1.09016143174631,1.19917757492094,1.31909533241303,1.45100486565434,1.59610535221977,1.75571588744175,1.93128747618592,2.12441622380451,2.33685784618496,2.57054363080346,2.82759799388381,3.11035779327219,3.42139357259941,3.76353292985935,4.13988622284528,4.55387484512981,5.00926232964279
"60-71",0.0101795942395936,0.00553423997596717,0.00300896726753537,0.00163597604303688,0.000889480468022122,0.000483610689997749,0.000384176099294701,0.000422593709224171,0.000464853080146588,0.000511338388161247,0.000562472226977372,0.000618719449675109,0.00068059139464262,0.000748650534106882,0.00082351558751757,0.000905867146269328,0.00099645386089626,0.00109609924698589,0.00120570917168448,0.00132628008885292,0.00145890809773822,0.00160479890751204,0.00176527879826324,0.00194180667808957,0.00213598734589852,0.00234958608048837,0.00258454468853721,0.00284299915739093,0.00312729907313003,0.00344002898044303,0.00378403187848733,0.00416243506633607,0.00457867857296967,0.00503654643026664,0.00554020107329331,0.00609422118062264,0.0067036432986849,0.00737400762855339,0.00811140839140873,0.00892254923054961,0.00981480415360457,0.010796284568965,0.0118759130258615,0.0130635043284477,0.0143698547612925,0.0158068402374217,0.0173875242611639,0.0191262766872803,0.0210389043560083,0.0231427947916091,0.02545707427077,0.028002781697847,0.0308030598676317,0.0338833658543949,0.0372717024398344,0.0409988726838179,0.0450987599521996,0.0496086359474196,0.0545694995421616,0.0600264494963777,0.0660290944460155,0.0726320038906171,0.0798952042796788,0.0878847247076467,0.0966731971784114,0.106340516896252,0.116974568585878,0.128672025444466,0.141539227988912,0.155693150787803,0.171262465866584,0.188388712453242,0.207227583698566,0.227950342068423,0.250745376275265,0.275819913902792,0.303401905293071,0.333742095822378,0.367116305404616,0.403827935945078,0.444210729539585,0.488631802493544,0.537494982742898,0.591244481017188,0.650368929118907,0.715405822030798,0.786946404233878,0.865641044657266,0.952205149122992,1.04742566403529,1.15216823043882,1.2673850534827,1.39412355883097,1.53353591471407,1.68688950618548,1.85557845680403,2.04113630248443,2.24524993273287,2.46977492600616,2.71675241860678,2.98842766046745
"72-83",0.023057024408783,0.0125354776450732,0.00681554144394595,0.00370561110548521,0.00201474142267782,0.00109541527286694,0.000595577480327627,0.000487586328178491,0.00053634496099634,0.000589979457095974,0.000648977402805571,0.000713875143086129,0.000785262657394742,0.000863788923134216,0.000950167815447637,0.0010451845969924,0.00114970305669164,0.00126467336236081,0.00139114069859689,0.00153025476845658,0.00168328024530223,0.00185160826983246,0.0020367690968157,0.00224044600649727,0.002464490607147,0.0027109396678617,0.00298203363464787,0.00328023699811266,0.00360826069792392,0.00396908676771632,0.00436599544448795,0.00480259498893674,0.00528285448783042,0.00581113993661346,0.00639225393027481,0.00703147932330229,0.00773462725563252,0.00850808998119577,0.00935889897931535,0.0102947888772469,0.0113242677649716,0.0124566945414687,0.0137023639956156,0.0150726003951772,0.0165798604346949,0.0182378464781644,0.0200616311259808,0.0220677942385789,0.0242745736624368,0.0267020310286805,0.0293722341315485,0.0323094575447034,0.0355404032991737,0.0390944436290911,0.0430038879920002,0.0473042767912002,0.0520347044703202,0.0572381749173523,0.0629619924090875,0.0692581916499963,0.0761840108149959,0.0838024118964955,0.0921826530861451,0.10140091839476,0.111541010234236,0.122695111257659,0.134964622383425,0.148461084621768,0.163307193083944,0.179637912392339,0.197601703631573,0.21736187399473,0.239098061394203,0.263007867533623,0.289308654286986,0.318239519715684,0.350063471687253,0.385069818855978,0.423576800741576,0.465934480815733,0.512527928897307,0.563780721787037,0.620158793965741,0.682174673362316,0.750392140698547,0.825431354768402,0.907974490245242,0.998771939269766,1.09864913319674,1.20851404651642,1.32936545116806,1.46230199628487,1.60853219591335,1.76938541550469,1.94632395705516,2.14095635276067,2.35505198803674,2.59055718684041,2.84961290552446,3.1345741960769,3.44803161568459
"84-95",0.0387539091588058,0.0210704712944526,0.0114560190219203,0.00622863959692975,0.00338651246599783,0.00184124743515611,0.00100108656073411,0.000544290942622537,0.000453227903860372,0.000498550694246409,0.00054840576367105,0.000603246340038156,0.000663570974041971,0.000729928071446168,0.000802920878590785,0.000883212966449864,0.00097153426309485,0.00106868768940434,0.00117555645834477,0.00129311210417925,0.00142242331459717,0.00156466564605689,0.00172113221066258,0.00189324543172883,0.00208256997490172,0.00229082697239189,0.00251990966963108,0.00277190063659419,0.00304909070025361,0.00335399977027897,0.00368939974730687,0.00405833972203755,0.00446417369424131,0.00491059106366544,0.00540165017003198,0.00594181518703518,0.0065359967057387,0.00718959637631257,0.00790855601394383,0.00869941161533821,0.00956935277687204,0.0105262880545592,0.0115789168600152,0.0127368085460167,0.0140104894006184,0.0154115383406802,0.0169526921747482,0.018647961392223,0.0205127575314453,0.0225640332845899,0.0248204366130489,0.0273024802743537,0.0300327283017891,0.033036001131968,0.0363396012451648,0.0399735613696813,0.0439709175066495,0.0483680092573144,0.0532048101830459,0.0585252912013505,0.0643778203214855,0.0708156023536341,0.0778971625889975,0.0856868788478972,0.0942555667326869,0.103681123405956,0.114049235746551,0.125454159321206,0.137999575253327,0.15179953277866,0.166979486056526,0.183677434662178,0.202045178128396,0.222249695941236,0.244474665535359,0.268922132088895,0.295814345297785,0.325395779827563,0.35793535781032,0.393728893591352,0.433101782950487,0.476411961245536,0.524053157370089,0.576458473107098,0.634104320417808,0.697514752459589,0.767266227705548,0.843992850476103,0.928392135523713,1.02123134907608,1.12335448398369,1.23568993238206,1.35925892562027,1.4951848181823,1.64470330000053,1.80917363000058,1.99009099300064,2.1891000923007,2.40801010153077,2.64881111168385,2.91369222285223
"96-107",0.051364433356192,0.0279270116888452,0.0151839212641168,0.00825550071463556,0.00448851721922523,0.00244040761713759,0.00132685005914072,0.00072140861513402,0.000392229993437705,0.000332494843680368,0.000365744328048405,0.000402318760853245,0.00044255063693857,0.000486805700632427,0.000535486270695669,0.000589034897765236,0.00064793838754176,0.000712732226295936,0.00078400544892553,0.000862405993818083,0.000948646593199891,0.00104351125251988,0.00114786237777187,0.00126264861554906,0.00138891347710396,0.00152780482481436,0.00168058530729579,0.00184864383802537,0.00203350822182791,0.0022368590440107,0.00246054494841177,0.00270659944325295,0.00297725938757824,0.00327498532633607,0.00360248385896968,0.00396273224486664,0.00435900546935331,0.00479490601628864,0.00527439661791751,0.00580183627970926,0.00638201990768018,0.0070202218984482,0.00772224408829302,0.00849446849712233,0.00934391534683456,0.010278306881518,0.0113061375696698,0.0124367513266368,0.0136804264593005,0.0150484691052305,0.0165533160157536,0.0182086476173289,0.0200295123790618,0.022032463616968,0.0242357099786648,0.0266592809765313,0.0293252090741845,0.0322577299816029,0.0354835029797632,0.0390318532777395,0.0429350386055135,0.0472285424660648,0.0519513967126713,0.0571465363839384,0.0628611900223323,0.0691473090245655,0.0760620399270221,0.0836682439197243,0.0920350683116967,0.101238575142866,0.111362432657153,0.122498675922868,0.134748543515155,0.148223397866671,0.163045737653338,0.179350311418672,0.197285342560539,0.217013876816593,0.238715264498252,0.262586790948077,0.288845470042885,0.317730017047174,0.349503018751891,0.38445332062708,0.422898652689788,0.465188517958767,0.511707369754643,0.562878106730108,0.619165917403119,0.681082509143431,0.749190760057774,0.824109836063551,0.906520819669906,0.997172901636897,1.09689019180059,1.20657921098065,1.32723713207871,1.45996084528658,1.60595692981524,1.76655262279676,1.94320788507644
"108-119",0.0498900738530075,0.0271250338135998,0.0147478857495059,0.00801842812713582,0.0043596208108811,0.00237032661680247,0.00128874700668904,0.000700691978682007,0.000380966354483082,0.000207131475261251,0.000179720172034739,0.000197692189238213,0.000217461408162034,0.000239207548978238,0.000263128303876062,0.000289441134263668,0.000318385247690035,0.000350223772459038,0.000385246149704942,0.000423770764675436,0.00046614784114298,0.000512762625257278,0.000564038887783006,0.000620442776561306,0.000682487054217437,0.000750735759639181,0.000825809335603099,0.000908390269163409,0.00099922929607975,0.00109915222568773,0.0012090674482565,0.00132997419308215,0.00146297161239036,0.0016092687736294,0.00177019565099234,0.00194721521609157,0.00214193673770073,0.0023561304114708,0.00259174345261788,0.00285091779787967,0.00313600957766764,0.0034496105354344,0.00379457158897785,0.00417402874787563,0.00459143162266319,0.00505057478492951,0.00555563226342246,0.00611119548976471,0.00672231503874119,0.0073945465426153,0.00813400119687684,0.00894740131656452,0.00984214144822097,0.0108263555930431,0.0119089911523474,0.0130998902675821,0.0144098792943403,0.0158508672237744,0.0174359539461518,0.019179549340767,0.0210975042748437,0.0232072547023281,0.0255279801725609,0.0280807781898169,0.0308888560087986,0.0339777416096785,0.0373755157706464,0.041113067347711,0.0452243740824821,0.0497468114907303,0.0547214926398034,0.0601936419037837,0.0662130060941621,0.0728343067035783,0.0801177373739361,0.0881295111113298,0.0969424622224627,0.106636708444709,0.11730037928918,0.129030417218098,0.141933458939908,0.156126804833899,0.171739485317288,0.188913433849017,0.207804777233919,0.228585254957311,0.251443780453042,0.276588158498346,0.304246974348181,0.334671671782999,0.368138838961299,0.404952722857429,0.445447995143172,0.489992794657489,0.538992074123238,0.592891281535562,0.652180409689118,0.71739845065803,0.789138295723833,0.868052125296216,0.954857337825838
