,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
<24,1,1,0.132530121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-29,0,0,0.457831325,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-35,0,0,0.409638554,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36-47,0,0,0,0.52,0.458333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48-59,0,0,0,0,0.541666667,0.458333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60-71,0,0,0,0,0,0.541666667,0.458333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72-83,0,0,0,0,0,0,0.541666667,0.458333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84-95,0,0,0,0,0,0,0,0.541666667,0.458333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96-107,0,0,0,0,0,0,0,0,0.541666667,0.458333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-119,0,0,0,0,0,0,0,0,0,0.541666667,0.458333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120-131,0,0,0,0,0,0,0,0,0,0,0.541666667,0.458333333,0,0,0,0,0,0,0,0,0,0,0,0,0
132-143,0,0,0,0,0,0,0,0,0,0,0,0.541666667,0.458333333,0,0,0,0,0,0,0,0,0,0,0,0
144-155,0,0,0,0,0,0,0,0,0,0,0,0,0.541666667,0.458333333,0,0,0,0,0,0,0,0,0,0,0
156-167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541666667,0.458333333,0,0,0,0,0,0,0,0,0,0
168-179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541666667,0.458333333,0,0,0,0,0,0,0,0,0
180-191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541666667,0.458333333,0,0,0,0,0,0,0,0
192-203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541666667,0.458333333,0,0,0,0,0,0,0
204-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541666667,0.458333333,0,0,0,0,0,0
204+1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541666667,0.458333333,0,0,0,0,0
204+2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541666667,0.458333333,0,0,0,0
204+3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541666667,0.458333333,0,0,0
204+4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541666667,0.458333333,0,0
204+5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541666667,0.458333333,0
204+6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541666667,1
