"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.662081040598025,0,0,0,0,0,0,0,0,0,0
"2",0.281233420652055,0.520146223891702,0,0,0,0,0,0,0,0,0
"3",0.17598284889409,0.290130415033937,0,0,0,0,0,0,0,0,0
"4",0.162479408837151,0.241689448149961,0,0,1,0,0,0,0,0,0
"5",0.126056082992279,0.23736174132435,0.286416339499413,0,0.802599253940184,1,0,0,0,0,0
"6",0.100497836393813,0.172921288711051,0.184091524448408,0,0.581162473237966,1,1,0,0,0,0
"7",0.0598423267506448,0.105967631431162,0.155628285181095,0.188400497938278,0.510593623388576,0.802599253940184,1,1,0,0,0
"8",0.0488624111299407,0.0613605100921059,0.126347905356654,0.135474924401146,0.395515759941571,0.776335716229397,1,0.802599253940184,1,0,0
"9",0.0403940804408924,0.048801687961525,0.0913826153022878,0.0943958492128873,0.299669551834067,0.679807587687418,1,0.776335716229397,1,1,0
"10",0.0263416674296766,0.0446013876452169,0.0814316017778206,0.0923561790358581,0.212517084346728,0.568846688977934,0.679807587687418,0.802599253940184,1,1,1
"11",0.0298581391894697,0.0510573555181505,0.0920845071216259,0.138666690543183,0.210532617499313,0.662081040598025,0.510593623388576,0.776335716229397,1,1,1
"12",0.0641655014453104,0.0884666202205958,0.148284286098418,0.21603663521137,0.409102116602066,0.662081040598025,0.568846688977934,1,1,1,0.9925687
"13",0.173351671143034,0.120812913145382,0.224778069693758,0.301429141580617,0.776335716229397,0.662081040598025,0.662081040598025,1,1,1,0.9968203
"14",0.320991818342763,0.18151045013378,0.274592855146413,0.278666128859927,0.802599253940184,0.776335716229397,0.776335716229397,1,1,1,0.9942096
"15",1,0.443072208738758,0.456298431360817,0.440301695981471,0.662081040598025,0.594120717319615,0.802599253940184,1,1,1,1
"16",1,1,0.644122952345222,0.678214860644894,0.520146223891702,0.501435694773464,0.776335716229397,1,1,1,1
"17",0.5,0.75,1,0.643754288574319,0.557123121925207,0.776335716229397,1,0.802599253940184,1,1,0.9914141
"18",0.5,0.75,1,0,1,1,1,0.776335716229397,0.9900783,0.9908536,0.99098
"19",0,0.75,1,1,1,1,1,1,0.9900926,0.9907578,0.9908536
"20",0,0,1,1,1,1,1,1,0.9904367,0.9906777,1
"21",0,0,0,1,1,1,1,1,0.9906664,0.9878052,1
"22",0,0,0,0,1,1,1,1,0.987861,0.9823784,0.9878052
"23",0,0,0,0,0,1,1,1,0.9634339,0.9785357,0.9823784
"24",0,0,0,0,0,0,1,1,0.9663184,0.942016,0.9785357
"25",0,0,0,0,0,0,0,1,0.997853,0.9519756,0.942016
"26",0,0,0,0,0,0,0,0,0.997853,0.9975491,0.9519756
"27",0,0,0,0,0,0,0,0,0,0.9975491,0.9975491
"28",0,0,0,0,0,0,0,0,0,0,0.9975491
