,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
1,0.1566265,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.4184783,0,0.501385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,0.6315789,0.3188406,0.2719288,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,0.4786585,0.3935185,0.2049034,0.17238002,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,0.4308511,0.1902439,0.2886791,0.18926297,0.10052219,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,0.4230171,0.2374624,0.2512354,0,0.21671827,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,0.5019724,0.3802203,0.2443741,0.07111111,0.10833333,0.16117216,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,0.5847837,0.4302029,0.3188579,0.26786443,0.04882069,0.18072996,0,0,0.000565682,NaN,NaN,NaN,NaN,NaN,NaN
9,0.5967655,0.4754697,0.4713067,0.29052759,0.16332245,0.16818918,0.06627754,0.1358025,0.000651999,0.000637671,NaN,NaN,NaN,NaN,NaN
10,0.6085374,0.495376,0.4913457,0.33931717,0.1554394,0.13239284,0.12795613,0.1083333,0.000578879,0.000734965,0.000637671,NaN,NaN,NaN,NaN
11,0.5468582,0.4646786,0.4063323,0.30818103,0.09713533,0.12057547,0.08295115,0,0.00034983,0.000652546,0.000734965,0.000637671,NaN,NaN,NaN
12,0.4098149,0.3958543,0.3375114,0.16358612,0.0867548,0.12527376,0.03669725,0,0.000239938,0.000394361,0.000652546,0.000734965,0.000637671,NaN,NaN
13,0.2607817,0.3497386,0.2961127,0.28207294,0.15092121,0,0.08301736,0,0.000334466,0.000268727,0.000394361,0.000652546,0.000734965,0.000637671,NaN
14,0.2137546,0.3917139,0.2640862,0.27519111,0.23763548,0.09543528,0.09159511,0,0.000393767,0.000223944,0.000268727,0.000394361,0.000652546,0.000734965,0.000637671
15,0.25,0.4363991,0.2325201,0.19414507,0.30260521,0.13707165,0.0873766,0,0.000428611,0.000274715,0.000223944,0.000268727,0.000394361,0.000652546,0.000734965
16,0.25,0.3333333,0.138739,0.18656626,0.34378622,0.1572873,0.1005427,0.1803279,0.000502271,0.000437327,0.000274715,0.000223944,0.000268727,0.000394361,0.000652546
17,0.25,0.3333333,0.138739,0.05190484,0.28282828,0.18821981,0.41010619,0.5,0.000539091,0.000591295,0.000437327,0.000274715,0.000223944,0.000268727,0.000394361
18,0.25,0.3333333,0.138739,0.05190484,0.28282828,0.18821981,0.31044776,0,0.000602252,0.000553058,0.000591295,0.000437327,0.000274715,0.000223944,0.000268727
19,NaN,0.3333333,0.138739,0.05190484,0.28282828,0.18821981,0,0,0.000687444,0.000607348,0.000553058,0.000591295,0.000437327,0.000274715,0.000223944
20,NaN,NaN,0.138739,0.05190484,0.28282828,0.18821981,0,0,0.000763653,0.000742532,0.000607348,0.000553058,0.000591295,0.000437327,0.000274715
21,NaN,NaN,NaN,0.05190484,0.28282828,0.18821981,0,0,0.000844099,0.000808328,0.000742532,0.000607348,0.000553058,0.000591295,0.000437327
22,NaN,NaN,NaN,NaN,0.28282828,0.18821981,0,0,0.000774361,0.000847563,0.000808328,0.000742532,0.000607348,0.000553058,0.000591295
23,NaN,NaN,NaN,NaN,NaN,0,0,0,0.000364054,0.000712156,0.000847563,0.000808328,0.000742532,0.000607348,0.000553058
24,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.000432895,0.000351241,0.000712156,0.000847563,0.000808328,0.000742532,0.000607348
25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.012221617,0.000508828,0.000351241,0.000712156,0.000847563,0.000808328,0.000742532
26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012221617,0.006696429,0.000508828,0.000351241,0.000712156,0.000847563,0.000808328
27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006696429,0.006696429,0.000508828,0.000351241,0.000712156,0.000847563
28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006696429,0.006696429,0.000508828,0.000351241,0.000712156
29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006696429,0.006696429,0.000508828,0.000351241
30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006696429,0.006696429,0.000508828
31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006696429,0.006696429
32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006696429
