"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0.501385,0,0,0,0,0,0,0,0
"2",0.3188406,0.2719288,0,0,0,0,0,0,0,0
"3",0.3935185,0.2049034,0.17238002,0,0,0,0,0,0,0
"4",0.1902439,0.2886791,0.18926297,0.10052219,0,0,0,0,0,0
"5",0.2374624,0.2512354,0,0.21671827,0,0,0,0,0,0
"6",0.3802203,0.2443741,0,0.10833333,0.16117216,0,0,0,0,0
"7",0.4302029,0.3188579,0,0.04882069,0.18072996,0,0,0.000565682,0,0
"8",0.4754697,0.4713067,0.29052759,0,0.16818918,0.06627754,0.1358025,0.000651999,0.000637671,0
"9",0.495376,0.4913457,0.33931717,0,0,0.12795613,0.1083333,0.000578879,0.000734965,0.000637671
"10",0.4646786,0,0.30818103,0,0,0.08295115,0,0.00034983,0.000652546,0.000734965
"11",0.3958543,0,0.16358612,0,0.12527376,0.03669725,0,0.000239938,0.000394361,0.000652546
"12",1,0.2961127,0.28207294,0.15092121,0,0.08301736,0,0.000334466,0.000268727,0.000394361
"13",1,0,0,0.23763548,0,0.09159511,0,0.000393767,0.000223944,0.000268727
"14",0.4363991,0,0,0,0,0.0873766,0,0.000428611,0.000274715,0.000223944
"15",0.3333333,0,0,0,0,0.1005427,0,0.000502271,0.000437327,0.000274715
"16",0.3333333,0.138739,0,0.28282828,0.18821981,0.41010619,0.5,0.000539091,0.000591295,0.000437327
"17",0.3333333,0.138739,0.05190484,0.28282828,0.18821981,0.31044776,0,0,0.000553058,0.000591295
"18",0.3333333,0.138739,0.05190484,0.28282828,0.18821981,0,0,0,0.000607348,0.000553058
"19",0,0.138739,0.05190484,0.28282828,0.18821981,0,0,0.000763653,0.000742532,0.000607348
"20",0,0,0.05190484,0.28282828,0.18821981,0,0,0.000844099,0.000808328,0.000742532
"21",0,0,0,0.28282828,0.18821981,0,0,0.000774361,0.000847563,0.000808328
"22",0,0,0,0,0,0,0,0.000364054,0.000712156,0.000847563
"23",0,0,0,0,0,0,0,0.000432895,0.000351241,0.000712156
"24",0,0,0,0,0,0,0,0.012221617,0.000508828,0.000351241
"25",0,0,0,0,0,0,0,0.012221617,0.006696429,0.000508828
"26",0,0,0,0,0,0,0,0,0.006696429,0.006696429
"27",0,0,0,0,0,0,0,0,0,0.006696429
