"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.3235294,0,0,0,0,0,0,0,0,0
"2",0.2580645,0,0,0,0,0,0,0,0,0
"3",0.2766798,0,0,1,0,0,0,0,0,0
"4",0.3113553,0.2808068,0,0.7608696,1,0,0,0,0,0
"5",0.1961853,0.2658272,0,0.5138889,1,1,0,0,0,0
"6",0.1721068,0,0.04027899,0.4216867,0.5,1,1,0,0,0
"7",0.23,0.776335716229397,0.16214895,0.372093,0.6486486,1,0.6857143,0.4087385,0,0
"8",0.2765191,0.802599253940184,1,1,0.7555556,1,0.6486486,0.5222244,0.4516292,0
"9",1,0,1,1,1,0.7411765,1,1,0.5656312,1
"10",1,1,1,1,0.802599253940184,0.6220472,1,1,1,1
"11",0.679807587687418,1,1,1,0,0.7063492,1,0.9931054,1,0.9925687
"12",0.64541723017369,0.802599253940184,1,1,0.6170213,0.7391304,1,0.9920486,0.9942096,0.9968203
"13",1,0.776335716229397,1,1,1,0.802599253940184,1,0.9909635,0.993209,0.9942096
"14",1,0.679807587687418,0.802599253940184,1,1,0.662081040598025,1,1,0.9917398,0.993209
"15",1,0.64541723017369,0.581162473237966,1,1,0,1,1,0.9914141,0.9917398
"16",0.75,1,0.64541723017369,1,1,1,0.7027027,0.9902713,0.99098,0.9914141
"17",0.75,1,1,1,1,1,0.4583333,0.9900783,0.9908536,0.99098
"18",0.75,1,1,1,1,1,1,0.9900926,0.9907578,1
"19",0,1,1,1,1,1,1,0.9904367,0.9906777,1
"20",0,0,1,1,1,1,1,0.9906664,0.9878052,1
"21",0,0,0,1,1,1,1,0.987861,0.9823784,1
"22",0,0,0,0,1,1,1,0.9634339,0.9785357,0.9823784
"23",0,0,0,0,0,1,1,0.9663184,0.942016,0.9785357
"24",0,0,0,0,0,0,1,0.997853,0.9519756,0.942016
"25",0,0,0,0,0,0,0,0.997853,0.9975491,0.9519756
"26",0,0,0,0,0,0,0,0,0.9975491,0.9975491
"27",0,0,0,0,0,0,0,0,0,0.9975491
